course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130442623,1,0,0,0,United States,NA,NA,NA,0,2012-12-19,2013-11-17,,9,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130275857,1,0,0,0,United States,NA,NA,NA,0,2013-02-08,2013-11-17,,16,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130539455,1,1,0,0,France,NA,NA,NA,0,2013-01-01,2013-05-14,42,6,,3.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130088379,1,1,0,0,United States,NA,NA,NA,0,2013-02-18,2013-03-17,70,3,,3.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130024894,1,1,0,0,United States,NA,NA,NA,0.07,2013-01-24,2013-08-03,175,9,,7.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130340959,1,1,0,0,United States,NA,NA,NA,0.05,2013-02-11,2013-04-06,285,8,,4.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130148402,1,0,0,0,United States,NA,NA,NA,0,2012-12-23,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130435030,1,1,0,0,Canada,NA,NA,NA,0,2013-02-20,2013-06-29,80,5,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130542822,1,1,0,0,United States,NA,NA,NA,,2012-12-20,2013-03-14,21,3,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130069044,1,0,0,0,United States,NA,NA,NA,0,2013-04-22,2013-04-23,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130193559,1,0,0,0,United States,NA,NA,NA,0,2012-12-19,2013-11-17,,3,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130498693,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2013-02-13,2013-02-14,1,1,,,0,
HarvardX/CB22x/2013_Spring,MHxPC130360224,1,1,0,0,Other South Asia,NA,NA,NA,,2013-01-23,2013-03-20,87,5,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130262720,1,0,0,0,Canada,NA,NA,NA,0,2013-01-28,2013-11-17,,3,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130571193,1,0,0,0,United States,NA,NA,NA,0,2012-12-20,2013-03-29,2,2,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130331378,1,1,0,0,United States,NA,NA,NA,0,2013-02-14,2013-03-07,3,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130498347,1,1,0,0,Japan,NA,NA,NA,0,2013-05-26,2013-05-26,29,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130238350,1,1,0,0,Other Africa,NA,NA,NA,0,2013-03-21,2013-03-23,25,2,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130092019,1,1,0,0,United States,NA,NA,NA,0,2012-12-22,2013-05-01,4,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130310706,1,0,0,0,Other Europe,NA,NA,NA,0,2013-02-22,2013-02-22,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130155947,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-02-16,2013-02-16,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130350267,1,0,0,0,Bangladesh,NA,NA,NA,,2012-12-25,2013-11-17,,6,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130074234,1,1,0,0,Germany,NA,NA,NA,,2012-12-21,2013-04-01,177,7,,5.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130061393,1,0,0,0,Unknown/Other,NA,NA,NA,0,2013-01-23,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130124071,1,0,0,0,India,NA,NA,NA,,2013-01-30,2013-04-01,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130505428,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-12-20,2013-07-21,39,2,,4.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130447948,1,1,1,0,United States,NA,NA,NA,0.19,2012-12-19,2013-07-19,3509,84,,18.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130095853,1,0,0,0,Greece,NA,NA,NA,0,2012-12-21,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130370561,1,0,0,0,Unknown/Other,NA,NA,NA,0,2013-02-05,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130239450,1,0,0,0,United States,NA,NA,NA,0,2012-12-20,2013-03-07,2,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130204683,1,0,0,0,Greece,NA,NA,NA,0,2012-12-20,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130464231,1,0,0,0,India,NA,NA,NA,,2013-03-16,2013-04-15,6,2,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130232352,1,1,0,0,Russian Federation,NA,NA,NA,,2013-07-07,2013-07-07,11,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130284407,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-01-16,2013-07-13,17,3,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130255748,1,1,0,0,Other Europe,NA,NA,NA,0,2013-01-23,2013-04-22,21,2,,3.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130419997,1,1,0,0,United States,NA,NA,NA,0,2013-02-01,2013-03-03,24,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130019249,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-12-31,2013-03-12,16,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130355539,1,1,0,0,United States,NA,NA,NA,0,2013-01-22,2013-04-26,45,2,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130181332,1,0,0,0,Other Europe,NA,NA,NA,0,2012-12-20,2013-11-17,,1,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130085896,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-12-22,2013-06-11,5,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130220096,1,0,0,0,United Kingdom,NA,NA,NA,,2013-03-03,2013-03-03,2,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130362644,1,1,0,0,United Kingdom,NA,NA,NA,,2012-12-20,2013-04-02,33,4,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130306723,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-03-11,2013-08-24,163,22,,3.0,0,,
