course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
MITx/7.00x/2013_Spring,MHxPC130275857,1,1,0,0,United States,NA,NA,NA,0,2013-02-08,2013-06-03,22,1,,2.0,0,,
MITx/7.00x/2013_Spring,MHxPC130539455,1,1,1,0,France,NA,NA,NA,0,2013-03-06,2013-05-23,3921,40,17,12.0,0,,
MITx/7.00x/2013_Spring,MHxPC130088379,1,1,0,0,United States,NA,NA,NA,0,2013-01-30,2013-04-28,36,8,2,3.0,0,,
MITx/7.00x/2013_Spring,MHxPC130024894,1,1,0,0,United States,NA,NA,NA,0,2013-03-08,2013-08-01,199,8,16,6.0,0,,
MITx/7.00x/2013_Spring,MHxPC130080986,1,1,0,0,United States,NA,NA,NA,0,2013-03-05,2013-07-10,44,3,,1.0,0,,
MITx/7.00x/2013_Spring,MHxPC130500569,1,1,0,0,United States,NA,NA,NA,0,2013-03-17,2013-04-21,309,5,17,5.0,0,,
MITx/7.00x/2013_Spring,MHxPC130435030,1,1,0,0,Canada,NA,NA,NA,0,2013-02-20,2013-06-04,17,3,,1.0,0,,
MITx/7.00x/2013_Spring,MHxPC130024157,1,1,1,1,United States,NA,NA,NA,0.92,2013-02-14,2013-07-26,5226,42,713,18.0,2,,
MITx/7.00x/2013_Spring,MHxPC130262720,1,0,0,0,Canada,NA,NA,NA,0,2013-02-18,2013-02-19,1,1,,,0,,
MITx/7.00x/2013_Spring,MHxPC130571193,1,0,0,0,United States,NA,NA,NA,0,2013-02-12,2013-03-29,2,2,,,0,,
MITx/7.00x/2013_Spring,MHxPC130483403,1,1,0,0,United States,NA,NA,NA,0,2013-02-16,2013-03-13,137,6,26,1.0,0,,
MITx/7.00x/2013_Spring,MHxPC130238350,1,1,0,0,Other Africa,NA,NA,NA,0,2013-03-10,2013-03-23,21,5,,1.0,0,,
