course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
MITx/8.MReV/2013_Summer,MHxPC130024894,1,1,0,0,United States,NA,NA,NA,0,2013-06-17,2013-07-31,105,6,,5.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130328890,1,1,0,0,Australia,NA,NA,NA,0,2013-06-10,2013-06-18,221,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130435030,1,1,0,0,Canada,NA,NA,NA,0,2013-05-20,2013-06-29,22,5,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130063278,1,1,0,0,United States,NA,NA,NA,0,2013-05-01,2013-07-27,81,3,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130251105,1,1,0,0,Russian Federation,NA,NA,NA,0,2013-06-08,2013-06-08,76,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130301176,1,1,0,0,United States,NA,NA,NA,0,2013-07-01,2013-08-21,5,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130113448,1,1,0,0,United States,NA,NA,NA,0,2013-07-26,2013-07-26,8,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130342287,1,1,0,0,United States,NA,NA,NA,0,2013-05-01,2013-06-04,270,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130578591,1,1,0,0,India,NA,NA,NA,0,2013-08-20,2013-08-31,9,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130420009,1,0,0,0,Mexico,NA,NA,NA,0,2013-05-01,2013-05-02,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130498347,1,0,0,0,Other South Asia,NA,NA,NA,0,2013-05-26,,,2,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130039166,1,0,0,0,United States,NA,NA,NA,0,2013-06-16,,,1,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130073347,1,1,0,0,India,NA,NA,NA,0,2013-06-01,2013-06-29,50,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130410570,1,0,0,0,Ukraine,NA,NA,NA,0,2013-07-02,2013-07-02,2,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130307526,1,1,0,0,Russian Federation,NA,NA,NA,0,2013-06-21,2013-07-22,11,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130035300,1,1,0,0,United States,NA,NA,NA,0,2013-06-20,2013-08-21,53,3,,6.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130439994,1,1,0,0,United States,NA,NA,NA,0,2013-06-11,2013-06-11,13,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130478716,1,1,0,0,Other East Asia,NA,NA,NA,0.01,2013-04-29,2013-07-19,229,5,,7.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130505428,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-06-11,2013-07-21,6,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130125496,1,0,0,0,United States,NA,NA,NA,0,2013-06-16,,,1,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130444008,1,1,0,0,India,NA,NA,NA,0,2013-07-07,2013-07-29,113,9,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130346508,1,1,0,0,Russian Federation,NA,NA,NA,0,2013-06-07,2013-06-07,13,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130544567,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-06-08,2013-06-25,20,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130488225,1,1,0,0,Spain,NA,NA,NA,0,2013-08-29,2013-08-31,33,3,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130075688,1,1,0,0,Other Europe,NA,NA,NA,0,2013-06-16,2013-06-17,78,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130505424,1,1,0,0,Greece,NA,NA,NA,0,2013-06-04,2013-06-23,5,1,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130210115,1,1,0,0,India,NA,NA,NA,0,2013-06-08,2013-06-08,47,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130021021,1,1,0,0,Russian Federation,NA,NA,NA,0,2013-06-11,2013-08-22,6,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130128464,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-08-08,2013-08-08,13,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130324050,1,1,0,0,Indonesia,NA,NA,NA,0,2013-08-28,2013-08-28,4,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130423921,1,0,0,0,India,NA,NA,NA,0,2013-05-03,2013-05-03,2,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130558153,1,1,1,1,United States,NA,NA,NA,0.7,2013-05-20,2013-08-18,6093,42,23,28.0,3,,
MITx/8.MReV/2013_Summer,MHxPC130338046,1,1,0,0,India,NA,NA,NA,0,2013-05-03,2013-06-28,6,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130194460,1,0,0,0,Egypt,NA,NA,NA,0,2013-06-12,,,19,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130283725,1,0,0,0,United Kingdom,NA,NA,NA,0,2013-05-15,2013-05-16,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130038053,1,0,0,0,United Kingdom,NA,NA,NA,0,2013-05-02,,,,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130470440,1,0,0,0,Russian Federation,NA,NA,NA,0,2013-04-30,2013-04-30,2,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130180901,1,1,0,0,India,NA,NA,NA,0,2013-07-08,2013-07-08,47,1,,5.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130112140,1,0,0,0,United States,NA,NA,NA,0,2013-04-26,2013-04-26,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130305113,1,1,0,0,United States,NA,NA,NA,0,2013-08-19,2013-08-19,3,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130010620,1,1,0,0,United States,NA,NA,NA,0,2013-06-08,2013-06-08,67,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130555501,1,1,0,0,India,NA,NA,NA,0,2013-05-02,2013-06-14,7,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130535047,1,1,0,0,United Kingdom,NA,NA,NA,0.01,2013-06-19,2013-07-01,740,10,,4.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130108123,1,1,0,0,India,NA,NA,NA,0,2013-06-01,2013-07-09,4,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130313829,1,0,0,0,Unknown/Other,NA,NA,NA, ,2013-08-01,,,,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130562510,1,0,0,0,United States,NA,NA,NA,0,2013-05-24,,,4,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130041768,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-06-19,2013-06-19,21,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130142258,1,0,0,0,Canada,NA,NA,NA,0,2013-05-26,2013-07-20,2,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130197763,1,1,0,0,Canada,NA,NA,NA,0,2013-05-17,2013-08-21,15,3,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130386868,1,0,0,0,United States,NA,NA,NA,0,2013-07-26,,,3,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130529969,1,1,0,0,India,NA,NA,NA,0,2013-04-28,2013-06-24,46,5,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130570208,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-07-19,10,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130423891,1,1,0,0,Other Europe,NA,NA,NA,0.15,2013-06-02,2013-07-08,2588,10,1,12.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130481547,1,0,0,0,Other Africa,NA,NA,NA,0,2013-05-13,2013-05-13,3,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130278984,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0.01,2013-05-04,2013-08-21,878,4,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130270279,1,1,0,0,India,NA,NA,NA,0,2013-06-03,2013-06-03,13,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130228027,1,1,1,1,United States,NA,NA,NA,0.97,2013-06-21,2013-09-05,14555,44,59,32.0,1,,
MITx/8.MReV/2013_Summer,MHxPC130077024,1,1,0,0,Poland,NA,NA,NA,0,2013-06-06,2013-09-02,3,2,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130554465,1,1,0,0,Canada,NA,NA,NA,0,2013-06-05,2013-06-05,19,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130570822,1,0,0,0,United States,NA,NA,NA,0,2013-05-04,,,,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130115157,1,0,0,0,Egypt,NA,NA,NA,0,2013-05-03,2013-05-03,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130558986,1,1,0,0,Germany,NA,NA,NA,0,2013-05-10,2013-08-21,70,3,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130308111,1,1,0,0,India,NA,NA,NA,0,2013-04-27,2013-06-04,44,3,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130415320,1,0,0,0,Russian Federation,NA,NA,NA,0,2013-05-23,,,5,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130483114,1,1,0,0,United States,NA,NA,NA,0,2013-06-23,2013-08-04,8,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130424204,1,1,0,0,United States,NA,NA,NA,0,2013-05-04,2013-06-12,11,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130585908,1,0,0,0,India,NA,NA,NA,0,2013-05-11,2013-05-11,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130165979,1,0,0,0,United Kingdom,NA,NA,NA,0,2013-05-03,,,9,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130480977,1,1,0,0,United States,NA,NA,NA,0,2013-05-01,2013-08-21,61,1,,6.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130085715,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-06-09,358,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130183602,1,1,0,0,Other Africa,NA,NA,NA,0,2013-05-15,2013-07-28,18,3,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130074809,1,1,0,0,United States,NA,NA,NA,0.16,2013-05-03,2013-06-21,1359,8,,11.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130508675,1,1,0,0,France,NA,NA,NA,0,2013-04-26,2013-08-16,45,5,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130127252,1,1,0,0,India,NA,NA,NA,0,2013-05-03,2013-06-18,57,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130103587,1,1,0,0,Other Europe,NA,NA,NA,0,2013-05-03,2013-06-03,316,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130457402,1,1,0,0,United States,NA,NA,NA,0,2013-05-20,2013-07-18,46,6,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130205921,1,1,0,0,Colombia,NA,NA,NA,0.15,2013-06-16,2013-07-07,1337,11,1,7.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130260260,1,1,0,0,United States,NA,NA,NA,0,2013-05-06,2013-06-10,23,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130329824,1,0,0,0,United States,NA,NA,NA,0,2013-05-03,2013-07-02,5,5,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130062940,1,1,0,0,United States,NA,NA,NA,0.02,2013-05-10,2013-07-07,736,13,,5.0,2,,
MITx/8.MReV/2013_Summer,MHxPC130166891,1,0,0,0,Canada,NA,NA,NA,0,2013-08-22,,,1,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130380861,1,0,0,0,Unknown/Other,NA,NA,NA, ,2013-05-03,,,,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130348852,1,1,0,0,Other Africa,NA,NA,NA,0,2013-05-09,2013-06-04,347,4,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130406651,1,0,0,0,United Kingdom,NA,NA,NA,0,2013-04-29,2013-04-29,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130143825,1,1,0,0,India,NA,NA,NA,0,2013-06-22,2013-06-22,4,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130439127,1,1,0,0,United States,NA,NA,NA,0.01,2013-05-15,2013-06-11,451,7,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130079762,1,1,0,0,Unknown/Other,NA,NA,NA, ,2013-04-27,2013-09-05,8,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130038512,1,1,0,0,Other South America,NA,NA,NA,0,2013-05-03,2013-07-27,326,4,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130396570,1,0,0,0,United States,NA,NA,NA,0,2013-05-04,,,3,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130029044,1,1,0,0,United States,NA,NA,NA,0.01,2013-06-19,2013-06-21,408,3,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130399459,1,0,0,0,United States,NA,NA,NA,0,2013-04-29,2013-04-29,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130164036,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-06-14,259,8,,7.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130340106,1,1,0,0,Canada,NA,NA,NA,0,2013-08-24,2013-09-02,32,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130397322,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-05-04,2013-06-08,9,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130337592,1,0,0,0,United States,NA,NA,NA,0,2013-05-28,,,2,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130088535,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-08-14,53,3,,4.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130046594,1,0,0,0,United States,NA,NA,NA,0,2013-05-03,2013-05-03,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130106242,1,1,0,0,United States,NA,NA,NA,0,2013-07-03,2013-08-13,106,15,,6.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130075514,1,1,0,0,Colombia,NA,NA,NA,0,2013-05-04,2013-08-08,259,3,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130319794,1,1,1,1,United States,NA,NA,NA,0.64,2013-04-29,2013-09-04,4892,42,1,31.0,3,,
MITx/8.MReV/2013_Summer,MHxPC130017972,1,1,0,0,Other Africa,NA,NA,NA,0,2013-05-03,2013-07-18,182,4,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130456559,1,1,0,0,United States,NA,NA,NA,0,2013-05-01,2013-06-17,28,4,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130344989,1,1,1,1,Other Europe,NA,NA,NA,0.97,2013-05-01,2013-09-07,7264,60,25,41.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130011850,1,1,0,0,United States,NA,NA,NA,0,2013-04-27,2013-08-04,72,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130192171,1,1,0,0,United States,NA,NA,NA,0,2013-05-01,2013-06-05,15,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130386883,1,1,0,0,Other Europe,NA,NA,NA,0.02,2013-05-06,2013-06-06,576,3,,7.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130487049,1,1,0,0,India,NA,NA,NA,0.03,2013-04-26,2013-07-01,545,15,,7.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130187282,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-06-25,25,3,,4.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130544780,1,0,0,0,Other Europe,NA,NA,NA,0,2013-05-18,2013-05-18,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130466941,1,1,0,0,United Kingdom,NA,NA,NA,0.02,2013-05-25,2013-06-22,315,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130556691,1,0,0,0,Egypt,NA,NA,NA,0,2013-09-02,,,1,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130099906,1,1,0,0,Germany,NA,NA,NA,0,2013-07-28,2013-08-26,43,4,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130186497,1,1,0,0,United Kingdom,NA,NA,NA,0.28,2013-06-09,2013-08-08,2445,32,4,15.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130277439,1,0,0,0,United States,NA,NA,NA,0,2013-05-01,2013-05-01,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130105462,1,0,0,0,United States,NA,NA,NA,0,2013-04-28,2013-04-29,1,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130017564,1,1,0,0,United States,NA,NA,NA,0.01,2013-05-12,2013-07-01,565,14,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130201008,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-05-20,2013-06-03,277,3,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130551306,1,0,0,0,United States,NA,NA,NA,0,2013-05-03,,,27,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130114688,1,1,0,0,India,NA,NA,NA,0,2013-06-25,2013-08-04,21,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130168880,1,1,0,0,Unknown/Other,NA,NA,NA, ,2013-05-09,2013-07-27,8,2,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130549727,1,0,0,0,United States,NA,NA,NA,0,2013-07-31,,,1,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130052472,1,0,0,0,United States,NA,NA,NA,0,2013-05-03,,,,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130365566,1,1,0,0,Ukraine,NA,NA,NA,0,2013-04-30,2013-08-08,49,4,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130056280,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0.01,2013-05-22,2013-06-23,851,8,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130594562,1,0,0,0,Greece,NA,NA,NA,0,2013-05-22,,,2,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130423378,1,1,0,0,United States,NA,NA,NA,0,2013-05-03,2013-06-12,89,5,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130202627,1,1,0,0,United States,NA,NA,NA,0.35,2013-06-12,2013-08-20,4561,36,13,22.0,1,,
MITx/8.MReV/2013_Summer,MHxPC130378383,1,1,0,0,United States,NA,NA,NA,0.01,2013-06-10,2013-06-10,319,1,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130138984,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.01,2013-05-04,2013-06-11,305,4,,4.0,0,
MITx/8.MReV/2013_Summer,MHxPC130579952,1,1,0,0,Other South America,NA,NA,NA,0,2013-04-30,2013-09-07,90,10,,3.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130188998,1,0,0,0,United States,NA,NA,NA,0,2013-06-13,2013-08-18,2,1,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130217709,1,1,0,0,France,NA,NA,NA,0,2013-05-22,2013-08-13,78,4,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130417684,1,0,0,0,United States,NA,NA,NA,0,2013-06-24,2013-08-13,3,2,,,0,,
MITx/8.MReV/2013_Summer,MHxPC130005483,1,1,0,0,United States,NA,NA,NA,0,2013-06-24,2013-06-24,6,1,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130401077,1,1,0,0,Mexico,NA,NA,NA,0,2013-07-30,2013-08-06,24,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130491398,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-04-29,2013-07-29,222,2,,2.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130080334,1,0,0,0,Poland,NA,NA,NA,0,2013-09-03,,,2,,,0,,1
MITx/8.MReV/2013_Summer,MHxPC130341631,1,1,0,0,Other South America,NA,NA,NA,0,2013-06-30,2013-08-21,27,3,,1.0,0,,
MITx/8.MReV/2013_Summer,MHxPC130087037,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-05-04,2013-06-07,47,4,,1.0,0,,
