Date,start_time_DI,last_event_DI
2013-04-19,737,1103
2013-04-18,871,1304
2013-09-01,717,1433
2013-04-10,1014,1476
2013-04-13,816,1106
2013-04-12,938,1312
2013-04-15,1105,1539
2013-04-14,920,1190
2013-04-17,955,1358
2013-09-06,579,1417
2013-02-13,2459,2254
2012-09-27,2647,1253
2012-09-24,1947,699
2013-02-10,1936,0
2012-09-22,1356,468
2012-09-23,1472,541
2012-09-20,1816,563
2012-09-21,1747,655
2012-12-28,1574,446
2013-09-08,1,0
2012-09-18,1740,572
2013-07-14,279,679
2012-09-17,1812,671
2013-01-03,2160,697
2013-01-02,2198,542
2013-01-05,1622,525
2013-07-11,399,849
2013-01-07,2674,908
2013-01-06,1743,569
2013-01-09,2341,750
2013-01-08,2407,1115
2013-07-18,390,791
2013-07-19,462,733
2012-12-25,1569,384
2012-09-13,2340,780
2012-12-23,1898,593
2013-04-11,1017,1384
2012-12-20,5858,786
2012-12-21,5809,1535
2013-09-03,705,1185
2013-03-10,1885,1749
2013-03-11,2278,2103
2013-03-12,2833,3033
2013-03-13,2561,4747
2013-03-14,1795,3470
2013-03-15,1567,2636
2013-03-16,1255,1953
2013-03-17,1413,2146
2013-03-18,1729,2815
2013-09-05,666,1242
2013-09-04,720,1272
2013-09-07,450,1638
2013-04-16,975,1461
2012-09-16,1642,735
2013-07-16,437,809
2012-09-30,2158,772
2013-03-30,2113,2903
2012-12-18,557,273
2013-08-20,598,816
2013-08-21,737,989
2013-08-22,655,971
2013-08-23,595,820
2013-08-24,523,729
2013-08-25,546,1060
2013-08-26,611,988
2013-08-27,597,957
2013-08-28,757,1073
2013-08-29,1212,1824
2012-08-03,928,177
2012-08-02,1105,246
2012-08-01,1239,252
2012-08-07,1267,275
2012-08-06,1095,234
2012-08-05,768,141
2012-08-04,668,172
2012-08-09,1075,233
2012-08-08,1159,227
2012-12-01,601,319
2012-12-02,622,334
2012-12-03,1081,568
2012-12-04,777,435
2012-12-05,2007,972
2012-12-06,1113,743
2012-12-07,862,618
2012-12-08,820,502
2012-12-09,923,558
2013-11-17,0,7046
2012-10-31,1147,787
2012-10-30,1265,997
2013-06-30,440,877
2012-11-29,618,368
2012-11-28,747,461
2012-11-27,818,472
2012-11-26,853,481
2012-11-25,690,355
2012-11-24,607,378
2012-11-23,647,360
2012-11-22,728,427
2012-11-21,753,482
2012-11-20,892,488
2013-04-28,1016,1140
2013-04-29,1218,1452
2013-04-24,744,1101
2013-04-25,779,1100
2013-04-26,790,974
2013-04-27,840,916
2013-04-20,721,972
2013-04-21,834,1137
2013-04-22,929,1341
2013-04-23,846,1275
2013-05-30,1007,1359
2013-05-31,867,1367
2013-01-01,1553,360
2013-07-09,374,1250
2013-07-08,365,825
2013-07-15,396,817
2013-07-03,474,891
2013-07-02,518,1005
2013-07-01,511,975
2013-07-07,273,635
2013-07-06,274,606
2013-07-05,307,686
2013-07-04,357,772
2013-07-17,459,804
2013-01-30,2974,838
2013-01-31,3290,1395
2013-07-10,386,1042
2012-08-30,2381,442
