Date,start_time_DI,last_event_DI
2013-07-30,109,121
2013-08-27,23,78
2013-09-05,2,108
2013-04-19,38,65
2013-04-18,61,91
2013-06-09,59,73
2013-07-16,39,60
2013-04-11,62,90
2013-04-10,55,104
2013-09-03,0,95
2013-09-02,0,44
2013-04-15,83,114
2013-04-14,60,86
2013-04-17,54,92
2013-09-06,0,194
2013-04-16,64,98
2013-07-14,40,44
2013-06-30,38,45
2012-12-19,194,0
2013-07-19,29,46
2013-01-12,156,0
2013-01-13,175,2
2013-01-10,199,2
2013-01-11,183,1
2013-01-16,137,0
2013-01-17,151,0
2013-01-14,167,0
2013-07-26,172,174
2013-07-29,95,130
2013-02-17,190,70
2013-01-18,167,0
2013-01-19,118,1
2013-02-16,214,98
2013-05-29,65,86
2013-05-28,96,83
2013-03-28,117,217
2013-04-28,56,73
2013-04-29,67,102
2013-04-24,56,112
2013-04-25,49,77
2013-04-26,56,88
2013-04-27,46,60
2013-04-20,46,63
2013-04-21,56,68
2013-04-22,62,167
2013-04-23,59,161
2013-06-01,56,53
2013-06-02,54,66
2013-06-03,63,70
2013-03-29,143,179
2013-06-05,41,46
2013-06-06,77,91
2013-06-07,70,82
2013-03-25,188,311
2013-03-24,96,203
2013-03-27,162,270
2013-03-26,352,354
2013-03-21,141,259
2013-03-20,146,371
2013-03-23,107,216
2013-03-22,125,239
2013-01-01,140,2
2013-06-08,51,46
2013-01-03,192,0
2013-07-17,51,70
2013-02-08,140,1
2013-02-09,111,0
2013-01-07,236,2
2013-07-13,31,47
2013-02-04,176,1
2013-02-05,155,0
2013-02-06,142,1
2013-02-07,168,1
2013-07-18,32,48
2013-02-01,150,1
2013-02-02,131,0
2013-02-03,158,1
2013-07-10,59,70
2013-01-08,220,1
2013-05-04,38,38
2013-09-01,0,49
2013-04-30,96,94
2013-08-14,16,42
2013-04-13,45,74
2013-06-17,67,73
2013-03-11,247,146
2013-03-12,431,204
2013-06-14,65,67
2013-03-14,219,770
2013-03-15,144,390
2013-03-16,119,253
2013-03-17,137,300
2013-03-18,147,581
2013-07-02,59,65
2013-07-01,43,54
2013-07-07,38,39
2013-07-06,33,45
2013-06-19,56,85
2013-09-04,0,124
2013-02-13,110,40
2013-02-12,152,51
2013-02-11,161,33
2013-02-10,147,1
2013-01-30,136,0
2013-09-07,0,250
2013-02-15,379,254
2013-02-14,537,258
2013-05-27,82,77
2013-05-26,62,65
2013-02-19,255,98
2013-02-18,231,107
2013-05-23,81,87
2013-05-22,148,124
2013-05-21,137,123
2013-05-20,86,113
2013-07-12,39,49
2013-07-15,39,45
2013-01-06,150,0
2013-05-08,69,98
2013-01-09,235,0
2013-08-08,48,66
2013-08-09,18,43
2013-08-06,40,64
2013-08-07,38,64
2013-08-04,26,57
2013-08-05,48,74
2013-08-02,41,60
2013-08-03,26,44
2013-08-01,48,83
2013-03-07,188,197
2013-03-06,242,75
2013-03-05,208,83
2013-03-04,247,59
2013-03-03,201,59
2013-03-02,168,54
2013-03-01,263,81
2013-01-23,480,3
2013-01-22,227,0
2013-01-21,165,0
2013-01-20,143,1
2013-01-27,177,1
2013-01-26,121,0
2013-01-25,137,2
2013-03-08,169,287
2013-07-08,58,60
2013-05-25,61,74
2013-01-02,192,0
2013-08-21,26,63
2013-08-19,12,48
2013-08-18,11,41
2013-08-15,14,41
2013-06-16,58,71
2013-08-17,15,37
2013-03-31,106,180
2013-08-11,10,42
2013-08-10,11,33
2013-08-13,15,40
2013-08-12,15,58
2013-07-21,26,50
2013-07-20,22,40
2013-05-30,73,71
2013-07-23,35,51
2013-07-05,43,44
2013-07-22,34,51
2013-06-15,38,68
2013-07-25,206,143
2013-07-04,51,60
2013-07-24,31,56
2013-06-18,78,85
2013-07-27,86,93
2013-05-31,49,67
2013-07-11,62,65
2013-01-15,218,0
2013-01-29,172,2
2013-08-20,29,44
2013-01-31,163,0
2013-08-22,37,50
2013-01-28,188,1
2013-08-24,25,29
2013-08-25,35,59
2013-08-26,29,75
2013-07-28,67,70
2013-08-28,0,57
2013-08-29,0,112
2012-12-28,152,1
2012-12-29,116,0
2012-12-26,188,1
2012-12-27,157,1
2012-12-24,161,0
2012-12-25,161,0
2012-12-22,291,1
2012-12-23,201,1
2012-12-20,941,4
2012-12-21,769,3
2013-06-13,71,106
2013-05-16,92,113
2013-05-17,87,91
2013-05-14,137,148
2013-05-15,113,146
2013-05-12,51,111
2013-05-13,125,134
2013-05-10,62,129
2013-05-11,55,187
2013-05-18,75,96
2013-05-19,86,101
2013-06-12,81,112
2013-03-09,173,151
2013-08-31,0,46
2013-08-30,0,54
2013-01-24,221,2
2013-05-24,74,85
2013-07-09,48,70
2013-01-05,142,4
2013-03-13,378,631
2012-12-31,88,1
2012-12-30,126,1
2013-04-12,51,92
2013-07-31,70,110
2013-01-04,193,2
2013-05-05,49,57
2013-03-10,222,133
2013-05-07,63,78
2013-05-06,64,70
2013-05-01,51,82
2013-05-03,58,73
2013-05-02,68,73
2013-03-30,147,235
2013-05-09,65,72
2013-06-10,80,114
2013-04-08,71,141
2013-04-09,67,107
2013-08-16,21,39
2013-04-02,139,202
2013-04-03,111,192
2013-04-01,115,191
2013-04-06,82,104
2013-04-07,67,113
2013-04-04,109,147
2013-04-05,94,140
2013-06-04,50,72
2013-06-11,64,188
2013-06-28,53,44
2013-06-29,45,46
2013-06-26,46,67
2013-06-27,50,63
2013-06-24,76,86
2013-06-25,52,71
2013-06-22,52,51
2013-06-23,50,58
2013-06-20,55,72
2013-06-21,69,77
2013-07-03,61,56
2013-02-28,270,76
2013-08-23,22,55
2013-11-17,0,7024
2013-03-19,193,523
2013-02-22,276,91
2013-02-23,209,64
2013-02-20,334,115
2013-02-21,348,109
2013-02-26,182,60
2013-02-27,194,56
2013-02-24,194,56
2013-02-25,222,85
