Date,start_time_DI,last_event_DI
2013-04-19,103,227
2013-04-18,122,250
2013-09-01,125,353
2013-04-10,100,239
2013-04-13,92,239
2013-04-12,119,269
2013-09-05,150,0
2013-04-14,98,238
2013-04-17,118,277
2013-04-16,125,320
2013-02-13,173,263
2013-02-12,186,297
2012-09-24,828,4
2013-02-10,149,1
2012-09-22,565,4
2012-09-23,614,3
2012-09-20,666,5
2012-09-21,662,3
2012-12-28,339,2
2013-09-08,1,0
2012-12-29,307,0
2013-07-14,41,147
2013-07-15,67,170
2013-01-03,296,0
2013-01-02,423,2
2013-01-05,205,1
2013-07-11,60,173
2013-01-07,476,3
2013-01-06,212,1
2013-01-09,294,2
2013-01-08,325,2
2013-07-18,113,198
2012-09-15,549,4
2012-09-14,709,11
2012-12-22,301,1
2012-12-23,304,1
2013-04-11,104,259
2012-12-20,475,6
2012-09-10,725,4
2013-09-03,131,3
2013-03-10,153,346
2013-03-11,217,390
2013-03-12,204,405
2013-03-13,180,409
2013-03-14,143,363
2013-03-15,158,356
2013-03-16,120,257
2013-03-17,138,313
2013-03-18,181,347
2013-03-19,147,334
2013-09-04,140,2
2013-09-07,70,0
2013-09-06,115,0
2013-07-16,110,184
2012-09-30,899,10
2012-12-19,347,3
2012-12-18,386,4
2013-08-20,102,0
2013-08-21,115,0
2013-08-22,104,2
2013-08-23,121,0
2013-08-24,87,0
2013-08-25,81,260
2013-08-26,92,0
2013-08-27,108,0
2013-08-28,125,2
2013-08-29,245,2
2012-08-03,396,2
2012-08-02,480,3
2012-08-01,546,3
2012-08-07,520,4
2012-08-06,498,3
2012-08-05,337,0
2012-08-04,285,0
2012-08-09,431,1
2012-08-08,459,3
2012-10-10,1104,5
2013-04-15,111,317
2012-12-01,318,3
2012-12-02,334,1
2012-12-03,537,0
2012-12-04,391,0
2012-12-05,940,1
2012-12-06,519,2
2012-12-07,372,3
2012-12-08,326,1
2012-12-09,389,1
2012-10-31,557,6
2012-10-30,624,2
2013-06-30,154,212
2013-07-19,110,157
2012-11-29,328,1
2012-11-28,409,5
2012-11-27,469,2
2012-11-26,437,3
2012-11-25,335,1
2012-11-24,328,1
2012-11-23,340,1
2012-11-22,428,0
2012-11-21,404,3
2012-11-20,482,0
2013-04-28,119,181
2013-04-29,121,236
2013-04-24,96,202
2013-04-25,100,208
2013-04-26,88,181
2013-04-27,107,195
2013-04-20,82,192
2013-04-21,94,237
2013-04-22,116,263
2013-04-23,123,250
2013-05-30,164,203
2013-05-31,122,187
2013-01-01,297,2
2013-07-09,57,178
2013-07-08,48,164
2013-07-03,138,234
2013-07-02,169,258
2013-07-01,168,253
2013-07-07,39,154
2013-07-06,48,123
2013-07-05,48,141
2013-07-04,68,162
2013-07-17,97,185
2013-01-30,214,1
2013-01-31,213,4
2013-07-10,56,168
2012-08-30,1141,4
2012-08-31,709,4
2013-01-04,263,1
2013-07-12,66,170
2013-07-13,52,122
2013-03-07,240,429
2013-03-06,303,574
2013-03-05,382,585
2013-03-04,816,1191
2013-03-03,3098,896
2013-03-02,157,216
2013-03-01,198,294
2013-03-09,158,341
2013-03-08,201,411
2012-11-16,401,3
2012-11-17,369,1
2012-11-14,413,6
2012-11-15,402,1
2012-11-12,499,3
2012-11-13,457,2
2012-11-10,406,3
2012-11-11,386,1
2012-11-18,450,1
2012-11-19,478,0
2012-09-08,542,3
2012-09-09,619,0
2012-09-01,506,1
2012-09-02,594,4
2012-09-03,813,2
2012-09-04,1048,6
2012-09-05,971,11
2012-09-06,1134,4
2012-09-07,685,2
2012-10-08,1189,7
2012-10-09,1067,12
2012-10-02,1141,8
2012-10-03,1406,5
2012-10-01,1193,7
2012-10-06,717,2
2012-10-07,900,7
2012-10-04,986,4
2012-10-05,1003,6
2013-08-31,117,2
2013-08-30,152,1
2012-07-28,694,5
2012-07-29,1066,1
2012-07-23,1,0
2012-07-24,2072,10
2012-07-25,1457,8
2012-07-26,949,6
2012-07-27,663,3
2013-09-02,129,2
2013-07-30,208,401
2013-07-31,164,308
2012-12-17,354,1
2012-12-16,324,1
2012-12-15,306,2
2012-12-14,345,0
2012-12-13,352,1
2012-12-12,358,2
2012-12-11,391,2
2012-12-10,546,0
2013-03-30,172,531
2013-03-31,114,329
2013-06-01,116,157
2013-06-02,131,176
2013-06-03,163,209
2013-06-04,181,227
2013-06-05,177,259
2013-06-06,183,312
2013-06-07,148,273
2013-06-08,115,193
2013-06-09,136,208
2013-02-08,177,1
2013-02-09,158,2
2013-02-04,216,2
2013-02-05,214,1
2013-02-06,204,1
2013-02-07,208,3
2013-02-01,187,0
2013-02-02,214,0
2013-02-03,210,1
2013-04-30,125,233
2013-05-29,149,197
2013-05-28,163,238
2013-05-27,139,181
2013-05-26,133,184
2013-05-25,188,210
2013-05-24,172,202
2013-05-23,144,213
2013-05-22,185,251
2013-05-21,205,283
2013-05-20,141,273
2013-08-08,119,229
2013-08-09,95,249
2013-08-06,97,219
2013-08-07,106,211
2013-08-04,87,198
2013-08-05,92,235
2013-08-02,86,211
2013-08-03,90,180
2013-08-01,123,235
2013-01-29,219,3
2013-01-28,233,1
2013-01-23,328,2
2013-01-22,245,2
2013-01-21,225,2
2013-01-20,246,2
2013-01-27,213,1
2013-01-26,149,2
2013-01-25,192,1
2013-01-24,226,3
2012-08-29,1181,8
2012-08-28,825,14
2012-08-21,1399,13
2012-08-20,1812,11
2012-08-23,912,5
2012-08-22,1208,8
2012-08-25,561,3
2012-08-24,726,5
2012-08-27,785,9
2012-08-26,689,7
2013-01-12,174,0
2013-01-13,239,2
2013-01-10,269,2
2013-01-11,196,3
2013-07-25,366,360
2013-01-17,204,1
2012-11-05,607,4
2012-11-04,572,3
2012-11-07,474,4
2012-11-06,524,3
2012-11-01,522,3
2013-07-27,218,301
2012-11-03,512,2
2012-11-02,522,4
2013-01-15,221,2
2012-11-09,385,1
2012-11-08,431,3
2012-09-19,740,2
2012-09-18,734,4
2012-12-26,370,1
2012-09-16,629,5
2012-12-24,302,3
2012-12-25,296,0
2012-09-13,940,7
2012-09-12,1285,11
2012-09-11,1013,13
2012-12-21,556,2
2013-05-16,116,247
2013-05-17,116,201
2013-05-14,118,264
2013-05-15,130,244
2013-05-12,119,212
2013-05-13,147,270
2013-05-10,125,325
2013-05-11,92,236
2013-05-18,102,188
2013-05-19,151,234
2012-10-19,1254,5
2012-10-18,1216,6
2012-10-11,1191,17
2012-09-17,782,5
2012-10-13,963,8
2012-10-12,1066,7
2012-10-15,4154,21
2012-10-14,2382,10
2012-10-17,1644,19
2012-10-16,2653,13
2013-04-08,107,295
2013-04-09,113,257
2013-04-02,150,377
2013-04-03,163,335
2013-04-01,131,367
2013-04-06,119,233
2013-04-07,133,268
2013-04-04,139,306
2013-04-05,135,289
2012-07-31,679,6
2012-07-30,904,2
2013-07-21,111,165
2013-07-20,93,171
2013-07-23,115,195
2013-07-22,106,192
2013-01-16,223,2
2013-07-24,108,190
2013-01-14,224,1
2013-07-26,389,450
2013-07-29,228,413
2013-07-28,167,247
2013-01-18,234,3
2013-01-19,195,0
2013-03-29,146,298
2013-03-28,136,305
2013-03-25,159,330
2013-03-24,176,327
2013-03-27,154,347
2013-03-26,145,303
2013-03-21,146,320
2013-03-20,156,369
2013-03-23,102,253
2013-03-22,128,268
2013-06-17,221,275
2013-06-16,190,229
2013-06-15,183,212
