Date,start_time_DI,last_event_DI
2013-09-05,76,177
2013-04-19,106,140
2013-04-18,114,161
2013-06-09,96,123
2013-07-16,107,153
2013-04-11,153,225
2013-04-10,140,235
2013-04-13,110,161
2013-04-12,119,195
2013-04-15,174,215
2013-04-14,146,174
2013-04-17,130,207
2013-09-06,69,210
2013-07-21,66,117
2013-04-16,161,213
2013-07-14,73,130
2013-09-04,96,182
2013-06-30,104,132
2012-12-19,246,2
2013-03-31,207,311
2013-01-12,260,0
2013-02-16,307,112
2013-01-10,391,2
2013-07-22,95,136
2013-01-16,340,2
2013-01-17,304,2
2013-07-27,199,240
2013-01-15,510,0
2013-07-29,218,304
2013-07-28,160,207
2013-01-18,321,0
2013-01-19,328,1
2013-01-31,348,1
2013-05-29,125,208
2013-05-28,128,183
2013-03-28,199,523
2013-04-28,123,145
2013-04-29,139,162
2013-05-26,115,100
2013-04-24,98,153
2013-04-25,119,167
2013-04-26,136,153
2013-04-27,107,145
2013-04-20,114,136
2013-02-19,360,137
2013-04-22,145,184
2013-04-23,115,172
2013-06-01,95,135
2013-06-02,119,124
2013-06-03,122,173
2013-03-29,276,434
2013-06-05,65,130
2013-06-06,144,184
2013-06-07,133,167
2013-06-08,92,121
2013-03-24,209,298
2013-03-27,235,421
2013-03-26,214,314
2013-03-21,290,478
2013-03-20,353,560
2013-03-23,167,281
2013-03-22,212,363
2013-01-01,275,3
2013-03-25,228,389
2013-01-03,397,1
2013-01-02,407,4
2013-01-05,308,3
2013-01-04,386,1
2013-01-07,466,3
2013-07-13,79,108
2013-01-09,429,3
2013-05-31,110,148
2013-02-06,256,1
2013-02-07,322,4
2013-07-18,92,144
2013-07-19,103,120
2013-02-02,254,0
2013-02-03,288,0
2013-05-04,100,106
2013-09-01,75,176
2013-04-30,138,183
2013-07-09,107,119
2013-09-03,99,173
2013-03-08,419,146
2013-06-17,122,165
2013-03-11,640,199
2013-03-12,766,719
2013-06-14,80,108
2013-03-14,398,877
2013-03-15,306,575
2013-03-16,245,427
2013-03-17,254,498
2013-03-18,326,567
2013-07-02,137,170
2013-07-01,130,161
2013-07-07,77,108
2013-07-06,86,109
2013-06-19,107,140
2013-06-18,133,138
2013-02-13,285,132
2013-02-12,304,109
2013-02-11,278,55
2013-07-17,115,145
2013-02-17,331,137
2013-09-07,52,213
2013-02-15,613,238
2013-02-14,872,246
2013-05-27,121,133
2013-02-08,274,1
2013-05-25,108,95
2013-05-24,113,128
2013-05-23,163,168
2013-05-22,252,221
2013-05-21,201,164
2013-02-09,206,3
2013-07-12,84,97
2013-07-15,137,153
2013-01-06,330,2
2013-02-04,307,1
2013-08-08,114,213
2013-01-08,442,1
2013-08-06,114,202
2013-08-07,117,216
2013-08-04,78,175
2013-08-05,123,216
2013-08-02,105,230
2013-08-03,91,159
2013-08-01,121,234
2013-03-07,518,205
2013-03-06,865,240
2013-03-05,356,110
2013-01-28,408,1
2013-03-03,300,80
2013-03-02,195,62
2013-03-01,260,84
2013-01-23,934,3
2013-01-22,526,5
2013-01-21,329,0
2013-02-28,276,100
2013-01-27,394,1
2013-01-26,272,0
2013-03-09,294,118
2013-02-01,295,1
2013-04-09,162,223
2013-07-08,95,130
2013-02-05,294,4
2013-06-10,110,126
2013-08-09,89,189
2013-06-16,94,108
2013-08-19,79,191
2013-08-18,77,158
2013-04-03,232,320
2013-08-15,69,232
2013-08-14,79,256
2013-08-17,58,159
2013-08-16,57,232
2013-08-11,72,178
2013-08-10,67,161
2013-08-13,90,229
2013-08-12,87,239
2013-07-10,103,143
2013-01-13,300,1
2013-05-30,124,171
2013-07-23,89,140
2013-07-05,82,100
2013-02-18,390,153
2013-01-11,369,3
2013-07-20,75,129
2013-06-15,87,76
2013-07-25,388,286
2013-07-04,92,139
2013-07-24,92,137
2013-01-30,357,0
2013-01-14,335,2
2013-07-11,122,128
2013-07-26,370,375
2013-01-29,330,2
2013-08-20,70,156
2013-08-21,114,171
2013-08-22,80,153
2013-03-04,331,93
2013-08-24,68,129
2013-08-25,68,113
2013-08-26,63,136
2013-08-27,70,142
2013-08-28,97,174
2013-08-29,136,229
2012-12-28,307,3
2012-12-29,252,1
2012-12-26,369,2
2012-12-27,369,1
2012-12-24,307,1
2012-12-25,271,2
2012-12-22,482,2
2012-12-23,371,1
2012-12-20,1319,9
2012-12-21,1198,5
2013-04-21,150,163
