Date,start_time_DI,last_event_DI
2013-07-06,26,32
2013-04-19,0,8
2013-04-18,0,26
2013-04-11,0,21
2013-04-10,0,18
2013-04-13,0,19
2013-09-02,48,83
2013-09-05,50,101
2013-04-14,0,10
2013-04-17,0,20
2013-04-16,0,19
2013-02-13,0,39
2012-09-27,201,72
2012-09-24,195,92
2013-02-17,0,32
2013-02-16,0,28
2013-02-15,0,94
2012-09-21,193,82
2012-09-19,242,80
2012-12-29,0,33
2013-01-01,0,31
2013-07-15,29,31
2013-07-16,38,46
2013-07-17,31,39
2013-01-05,96,94
2013-01-04,59,68
2013-01-07,89,136
2013-01-06,87,118
2013-01-09,62,100
2013-01-08,93,158
2013-07-18,33,42
2013-07-19,37,45
2012-09-14,250,85
2012-12-22,0,64
2012-12-23,0,41
2013-09-01,38,50
2012-09-11,417,92
2012-09-10,215,3
2013-09-03,47,79
2013-03-10,0,19
2012-09-17,234,97
2013-03-12,0,51
2013-04-12,0,21
2013-03-14,1,34
2013-03-15,0,21
2013-03-16,0,16
2013-03-17,0,18
2013-03-18,0,29
2013-04-15,0,16
2013-09-04,42,71
2013-09-07,23,73
2013-09-06,51,96
2012-09-30,204,62
2013-03-30,0,85
2013-03-31,0,48
2013-08-20,40,47
2013-08-21,45,50
2013-08-22,28,38
2013-08-23,35,33
2013-08-24,28,33
2013-08-25,26,35
2013-08-26,42,73
2013-08-27,42,67
2013-08-28,41,53
2013-08-29,64,129
2012-08-03,93,27
2012-08-02,126,54
2012-08-01,145,46
2012-08-07,146,46
2012-08-06,98,39
2012-08-05,79,30
2012-08-04,62,29
2012-08-09,171,64
2012-08-08,203,78
2012-12-01,66,75
2012-12-02,73,86
2012-12-03,193,190
2012-12-04,106,128
2012-12-05,113,114
2012-12-06,101,168
2012-12-07,73,104
2012-12-08,71,81
2012-12-09,80,76
2012-10-31,240,286
2012-10-30,258,401
2013-06-30,23,26
2012-11-29,73,97
2012-11-28,92,174
2012-11-27,101,169
2012-11-26,131,166
2012-11-25,112,88
