Date,start_time_DI,last_event_DI
2013-09-05,2,42
2013-07-06,0,44
2013-04-19,104,59
2013-04-18,141,68
2013-06-09,95,164
2013-04-25,108,58
2013-09-01,0,39
2013-01-09,303,0
2013-04-13,82,46
2013-09-02,0,39
2013-04-15,139,74
2013-09-04,0,38
2013-04-17,144,54
2013-04-16,140,75
2013-07-28,63,71
2013-07-14,0,53
2013-06-30,0,59
2012-12-19,152,0
2013-03-31,188,111
2013-01-12,209,0
2013-07-20,29,46
2013-01-10,313,0
2013-01-11,260,0
2013-01-16,237,0
2013-01-17,262,0
2013-07-27,94,110
2013-01-15,351,0
2013-07-29,87,139
2013-01-30,269,0
2013-01-18,257,0
2013-01-19,232,0
2013-02-16,220,106
2013-05-29,131,238
2013-09-07,0,33
2013-02-14,706,222
2013-04-28,127,62
2013-04-29,212,92
2013-04-24,124,57
2013-03-29,186,94
2013-04-26,104,59
2013-04-27,83,46
2013-04-20,99,51
2013-05-25,90,258
2013-04-22,149,68
2013-06-05,58,170
2013-06-01,66,347
2013-06-02,53,214
2013-06-03,77,264
2013-06-04,66,222
2013-03-28,160,102
2013-06-06,137,231
2013-06-07,108,223
2013-03-25,157,101
2013-03-24,173,102
2013-03-27,175,85
2013-03-26,155,103
2013-03-21,178,110
2013-03-20,211,136
2013-03-23,113,64
2013-03-22,138,83
2013-01-01,199,0
2013-06-08,65,122
2013-01-03,287,0
2013-01-02,301,0
2013-02-08,214,0
2013-07-11,0,91
2013-01-07,337,0
2013-01-06,249,0
2013-05-30,120,204
2013-05-31,92,301
2013-02-06,218,0
2013-02-07,236,0
2013-07-18,50,67
2013-02-01,205,0
2013-02-02,175,0
2013-08-18,0,54
2013-07-10,2,67
2013-05-04,113,60
2013-04-11,143,71
2013-04-30,188,82
2013-04-10,153,90
2013-09-03,0,40
2013-02-09,151,0
2013-03-10,168,112
2013-03-11,203,126
2013-03-12,247,166
2013-03-13,200,140
2013-03-14,192,126
2013-06-12,108,238
2013-06-11,108,212
2013-03-17,148,107
2013-03-18,183,111
2013-07-02,0,66
2013-07-01,0,65
2013-07-07,0,40
2013-07-16,6,44
2013-06-19,68,147
2013-06-18,95,160
2013-02-13,192,123
2013-02-12,245,119
2013-02-11,241,61
2013-02-10,139,0
2013-02-17,248,110
2013-01-31,242,0
2013-02-15,527,278
2013-05-28,125,264
2013-05-27,144,239
2013-05-26,104,277
2013-02-19,318,139
2013-05-24,127,405
2013-05-23,164,315
2013-05-22,217,426
2013-05-21,222,512
2013-05-20,193,634
2013-06-14,70,135
2013-07-12,0,78
2013-07-15,0,66
2013-07-13,0,42
2013-05-08,181,57
2013-02-04,266,0
2013-08-08,48,85
2013-01-08,327,0
2013-06-25,0,76
2013-08-07,43,90
2013-08-04,24,56
2013-08-05,51,74
2013-08-02,43,82
2013-08-03,32,68
2013-08-01,45,93
2013-03-07,156,118
2013-03-06,200,130
2013-01-29,231,0
2013-01-28,296,0
2013-03-03,181,72
2013-02-18,278,127
2013-03-01,175,81
2013-01-23,740,0
2013-01-22,460,0
2013-01-21,475,0
2013-01-20,443,0
2013-01-27,287,0
2013-01-26,240,0
2013-01-25,251,0
2013-01-24,350,0
2013-04-09,129,69
2013-06-17,103,171
2013-02-05,272,0
2013-07-17,61,79
2013-08-09,28,67
2013-09-06,0,39
2013-08-06,51,75
2013-08-19,0,77
2013-03-30,247,186
2013-04-03,195,128
2013-08-15,0,174
2013-08-14,19,129
2013-08-17,0,70
2013-08-16,0,103
2013-08-11,28,58
2013-08-10,28,56
2013-08-13,38,77
2013-08-12,31,73
2013-07-21,42,68
2013-06-16,76,138
2013-01-13,238,0
2013-07-23,45,110
2013-07-05,0,51
2013-07-22,34,96
2013-03-04,198,97
2013-07-25,116,125
2013-07-04,0,68
2013-07-24,48,126
2013-01-14,287,0
2013-07-26,159,175
2013-03-05,210,113
2013-08-20,0,70
2013-08-21,0,61
2013-08-22,0,82
2013-08-23,0,57
2013-08-24,0,55
2013-08-25,0,60
2013-08-26,0,47
2013-08-27,1,42
2013-08-28,0,57
2013-08-29,0,84
2013-03-02,126,66
2012-12-28,179,0
2012-12-29,216,0
2012-12-26,289,0
2012-12-27,268,0
2012-12-24,238,0
2012-12-25,232,0
2012-12-22,429,0
2012-12-23,307,0
2012-12-20,1027,0
2012-12-21,1203,0
2013-04-21,103,59
2013-05-16,298,883
2013-05-17,189,602
2013-05-14,375,344
2013-05-15,496,816
2013-05-12,148,36
2013-05-13,190,66
2013-05-10,145,67
2013-05-11,125,38
2013-05-18,155,682
2013-05-19,156,505
2013-04-14,95,49
2013-03-09,145,76
2013-08-31,0,34
2013-08-30,0,64
2013-03-08,153,104
2013-07-09,0,66
2013-01-05,203,0
2012-12-31,164,0
2012-12-30,202,0
2013-04-12,116,62
2013-04-23,140,55
2013-01-04,273,0
2013-05-05,139,64
2013-07-30,106,159
2013-05-07,184,77
2013-05-06,197,72
2013-05-01,149,54
2013-05-03,151,62
2013-05-02,134,62
2013-07-19,48,75
2013-02-03,203,0
2013-05-09,162,57
2013-06-15,48,115
2013-04-08,173,97
2013-07-08,0,46
2013-04-02,216,126
2013-06-13,84,241
2013-04-01,214,124
2013-04-06,111,51
2013-04-07,129,87
2013-04-04,149,91
2013-04-05,137,85
2013-03-15,160,112
2013-03-16,109,106
2013-06-28,0,66
2013-06-29,0,59
2013-06-26,0,73
2013-06-27,0,63
2013-06-24,0,92
2013-06-10,96,198
2013-06-22,0,75
2013-06-23,0,75
2013-06-20,0,97
2013-06-21,0,87
