Date,start_time_DI,last_event_DI
2013-04-19,0,26
2013-04-18,0,17
2013-09-01,0,29
2013-04-10,0,26
2013-09-03,0,34
2013-04-12,0,26
2013-09-05,2,30
2013-04-14,0,16
2013-04-17,0,29
2013-09-06,0,41
2012-09-26,919,676
2013-02-12,0,43
2012-09-24,603,204
2013-02-17,0,47
2013-02-16,0,33
2013-07-13,0,11
2013-02-15,0,71
2012-09-21,564,207
2012-09-19,513,196
2012-12-29,0,40
2013-07-14,0,21
2012-09-17,453,157
2013-07-16,0,25
2013-07-17,0,17
2013-01-05,0,54
2013-01-04,0,57
2013-01-07,0,79
2012-12-27,0,52
2013-01-09,0,65
2013-01-08,0,83
2013-07-18,0,20
2012-12-24,0,58
2012-12-25,0,46
2012-09-13,572,234
2012-09-12,812,296
2013-04-11,0,35
2012-09-11,679,149
2012-09-10,497,2
2013-04-13,0,20
2013-03-10,0,36
2013-03-11,0,35
2013-03-12,0,38
2013-09-02,0,36
2013-03-14,0,30
2013-03-15,0,26
2013-03-16,0,12
2013-03-17,0,31
2013-03-18,0,38
2013-04-15,0,25
2013-09-04,0,31
2013-09-07,0,46
2013-04-16,0,32
2012-09-30,748,369
2013-03-30,0,72
2013-03-31,0,50
2013-08-20,0,22
2013-08-21,0,26
2013-08-22,0,25
2013-08-23,0,15
2013-08-24,0,18
2013-08-25,0,14
2013-08-26,0,29
2013-08-27,0,30
2013-08-28,0,38
2013-08-29,0,90
2012-08-03,248,99
2012-08-02,290,119
2012-08-01,332,129
2012-08-07,345,139
2012-08-06,294,107
2012-08-05,187,71
2012-08-04,174,80
2012-08-09,255,97
2012-08-08,271,89
2012-12-01,129,149
2012-12-02,140,164
2012-12-03,225,237
2012-12-04,172,197
2012-12-05,690,609
2012-12-06,353,417
2012-12-07,306,378
2012-12-08,316,320
2012-12-09,344,354
2012-10-31,224,336
2012-10-30,241,366
2013-06-30,0,21
2013-07-19,0,18
2012-11-29,133,174
2012-11-28,147,182
2012-11-27,159,192
2012-11-26,166,211
2012-11-25,159,180
2012-11-24,127,185
2012-11-23,129,166
2012-11-22,130,206
2012-11-21,172,247
2012-11-20,194,209
2013-04-28,0,24
2013-04-29,0,15
2013-04-24,0,18
2013-04-25,0,24
2013-04-26,0,15
2013-04-27,0,15
2013-04-20,0,23
2013-04-21,0,22
2013-04-22,0,29
2013-04-23,0,25
2013-05-30,1,20
2013-05-31,0,14
2013-01-01,0,22
2013-07-09,0,27
2013-07-08,0,24
2013-07-15,0,21
2013-07-03,0,22
2013-07-02,0,21
2013-07-01,0,16
2013-07-07,0,19
2013-07-06,0,11
2013-07-05,0,25
2013-07-04,0,25
2013-01-02,0,48
2013-01-30,0,93
2013-01-31,0,170
2013-07-10,0,23
2012-08-30,626,228
2012-08-31,502,185
2013-07-11,0,18
2013-07-12,1,13
2013-01-06,0,57
2013-03-07,0,33
2013-03-06,0,35
2013-03-05,0,42
2013-03-04,0,31
2013-03-03,0,30
2013-03-02,0,25
2013-03-01,0,30
2013-03-09,0,41
2013-03-08,0,26
2012-11-16,130,174
2012-11-17,184,184
2012-11-14,189,247
2012-11-15,149,219
2012-11-12,203,304
2012-11-13,234,277
2012-11-10,190,272
2012-11-11,168,241
2012-11-18,163,193
2012-11-19,195,257
2012-09-08,388,1
2012-09-09,480,3
2012-09-01,314,124
2012-09-02,364,146
2012-09-03,449,158
2012-09-04,724,257
2012-09-05,632,307
2012-09-06,729,277
2012-09-07,465,3
2012-10-08,576,999
2012-10-09,522,1107
2012-10-02,1104,1737
2012-10-03,1250,1463
2012-10-01,1194,1617
2012-10-06,463,664
2012-10-07,511,773
2012-10-04,756,977
2012-10-05,658,856
2013-01-03,0,66
2013-08-31,0,35
2013-08-30,0,66
2013-03-13,0,37
2012-07-28,470,177
2012-07-29,702,275
2012-07-23,1,0
2012-07-24,1248,359
2012-07-25,912,344
2012-07-26,588,239
2012-07-27,455,158
2013-07-30,0,52
