Date,start_time_DI,last_event_DI
2013-07-30,308,231
2013-09-05,185,285
2013-07-06,0,44
2013-04-19,132,168
2013-04-18,158,189
2013-07-05,0,59
2013-09-01,226,240
2013-04-10,172,275
2013-04-13,153,161
2013-04-12,202,228
2013-04-15,173,214
2013-09-04,204,288
2013-04-17,152,205
2013-09-06,161,291
2013-07-21,0,31
2013-07-28,0,48
2013-04-16,139,184
2013-07-14,0,37
2013-01-17,342,162
2013-03-30,282,276
2013-03-31,169,194
2013-01-12,266,126
2013-07-20,0,56
2013-01-10,457,222
2013-01-11,300,132
2013-01-16,341,164
2013-07-24,0,69
2013-01-14,391,175
2013-01-15,390,172
2013-07-29,39,97
2013-01-30,455,162
2013-01-18,416,170
2013-01-19,354,140
2013-01-31,463,194
2013-05-29,218,184
2013-09-07,145,344
2013-05-28,216,192
2013-04-28,141,161
2013-04-29,146,172
2013-05-26,193,162
2013-04-24,134,159
2013-04-25,123,153
2013-04-26,105,130
2013-04-27,115,119
2013-04-20,135,157
2013-05-25,189,158
2013-04-22,149,174
2013-03-28,187,217
2013-06-01,184,260
2013-06-02,215,269
2013-06-03,274,355
2013-03-29,217,191
2013-06-05,150,295
2013-06-06,313,298
2013-06-07,245,295
2013-03-25,248,381
2013-06-09,219,222
2013-03-27,258,249
2013-03-26,213,320
2013-03-21,193,280
2013-03-20,196,212
2013-03-23,156,171
2013-03-22,189,236
2013-01-01,291,115
2013-06-08,210,217
2013-07-16,0,46
2013-01-02,414,168
2013-01-05,264,104
2013-02-09,322,0
2013-01-07,445,181
2013-07-13,0,52
2013-01-09,445,204
2013-02-05,802,820
2013-02-06,617,604
2013-02-07,584,0
2013-07-18,0,60
2013-02-01,473,219
2013-02-02,779,479
2013-02-03,890,464
2012-12-19,129,14
2013-04-11,172,231
2013-04-30,158,177
2013-07-26,0,85
2013-09-03,182,247
2013-06-17,0,164
2013-06-16,0,127
2013-03-12,229,330
2013-03-13,181,262
2013-03-14,189,215
2013-03-15,179,213
2013-03-16,150,191
2013-06-10,106,206
2013-03-18,238,265
2013-03-19,210,287
2013-07-01,1,70
2013-07-07,0,52
2013-01-03,401,177
2013-06-19,0,108
2013-06-18,0,132
2013-02-13,455,439
2013-02-12,930,762
2013-02-11,570,387
2013-02-10,370,0
2013-02-17,318,324
2013-02-16,319,321
2013-02-15,488,407
2013-02-14,587,431
2013-05-27,182,174
2013-02-08,421,0
2013-02-19,406,447
2013-02-18,408,373
2013-05-23,232,207
2013-05-22,287,242
2013-05-21,296,236
2013-05-20,155,199
2013-07-15,0,66
2013-06-14,1,93
2013-07-12,1,58
2013-03-24,276,271
2013-01-06,315,129
2013-05-08,141,160
2013-02-04,1110,920
2013-06-25,0,106
2013-08-08,194,169
2013-01-08,399,186
2013-08-06,156,159
2013-08-07,216,180
2013-08-04,135,128
2013-08-05,169,143
2013-08-02,142,133
2013-08-03,128,106
2013-08-01,164,138
2013-03-07,246,325
2013-03-06,269,385
2013-01-29,486,179
2013-01-28,520,195
2013-03-03,454,290
2013-03-02,201,231
2013-03-01,270,288
2013-01-23,963,352
2013-01-22,589,184
2013-01-21,467,183
2013-01-20,394,188
2013-01-27,391,136
2013-01-26,357,146
2013-01-25,421,152
2013-03-08,200,255
2013-07-08,0,55
2013-07-17,0,52
2013-08-09,153,142
2013-06-30,0,74
2013-08-19,142,166
2013-08-18,128,160
2013-04-03,242,323
2013-08-15,155,178
2013-08-14,143,146
2013-08-17,126,134
2013-08-16,126,134
2013-08-11,133,131
2013-08-10,129,116
2013-08-13,160,180
2013-08-12,141,148
2013-07-10,0,69
2013-01-13,322,143
2013-05-30,238,299
2013-07-23,0,60
2013-07-22,0,57
2013-03-04,372,426
2013-07-25,0,44
2013-07-04,0,52
2012-12-27,287,132
2013-05-24,200,210
2013-07-27,1,59
2013-05-31,232,291
2013-07-11,0,37
2013-03-10,190,222
2013-03-05,298,415
2013-08-20,162,160
2013-08-21,215,208
2013-08-22,191,189
2013-08-23,156,192
2013-08-24,139,164
2013-08-25,155,187
2013-08-26,166,205
2013-08-27,169,214
2013-08-28,233,267
2013-08-29,360,411
2012-12-28,259,122
2012-12-29,222,99
2012-12-26,323,136
2013-03-11,229,331
2012-12-24,244,102
2012-12-25,265,111
2012-12-22,310,123
2012-12-23,273,121
2012-12-20,715,186
2012-12-21,679,308
2013-04-21,148,151
2013-05-16,153,150
2013-05-17,111,169
2013-05-14,144,173
2013-05-15,138,169
2013-05-12,109,138
2013-05-13,155,164
2013-05-10,112,134
2013-05-11,137,152
2013-05-18,129,158
2013-05-19,201,219
2013-04-14,153,203
2013-03-09,167,203
2013-08-31,164,238
2013-08-30,269,320
2013-01-24,546,234
2013-06-15,0,95
2012-12-31,205,98
2012-12-30,217,103
2013-04-23,147,169
2013-06-12,0,129
2013-01-04,366,150
2013-05-05,185,215
2013-05-04,170,187
2013-05-07,147,223
2013-05-06,246,281
2013-05-01,145,162
2013-05-03,170,257
2013-05-02,174,234
2013-07-19,0,42
2013-05-09,142,173
2013-07-09,1,69
2013-04-08,190,257
2013-04-09,177,235
2013-04-02,187,355
2013-06-13,0,128
2013-04-01,213,251
2013-04-06,134,171
2013-04-07,183,203
2013-04-04,243,243
2013-04-05,208,220
2013-06-04,184,380
2013-06-11,0,132
2013-06-28,0,66
2013-06-29,0,57
2013-06-26,0,87
2013-06-27,0,74
2013-06-24,1,87
2013-03-17,198,188
2013-06-22,0,64
2013-06-23,0,70
2013-06-20,0,147
2013-06-21,0,101
2013-09-02,233,314
2013-07-03,0,62
2013-02-28,336,335
2013-07-31,178,157
2013-07-02,0,84
2013-02-22,355,354
2013-02-23,250,286
2013-02-20,361,342
2013-02-21,430,397
2013-02-26,330,539
2013-02-27,454,426
2013-02-24,274,363
2013-02-25,306,496
