problem_id,problem_name,problem_url,problem_week,Average_number_of_attempts,Average_duration,Percentage_Correct,Average_number_of_resources,Number_of_students
2,"Impedance of Circuit with L, R, & C",https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,2.91,1909.76,0.96,12.43,7051
10,Magnitude & Angle of Voltage-Transfer Ratio in First-Order Circuits,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,3.26,1286.62,0.98,8.56,7075
13,Inductor & Capacitor in Output-Coupling Network of a Radio Transmitter,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,4.1,1795.72,0.94,11.29,5766
20,Parallel Resonant Tank Circuit,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,5.65,4053.67,0.9,19.58,5726
27,Behavior of a NewFET,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Homework/,6,4.29,4467.86,0.94,24.74,9042
37,Graphical Model of an Inverter,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Digital_and_Nonlinear/,3,4.31,3084.14,0.9,18.48,13462
41,Measuring Light Using a Photodiode and Op-Amp,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,12,2.24,1986.48,0.97,9.43,4962
44,"Damped Sinusoids in L, R, and C",https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,1.89,1508.81,1,7.08,5996
48,Parallel Resonant Tank Circuit,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,3.2,1833.63,0.94,10.14,5309
50,"Damped Sinusoids in L, R, and C",https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,4.12,1865.11,0.95,10.82,5404
56,Parallel Resonant Tank Circuit,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,5.6,2642.65,0.92,15.12,5457
57,Graphical Model of an Inverter,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Digital_and_Nonlinear/,3,6.05,5088.98,0.8,30.21,13449
64,"Impedance of Circuit with L, R, & C",https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,3.18,2023.8,0.96,12.48,6935
66,Current Source Controlled By Op-Amp,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,12,3.67,2293.44,0.94,12.33,5214
67,Behavior of a NewFET,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Homework/,6,6.56,8799.28,0.85,47.49,9033
73,Series and Parallel Inductors,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Homework/,7,2.19,771.1,0.99,4.33,8770
79,Series and Parallel Inductors,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Homework/,7,1.82,560.84,0.99,3.08,8770
80,Power Consumption of a System of Logic Gates,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Digital_and_Nonlinear/,3,3.92,2264.61,0.94,13.05,13384
94,Filtering Signals Using Op-Amps,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,12,1.52,782.4,0.98,4.9,4424
97,"Damped Sinusoids in L, R, and C",https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Homework/,11,4.25,1738.54,0.96,9.51,5562
110,Inductor & Capacitor in Output-Coupling Network of a Radio Transmitter,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,3.01,2411.14,0.95,10.75,6186
111,Circuit Logic Diagrams,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity%2C_Thevenin_and_Norton%3B_Digital/,2,1.88,654.46,0.99,3.81,17420
112,Measuring Light Using a Photodiode and Op-Amp,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,12,3.76,2098.2,0.94,10.71,4762
114,Inductor & Capacitor in Output-Coupling Network of a Radio Transmitter,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,10,2.74,2280.7,0.94,11.02,5862
116,Current Source Controlled By Op-Amp,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Homework/,12,2.55,2056.13,0.97,10.56,5359
121,Circuit Logic Diagrams,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity%2C_Thevenin_and_Norton%3B_Digital/,2,1.84,615.03,0.99,3.41,17423
126,Problems with Lead Inductance,https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Homework/,7,7.23,7059.14,0.87,35.28,8451
