Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,12738.0,8370.0,874.0,333.0,378.5,3688159.0,55563.0,367480.0,29612.0,82.0,1.0,0.657089024965,0.068613597111,0.0261422515309,0.0331581252738,400.234291915,5.5143906312,102.305122494,3.66712074303,0.0064374313079
Other South Asia,12992.0,8469.0,854.0,408.0,444.23,3646085.0,58349.0,426582.0,31440.0,30.0,1.0,0.651862684729,0.0657327586207,0.0314039408867,0.0385649795989,343.160941176,5.07073954984,100.443136332,3.87287509239,0.00230911330049
Bangladesh,3182.0,1891.0,143.0,34.0,40.85,447258.0,9851.0,32450.0,5351.0,5.0,1.0,0.594280326838,0.0449402891263,0.0106851037084,0.0153456048084,194.71397475,3.68399401645,50.2321981424,3.12011661808,0.00157133878064
Other South America,9916.0,6829.0,666.0,292.0,358.35,4056874.0,51666.0,551464.0,23764.0,98.0,1.0,0.68868495361,0.0671641791045,0.0294473578056,0.0399320258525,497.959248803,5.87380627558,137.111884635,3.64870259481,0.0098830173457
France,4700.0,3292.0,436.0,204.0,213.83,1646666.0,23450.0,198628.0,13379.0,0.0,1.0,0.700425531915,0.0927659574468,0.0434042553191,0.0506706161137,448.560610188,5.92470944922,129.737426519,4.2218365415,0.0
Other East Asia,6446.0,4286.0,304.0,127.0,138.44,1299898.0,24657.0,148619.0,14913.0,13.0,1.0,0.664908470369,0.0471610300962,0.0197021408626,0.0251343500363,237.164386061,4.12117666722,83.120246085,3.59436008677,0.00201675457648
Other Oceania,346.0,234.0,25.0,5.0,5.27,50875.0,1143.0,6788.0,730.0,0.0,1.0,0.676300578035,0.0722543352601,0.014450867052,0.0181724137931,223.135964912,4.53571428571,98.3768115942,3.17391304348,0.0
Other Europe,40377.0,28941.0,3973.0,1953.0,2083.95,20018938.0,256203.0,2182480.0,125684.0,620.0,1.0,0.716769447953,0.0983976025955,0.0483691210343,0.056706122449,601.476369318,7.14035283298,143.141601627,4.49352878084,0.0153552765188
Nigeria,7483.0,4630.0,438.0,143.0,175.49,1418725.0,28998.0,240305.0,13919.0,6.0,1.0,0.618735801149,0.0585326740612,0.0191099826273,0.0260370919881,259.127853881,4.85810018429,101.86731666,3.17785388128,0.000801817452893
"Other North & Central Amer., Caribbean",4434.0,3055.0,313.0,169.0,188.31,1456311.0,21512.0,159156.0,10159.0,6.0,1.0,0.68899413622,0.0705908885882,0.0381145692377,0.047112834626,424.456718158,5.7890204521,98.5486068111,3.49346629986,0.00135317997294
