Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,562.0,328.0,5.0,1.0,3.09,38927.0,2065.0,0,840.0,0.0,1.0,0.583629893238,0.00889679715302,0.0017793594306,0.00733966745843,84.8082788671,4.18864097363,0,2.56880733945,0.0
Other South Asia,528.0,296.0,11.0,9.0,8.38,60580.0,1738.0,0,902.0,0.0,1.0,0.560606060606,0.0208333333333,0.0170454545455,0.0206913580247,140.231481481,3.62083333333,0,3.05762711864,0.0
Bangladesh,37.0,19.0,3.0,1.0,0.99,4557.0,103.0,0,88.0,0.0,1.0,0.513513513514,0.0810810810811,0.027027027027,0.0495,162.75,3.21875,0,4.88888888889,0.0
Other South America,319.0,190.0,5.0,5.0,3.94,29791.0,1159.0,0,572.0,0.0,1.0,0.595611285266,0.0156739811912,0.0156739811912,0.0168376068376,106.777777778,3.90235690236,0,3.02645502646,0.0
France,327.0,213.0,4.0,2.0,2.6,29507.0,1024.0,0,638.0,0.0,1.0,0.651376146789,0.0122324159021,0.00611620795107,0.0100386100386,101.39862543,3.36842105263,0,2.96744186047,0.0
Other East Asia,508.0,333.0,7.0,4.0,4.75,41871.0,1480.0,0,918.0,0.0,1.0,0.655511811024,0.0137795275591,0.00787401574803,0.0115012106538,90.8264642082,3.05785123967,0,2.78181818182,0.0
Other Oceania,12.0,10.0,0.0,0.0,0.04,2281.0,85.0,0,24.0,0.0,1.0,0.833333333333,0.0,0.0,0.0133333333333,228.1,8.5,0,2.4,0.0
Other Europe,2309.0,1468.0,54.0,46.0,41.7,262379.0,9014.0,0,4640.0,0.0,1.0,0.635773061932,0.0233867475097,0.019922044175,0.02224,128.617156863,4.18866171004,0,3.17590691307,0.0
Nigeria,28.0,14.0,0.0,0.0,0.27,927.0,71.0,0,29.0,0.0,1.0,0.5,0.0,0.0,0.01125,35.6538461538,2.62962962963,0,2.07142857143,0.0
"Other North & Central Amer., Caribbean",121.0,68.0,3.0,1.0,1.53,10159.0,489.0,0,210.0,0.0,1.0,0.561983471074,0.0247933884298,0.00826446280992,0.0186585365854,102.616161616,4.61320754717,0,3.08823529412,0.0
Australia,221.0,128.0,4.0,2.0,2.47,27997.0,902.0,0,397.0,0.0,1.0,0.579185520362,0.0180995475113,0.00904977375566,0.0141954022989,151.335135135,4.51,0,3.12598425197,0.0
