Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,3918.0,2699.0,335.0,32.0,32.0,72964.0,8664.0,0,7535.0,0.0,1.0,0.688871873405,0.0855028075549,0.00816743236345,0.00822410691339,44.2206060606,4.47058823529,0,2.77839233038,0.0
Other South Asia,2395.0,1632.0,232.0,34.0,34.0,42242.0,5466.0,0,4805.0,0.0,1.0,0.681419624217,0.0968684759916,0.0141962421712,0.0143097643098,35.6172006745,3.88762446657,0,2.92630937881,0.0
Bangladesh,578.0,361.0,55.0,3.0,3.0,7612.0,883.0,0,1128.0,0.0,1.0,0.624567474048,0.0951557093426,0.00519031141869,0.00540540540541,31.7166666667,3.17625899281,0,3.10743801653,0.0
Other South America,1640.0,1105.0,145.0,12.0,12.0,26009.0,3301.0,0,3157.0,0.0,1.0,0.673780487805,0.0884146341463,0.00731707317073,0.00746733042937,35.4346049046,3.95803357314,0,2.84414414414,0.0
France,1068.0,740.0,125.0,29.0,29.0,23453.0,3012.0,0,2435.0,0.0,1.0,0.692883895131,0.117041198502,0.0271535580524,0.0277777777778,54.668997669,5.75908221797,0,3.26407506702,0.0
Other East Asia,818.0,577.0,87.0,9.0,9.0,19516.0,2341.0,0,1825.0,0.0,1.0,0.705378973105,0.106356968215,0.0110024449878,0.0110701107011,43.0816777042,4.08551483421,0,3.13573883162,0.0
Other Oceania,167.0,126.0,18.0,1.0,1.0,2206.0,288.0,0,365.0,0.0,1.0,0.754491017964,0.107784431138,0.0059880239521,0.00632911392405,26.2619047619,3.03157894737,0,2.8515625,0.0
Other Europe,7543.0,5674.0,1078.0,159.0,159.0,196849.0,23705.0,0,19885.0,0.0,1.0,0.752220601883,0.142913959963,0.0210791462283,0.0210791462283,51.4637908497,5.36190907035,0,3.48248686515,0.0
Nigeria,1964.0,1235.0,148.0,9.0,9.0,16894.0,3367.0,0,3386.0,0.0,1.0,0.628818737271,0.0753564154786,0.00458248472505,0.00468018720749,24.7349926794,3.92882147025,0,2.72624798712,0.0
"Other North & Central Amer., Caribbean",1115.0,769.0,82.0,9.0,9.0,17158.0,2367.0,0,2067.0,0.0,1.0,0.689686098655,0.0735426008969,0.00807174887892,0.00819672131148,35.0163265306,4.14535901926,0,2.68093385214,0.0
Australia,1716.0,1058.0,149.0,25.0,25.0,27616.0,3635.0,0,3168.0,0.0,1.0,0.61655011655,0.0868298368298,0.0145687645688,0.0147058823529,41.1564828614,4.30687203791,0,2.97744360902,0.0
China,653.0,402.0,51.0,3.0,3.0,10727.0,1481.0,0,1136.0,0.0,1.0,0.615620214395,0.0781010719755,0.00459418070444,0.00459418070444,25.24,3.13771186441,0,2.79115479115,0.0
Russian Federation,2255.0,1407.0,242.0,43.0,43.0,38077.0,5475.0,0,4607.0,0.0,1.0,0.623946784922,0.107317073171,0.0190687361419,0.0194306371441,46.4353658537,5.37819253438,0,3.24665257223,0.0
Germany,1253.0,925.0,188.0,36.0,36.0,37424.0,4376.0,0,3376.0,0.0,1.0,0.738228252195,0.15003990423,0.0287310454908,0.0292921074044,57.5753846154,5.72026143791,0,3.62620837809,0.0
Philippines,1549.0,1007.0,81.0,16.0,16.0,17523.0,2401.0,0,2379.0,0.0,1.0,0.650096836669,0.052291801162,0.010329244674,0.0106809078772,31.2910714286,3.5782414307,0,2.35544554455,0.0
Spain,1669.0,1250.0,227.0,44.0,44.0,34663.0,4943.0,0,4267.0,0.0,1.0,0.748951467945,0.136009586579,0.0263630916717,0.0270769230769,51.5818452381,5.93397358944,0,3.39189189189,0.0
Ukraine,1126.0,796.0,161.0,29.0,29.0,30509.0,3860.0,0,2926.0,0.0,1.0,0.706927175844,0.14298401421,0.0257548845471,0.026508226691,60.7749003984,6.6323024055,0,3.662077597,0.0
Poland,768.0,587.0,128.0,12.0,12.0,21826.0,2318.0,0,2215.0,0.0,1.0,0.764322916667,0.166666666667,0.015625,0.0157894736842,52.4663461538,4.97424892704,0,3.74155405405,0.0
Indonesia,611.0,383.0,48.0,6.0,6.0,5366.0,970.0,0,1044.0,0.0,1.0,0.626841243863,0.0785597381342,0.00981996726678,0.0113636363636,22.7372881356,3.35640138408,0,2.71875,0.0
