Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,768.0,486.0,88.0,23.0,46.38,506165.0,4936.0,85319.0,2144.0,0.0,1.0,0.6328125,0.114583333333,0.0299479166667,0.0749273021002,703.984700974,6.74316939891,192.593679458,4.50420168067,0.0
Other South Asia,1165.0,707.0,116.0,41.0,59.6,639350.0,6590.0,121592.0,2907.0,0.0,1.0,0.60686695279,0.0995708154506,0.0351931330472,0.0616339193382,574.438454627,5.86298932384,200.646864686,4.15879828326,0.0
Bangladesh,102.0,54.0,5.0,1.0,2.86,21830.0,382.0,1027.0,178.0,0.0,1.0,0.529411764706,0.0490196078431,0.00980392156863,0.0344578313253,220.505050505,3.82,38.037037037,3.35849056604,0.0
Other South America,677.0,441.0,65.0,31.0,40.16,395604.0,3916.0,71441.0,1739.0,0.0,1.0,0.651403249631,0.096011816839,0.0457902511078,0.0680677966102,604.899082569,5.96951219512,180.863291139,3.97940503432,0.0
France,222.0,161.0,36.0,19.0,24.19,254546.0,2098.0,49753.0,832.0,0.0,1.0,0.725225225225,0.162162162162,0.0855855855856,0.12935828877,1212.12380952,9.94312796209,340.773972603,5.16770186335,0.0
Nigeria,1070.0,708.0,121.0,45.0,64.44,490767.0,6700.0,113423.0,2961.0,0.0,1.0,0.661682242991,0.11308411215,0.0420560747664,0.0689197860963,480.672869736,6.52385589094,190.30704698,4.2,0.0
Other Oceania,5.0,3.0,0.0,0.0,0.01,390.0,8.0,64.0,5.0,0.0,1.0,0.6,0.0,0.0,0.0025,78.0,1.6,21.3333333333,1.66666666667,0.0
Other Europe,2199.0,1445.0,285.0,124.0,165.96,1847764.0,16227.0,342908.0,6678.0,0.0,1.0,0.657116871305,0.129604365621,0.056389267849,0.0933933595948,871.998112317,7.60402999063,266.026377036,4.65365853659,0.0
Other East Asia,186.0,103.0,10.0,1.0,4.37,69164.0,902.0,13954.0,423.0,0.0,1.0,0.55376344086,0.0537634408602,0.00537634408602,0.0326119402985,382.121546961,4.92896174863,158.568181818,4.1067961165,0.0
"Other North & Central Amer., Caribbean",203.0,125.0,23.0,5.0,8.63,117997.0,1216.0,22530.0,513.0,0.0,1.0,0.615763546798,0.113300492611,0.0246305418719,0.052303030303,608.231958763,6.2358974359,208.611111111,4.104,0.0
Australia,688.0,394.0,76.0,36.0,47.64,429500.0,4185.0,73202.0,1822.0,0.0,1.0,0.572674418605,0.110465116279,0.0523255813953,0.0818556701031,671.09375,6.45833333333,210.350574713,4.72020725389,0.0
China,268.0,150.0,35.0,15.0,23.34,128201.0,1447.0,428.0,737.0,0.0,1.0,0.559701492537,0.130597014925,0.0559701492537,0.0988983050847,514.863453815,5.76494023904,22.5263157895,4.94630872483,0.0
Russian Federation,308.0,139.0,12.0,3.0,8.06,110320.0,1453.0,22818.0,465.0,0.0,1.0,0.451298701299,0.038961038961,0.00974025974026,0.0306463878327,370.201342282,4.85953177258,191.74789916,3.34532374101,0.0
