Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1048.0,431.0,24.0,20.0,25.65,127023.0,3526.0,13555.0,1019.0,0.0,1.0,0.411259541985,0.0229007633588,0.0190839694656,0.0306451612903,166.260471204,3.9977324263,35.1165803109,2.3587962963,0.0
Other South Asia,1121.0,516.0,42.0,28.0,33.43,141785.0,4370.0,15859.0,1309.0,0.0,1.0,0.460303300624,0.0374665477252,0.0249776984835,0.0367362637363,165.250582751,4.37875751503,37.4033018868,2.59207920792,0.0
Bangladesh,347.0,112.0,4.0,2.0,2.32,19356.0,666.0,1431.0,236.0,0.0,1.0,0.322766570605,0.0115273775216,0.00576368876081,0.00902723735409,92.1714285714,2.85836909871,27.0,2.08849557522,0.0
Other South America,625.0,292.0,17.0,6.0,11.62,77704.0,2260.0,10156.0,697.0,0.0,1.0,0.4672,0.0272,0.0096,0.0239094650206,158.256619145,4.07942238267,40.3015873016,2.42857142857,0.0
France,255.0,106.0,12.0,6.0,6.56,32622.0,826.0,4260.0,287.0,0.0,1.0,0.41568627451,0.0470588235294,0.0235294117647,0.0326368159204,173.521276596,3.84186046512,45.3191489362,2.73333333333,0.0
Nigeria,1178.0,566.0,58.0,38.0,40.55,184267.0,5546.0,20838.0,1470.0,0.0,1.0,0.480475382003,0.0492359932088,0.0322580645161,0.0383996212121,211.801149425,5.59072580645,43.9620253165,2.62032085561,0.0
Other Oceania,34.0,6.0,2.0,1.0,0.78,2868.0,95.0,341.0,22.0,0.0,1.0,0.176470588235,0.0588235294118,0.0294117647059,0.0325,143.4,4.13043478261,68.2,3.66666666667,0.0
Other Europe,2649.0,1204.0,92.0,50.0,65.81,393859.0,10233.0,46123.0,3156.0,0.0,1.0,0.454511136278,0.0347300868252,0.0188750471876,0.0313231794384,186.486268939,4.31044650379,42.8652416357,2.62126245847,0.0
Other East Asia,402.0,166.0,15.0,10.0,8.38,42442.0,1236.0,5117.0,432.0,0.0,1.0,0.412935323383,0.0373134328358,0.0248756218905,0.0270322580645,130.590769231,3.30481283422,34.8095238095,2.65030674847,0.0
"Other North & Central Amer., Caribbean",385.0,196.0,12.0,12.0,13.17,49786.0,1455.0,4278.0,466.0,0.0,1.0,0.509090909091,0.0311688311688,0.0311688311688,0.0458885017422,165.953333333,4.33035714286,26.0853658537,2.40206185567,0.0
Australia,441.0,187.0,13.0,9.0,9.84,46022.0,1763.0,4566.0,451.0,0.0,1.0,0.424036281179,0.0294784580499,0.0204081632653,0.0277183098592,145.179810726,4.72654155496,28.3602484472,2.46448087432,0.0
Germany,684.0,361.0,42.0,33.0,31.83,139911.0,3118.0,16006.0,1058.0,0.0,1.0,0.527777777778,0.0614035087719,0.0482456140351,0.0546907216495,245.457894737,4.95707472178,48.7987804878,2.93888888889,0.0
Russian Federation,233.0,109.0,4.0,2.0,3.65,28979.0,931.0,3082.0,225.0,0.0,1.0,0.467811158798,0.0171673819742,0.00858369098712,0.019109947644,169.467836257,4.5637254902,35.0227272727,2.14285714286,0.0
China,375.0,147.0,1.0,1.0,1.49,15593.0,1012.0,423.0,283.0,0.0,1.0,0.392,0.00266666666667,0.00266666666667,0.00505084745763,47.6850152905,2.86685552408,23.5,2.00709219858,0.0
Philippines,576.0,261.0,14.0,8.0,13.01,74173.0,1877.0,7586.0,618.0,0.0,1.0,0.453125,0.0243055555556,0.0138888888889,0.0291051454139,167.812217195,3.70948616601,33.5663716814,2.42352941176,0.0
Spain,567.0,306.0,43.0,25.0,30.3,131467.0,3216.0,13912.0,908.0,0.0,1.0,0.539682539683,0.0758377425044,0.0440917107584,0.0661572052402,280.912393162,6.20849420849,49.5088967972,2.98684210526,0.0
Ukraine,107.0,43.0,6.0,2.0,3.6,18768.0,520.0,2173.0,130.0,0.0,1.0,0.401869158879,0.0560747663551,0.018691588785,0.045,260.666666667,6.04651162791,54.325,2.95454545455,0.0
Poland,143.0,66.0,5.0,3.0,3.98,17003.0,515.0,1510.0,172.0,0.0,1.0,0.461538461538,0.034965034965,0.020979020979,0.0352212389381,137.120967742,3.81481481481,24.7540983607,2.5671641791,0.0
Indonesia,397.0,149.0,12.0,9.0,9.71,43735.0,1589.0,4158.0,393.0,0.0,1.0,0.375314861461,0.0302267002519,0.0226700251889,0.0291591591592,150.29209622,4.72916666667,33.5322580645,2.63758389262,0.0
United States,11087.0,4446.0,297.0,180.0,231.6,1258810.0,37647.0,142274.0,10549.0,67.0,1.0,0.401010192117,0.0267881302426,0.0162352304501,0.0262406526173,161.365209589,4.16587363063,36.0369807497,2.39968152866,0.00604311355642
Morocco,88.0,31.0,1.0,1.0,0.75,5724.0,209.0,557.0,63.0,0.0,1.0,0.352272727273,0.0113636363636,0.0113636363636,0.0102739726027,90.8571428571,2.78666666667,20.6296296296,2.03225806452,0.0
Unknown/Other,4588.0,92.0,10.0,5.0,5.49,23692.0,705.0,2195.0,241.0,0.0,1.0,0.0200523103749,0.00217959895379,0.0010897994769,0.0013024911032,157.946666667,4.07514450867,37.8448275862,2.61956521739,0.0
Other Africa,2416.0,1041.0,75.0,42.0,50.47,308287.0,11882.0,55335.0,2535.0,0.0,1.0,0.430877483444,0.0310430463576,0.0173841059603,0.0241483253589,172.323644494,5.62861203221,66.9105199516,2.44219653179,0.0
Brazil,1135.0,479.0,31.0,13.0,18.89,127659.0,3602.0,12941.0,1111.0,0.0,1.0,0.422026431718,0.0273127753304,0.0114537444934,0.0207127192982,146.903337169,3.70576131687,31.0335731415,2.40476190476,0.0
Pakistan,613.0,203.0,21.0,9.0,11.41,48228.0,2002.0,535.0,521.0,0.0,1.0,0.331158238173,0.0342577487765,0.0146818923328,0.0230505050505,110.868965517,3.98011928429,19.1071428571,2.52912621359,0.0
Portugal,150.0,67.0,11.0,6.0,6.21,29411.0,726.0,3027.0,194.0,0.0,1.0,0.446666666667,0.0733333333333,0.04,0.0585849056604,249.245762712,5.45864661654,50.45,2.89552238806,0.0
Mexico,369.0,178.0,15.0,10.0,11.54,75634.0,1772.0,12731.0,456.0,0.0,1.0,0.482384823848,0.0406504065041,0.0271002710027,0.0406338028169,258.136518771,5.32132132132,80.0691823899,2.60571428571,0.0
Egypt,296.0,103.0,6.0,6.0,6.24,31316.0,1822.0,5121.0,230.0,0.0,1.0,0.347972972973,0.0202702702703,0.0202702702703,0.0265531914894,156.58,6.84962406015,65.6538461538,2.25490196078,0.0
India,4054.0,1723.0,189.0,103.0,120.49,463016.0,17766.0,40821.0,4532.0,0.0,1.0,0.425012333498,0.0466206216083,0.0254070054267,0.0365675265554,156.371496116,4.99606299213,30.6234058515,2.64565090485,0.0
Other Middle East/Central Asia,1015.0,434.0,38.0,20.0,23.05,114060.0,3707.0,12027.0,1066.0,0.0,1.0,0.427586206897,0.0374384236453,0.0197044334975,0.0277043269231,143.111668758,4.02060737527,36.6676829268,2.46759259259,0.0
United Kingdom,1435.0,628.0,41.0,32.0,38.22,179664.0,5525.0,18036.0,1520.0,5.0,1.0,0.437630662021,0.0285714285714,0.0222996515679,0.0326666666667,164.67827681,4.34355345912,32.9124087591,2.432,0.00348432055749
Colombia,330.0,152.0,9.0,6.0,7.63,66632.0,1588.0,13495.0,356.0,0.0,1.0,0.460606060606,0.0272727272727,0.0181818181818,0.0313991769547,255.295019157,5.49480968858,96.3928571429,2.34210526316,0.0
Greece,338.0,152.0,26.0,12.0,14.67,77671.0,1773.0,9712.0,489.0,0.0,1.0,0.449704142012,0.0769230769231,0.0355029585799,0.055358490566,299.888030888,5.87086092715,72.4776119403,3.32653061224,0.0
Japan,121.0,63.0,2.0,1.0,0.99,9264.0,290.0,1400.0,137.0,0.0,1.0,0.520661157025,0.0165289256198,0.00826446280992,0.0116470588235,89.0769230769,2.58928571429,24.5614035088,2.1746031746,0.0
