Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,584.0,360.0,63.0,48.0,47.54,323939.0,3253.0,28908.0,1185.0,0.0,1.0,0.616438356164,0.107876712329,0.0821917808219,0.0842907801418,669.295454545,6.10318949343,98.662116041,3.33802816901,0.0
Other South Asia,782.0,472.0,76.0,54.0,53.63,354426.0,4120.0,40613.0,1473.0,0.0,1.0,0.60358056266,0.0971867007673,0.0690537084399,0.0739724137931,518.166666667,5.52278820375,108.301333333,3.13404255319,0.0
Bangladesh,291.0,127.0,17.0,7.0,7.33,53109.0,967.0,2424.0,348.0,0.0,1.0,0.436426116838,0.0584192439863,0.0240549828179,0.0418857142857,241.404545455,3.44128113879,48.48,2.7619047619,0.0
Other South America,613.0,418.0,71.0,48.0,51.5,389424.0,3964.0,47205.0,1344.0,0.0,1.0,0.68189233279,0.115823817292,0.0783034257749,0.0886402753873,714.539449541,6.69594594595,147.056074766,3.21531100478,0.0
France,448.0,303.0,70.0,47.0,45.1,291081.0,2838.0,36134.0,1101.0,0.0,1.0,0.676339285714,0.15625,0.104910714286,0.108674698795,748.280205656,6.69339622642,137.916030534,3.62171052632,0.0
Nigeria,487.0,275.0,45.0,28.0,27.57,219906.0,2556.0,21422.0,854.0,0.0,1.0,0.564681724846,0.0924024640657,0.0574948665298,0.0580421052632,532.460048426,5.61758241758,115.172043011,3.18656716418,0.0
Other Oceania,11.0,7.0,1.0,0.0,0.48,5030.0,43.0,377.0,17.0,0.0,1.0,0.636363636364,0.0909090909091,0.0,0.08,628.75,4.77777777778,62.8333333333,2.42857142857,0.0
Other Europe,1992.0,1318.0,307.0,217.0,213.87,1548530.0,14165.0,142705.0,5054.0,6.0,1.0,0.661646586345,0.154116465863,0.108935742972,0.114003198294,885.886727689,7.46705324196,129.261775362,3.86391437309,0.00301204819277
Other East Asia,481.0,325.0,29.0,17.0,16.76,138987.0,1790.0,15741.0,792.0,0.0,1.0,0.675675675676,0.0602910602911,0.035343035343,0.0378329571106,320.246543779,3.81663113006,56.4193548387,2.42944785276,0.0
"Other North & Central Amer., Caribbean",249.0,169.0,24.0,14.0,18.14,136961.0,1570.0,15206.0,490.0,0.0,1.0,0.678714859438,0.0963855421687,0.0562248995984,0.0765400843882,611.433035714,6.51452282158,106.335664336,2.95180722892,0.0
