Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1165.0,739.0,86.0,52.0,56.44,849951.0,8515.0,76298.0,3070.0,5.0,1.0,0.634334763948,0.0738197424893,0.044635193133,0.0492066259808,769.186425339,7.60267857143,109.153075823,4.15426251691,0.00429184549356
Other South Asia,1461.0,920.0,59.0,31.0,34.44,559749.0,7875.0,84769.0,3018.0,5.0,1.0,0.62970568104,0.0403832991102,0.0212183436003,0.0243048694425,393.635021097,5.50699300699,103.0,3.29475982533,0.00342231348392
Bangladesh,292.0,178.0,11.0,3.0,3.33,70592.0,1264.0,6987.0,528.0,5.0,1.0,0.609589041096,0.0376712328767,0.0102739726027,0.011404109589,252.114285714,4.46643109541,76.7802197802,2.98305084746,0.0171232876712
Other South America,1383.0,1003.0,120.0,65.0,81.45,1265955.0,11091.0,206218.0,4007.0,43.0,1.0,0.725234996385,0.0867678958785,0.0469992769342,0.0598457016899,937.744444444,8.1731761238,237.852364475,4.007,0.0310918293565
France,477.0,336.0,33.0,16.0,19.24,273032.0,3005.0,34085.0,1181.0,0.0,1.0,0.704402515723,0.0691823899371,0.0335429769392,0.0411111111111,594.840958606,6.53260869565,110.665584416,3.54654654655,0.0
Other East Asia,438.0,267.0,17.0,8.0,9.58,179731.0,2342.0,26313.0,922.0,0.0,1.0,0.609589041096,0.0388127853881,0.0182648401826,0.0226477541371,418.953379953,5.39631336406,110.09623431,3.44029850746,0.0
Other Oceania,22.0,16.0,1.0,0.0,0.52,10036.0,152.0,928.0,57.0,0.0,1.0,0.727272727273,0.0454545454545,0.0,0.0236363636364,456.181818182,6.90909090909,61.8666666667,3.8,0.0
Other Europe,4647.0,3358.0,518.0,344.0,355.19,4841371.0,49205.0,495476.0,15847.0,192.0,1.0,0.722616741984,0.11146976544,0.0740262534969,0.0764342586615,1065.20814081,10.7340750436,159.061316212,4.7389354067,0.0413169786959
Nigeria,883.0,562.0,18.0,1.0,4.58,201417.0,3881.0,45047.0,1612.0,0.0,1.0,0.636466591166,0.0203850509626,0.00113250283126,0.00566831683168,237.52004717,4.53387850467,95.8446808511,2.89407540395,0.0
"Other North & Central Amer., Caribbean",510.0,358.0,23.0,12.0,14.2,267696.0,3117.0,32723.0,1181.0,6.0,1.0,0.701960784314,0.0450980392157,0.0235294117647,0.0284,540.8,6.25903614458,101.309597523,3.28969359331,0.0117647058824
Australia,842.0,447.0,44.0,27.0,29.23,396172.0,4937.0,43288.0,1683.0,0.0,1.0,0.530878859857,0.0522565320665,0.0320665083135,0.0356463414634,509.873873874,6.2414664981,104.308433735,3.75669642857,0.0
China,289.0,178.0,9.0,3.0,4.07,87564.0,1417.0,9465.0,534.0,0.0,1.0,0.615916955017,0.0311418685121,0.0103806228374,0.0202487562189,310.510638298,4.97192982456,135.214285714,3.01694915254,0.0
Russian Federation,2365.0,1561.0,278.0,184.0,195.07,2597984.0,27995.0,292077.0,7773.0,67.0,1.0,0.660042283298,0.11754756871,0.0778012684989,0.0827268871925,1135.97901181,12.1085640138,197.216070223,4.97312859885,0.0283298097252
Germany,909.0,618.0,84.0,61.0,61.0,812842.0,8449.0,73417.0,2800.0,9.0,1.0,0.679867986799,0.0924092409241,0.0671067106711,0.0671067106711,938.616628176,9.64497716895,126.14604811,4.56026058632,0.00990099009901
Philippines,676.0,426.0,18.0,8.0,11.77,215032.0,2944.0,29943.0,1186.0,0.0,1.0,0.630177514793,0.0266272189349,0.0118343195266,0.0183333333333,328.293129771,4.46737481032,80.4919354839,2.79716981132,0.0
Spain,1446.0,1075.0,239.0,162.0,163.32,2144726.0,19894.0,199323.0,6040.0,41.0,1.0,0.743430152144,0.165283540802,0.112033195021,0.113574408901,1526.49537367,14.0197322058,195.991150442,5.66073102156,0.0283540802213
Ukraine,970.0,667.0,114.0,67.0,74.09,1004542.0,10712.0,109008.0,3162.0,0.0,1.0,0.687628865979,0.117525773196,0.0690721649485,0.0767772020725,1058.52687039,11.2521008403,180.776119403,4.76923076923,0.0
Poland,572.0,458.0,109.0,84.0,82.86,976802.0,9347.0,93518.0,2769.0,9.0,1.0,0.800699300699,0.190559440559,0.146853146853,0.146137566138,1766.36889693,16.6316725979,216.476851852,6.08571428571,0.0157342657343
Indonesia,572.0,357.0,59.0,43.0,35.55,264063.0,3211.0,15252.0,1591.0,0.0,1.0,0.624125874126,0.103146853147,0.0751748251748,0.0648722627737,469.862989324,5.70337477798,49.680781759,4.49435028249,0.0
United States,18020.0,11025.0,1050.0,627.0,693.04,12341043.0,126898.0,1146121.0,42025.0,1469.0,1.0,0.611820199778,0.058268590455,0.034794672586,0.0384744351302,726.413738301,7.40232164732,111.904022652,3.8183717972,0.0815205327414
Morocco,871.0,530.0,7.0,2.0,3.58,79465.0,1893.0,12297.0,1252.0,0.0,1.0,0.60849598163,0.00803673938002,0.00229621125144,0.00444168734491,91.9733796296,2.18843930636,28.5313225058,2.39388145315,0.0
Unknown/Other,2444.0,265.0,15.0,5.0,8.77,83842.0,1430.0,13653.0,723.0,0.0,1.0,0.108428805237,0.00613747954173,0.00204582651391,0.0044315310763,229.704109589,3.87533875339,93.5136986301,2.68773234201,0.0
Other Africa,3166.0,1977.0,83.0,31.0,39.44,792919.0,13776.0,122940.0,5852.0,41.0,1.0,0.624447252053,0.0262160454833,0.00979153506001,0.0126775956284,256.110788114,4.42815814851,75.3770692826,2.97357723577,0.0129500947568
Brazil,2050.0,1252.0,79.0,40.0,48.77,861882.0,11254.0,102422.0,3932.0,17.0,1.0,0.610731707317,0.0385365853659,0.019512195122,0.024000984252,434.635400908,5.63545317977,89.6865148862,3.1481184948,0.00829268292683
Pakistan,1513.0,800.0,15.0,7.0,8.12,135796.0,4270.0,6372.0,1829.0,6.0,1.0,0.528750826173,0.00991407799075,0.00462656972902,0.00590545454545,94.0415512465,2.91467576792,37.2631578947,2.29773869347,0.0039656311963
Portugal,399.0,273.0,24.0,13.0,15.06,235906.0,2638.0,22146.0,1013.0,0.0,1.0,0.684210526316,0.0601503759398,0.0325814536341,0.038320610687,608.005154639,6.79896907216,87.5335968379,3.73800738007,0.0
Mexico,737.0,548.0,49.0,23.0,28.79,482407.0,5659.0,54665.0,1993.0,24.0,1.0,0.74355495251,0.0664857530529,0.0312075983718,0.0405492957746,671.876044568,7.76268861454,111.33401222,3.63023679417,0.0325644504749
Egypt,1538.0,723.0,34.0,10.0,13.62,358624.0,5365.0,66042.0,1964.0,5.0,1.0,0.470091027308,0.0221066319896,0.00650195058518,0.00957805907173,239.082666667,3.5506287227,108.621710526,2.74301675978,0.00325097529259
India,9940.0,6551.0,583.0,306.0,368.83,4117925.0,55552.0,429197.0,23196.0,529.0,1.0,0.659054325956,0.0586519114688,0.0307847082495,0.0371280450976,424.922608606,5.68830636904,79.0563639713,3.57576691845,0.0532193158954
Other Middle East/Central Asia,2428.0,1368.0,70.0,26.0,35.13,630631.0,10403.0,82046.0,4164.0,8.0,1.0,0.563426688633,0.0288303130148,0.0107084019769,0.0145045417011,265.082387558,4.33819849875,73.6499102334,3.05278592375,0.00329489291598
United Kingdom,2733.0,1890.0,236.0,150.0,160.43,2418277.0,24650.0,218091.0,8096.0,162.0,1.0,0.691547749726,0.0863519941456,0.0548847420417,0.0589166360632,915.320590462,9.26691729323,124.268376068,4.30409356725,0.059275521405
Colombia,465.0,318.0,28.0,17.0,19.22,378655.0,3907.0,42498.0,1224.0,29.0,1.0,0.683870967742,0.0602150537634,0.0365591397849,0.0418736383442,841.455555556,8.60572687225,143.090909091,3.83699059561,0.0623655913978
Greece,403.0,298.0,63.0,47.0,48.91,610084.0,5600.0,54288.0,1642.0,8.0,1.0,0.739454094293,0.156327543424,0.116625310174,0.121364764268,1544.5164557,14.1057934509,193.885714286,5.56610169492,0.0198511166253
Japan,105.0,79.0,7.0,2.0,3.75,62991.0,766.0,10207.0,310.0,0.0,1.0,0.752380952381,0.0666666666667,0.0190476190476,0.0407608695652,605.682692308,7.29523809524,143.76056338,3.97435897436,0.0
