Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,127.0,89.0,8.0,6.0,6.42,87736.0,801.0,125.0,587.0,0.0,1.0,0.700787401575,0.0629921259843,0.0472440944882,0.0526229508197,790.414414414,6.51219512195,9.61538461538,6.52222222222,0.0
Other South Asia,292.0,226.0,17.0,32.0,30.95,292428.0,2270.0,427.0,1970.0,0.0,1.0,0.77397260274,0.0582191780822,0.109589041096,0.110931899642,1095.23595506,7.90940766551,15.25,8.75555555556,0.0
Bangladesh,43.0,32.0,2.0,1.0,1.05,18912.0,203.0,7.0,155.0,0.0,1.0,0.744186046512,0.046511627907,0.0232558139535,0.0276315789474,484.923076923,4.9512195122,3.5,4.69696969697,0.0
Other South America,167.0,131.0,10.0,6.0,8.13,110326.0,967.0,203.0,785.0,0.0,1.0,0.784431137725,0.059880239521,0.0359281437126,0.0534868421053,702.713375796,5.89634146341,16.9166666667,6.08527131783,0.0
France,23.0,20.0,0.0,0.0,0.36,6386.0,88.0,0,92.0,0.0,1.0,0.869565217391,0.0,0.0,0.015652173913,290.272727273,4.0,0,4.6,0.0
Other East Asia,102.0,77.0,5.0,0.0,3.48,52825.0,500.0,58.0,503.0,0.0,1.0,0.754901960784,0.0490196078431,0.0,0.03625,568.010752688,5.0,11.6,6.44871794872,0.0
Other Europe,646.0,491.0,31.0,24.0,31.87,420535.0,3750.0,847.0,3004.0,0.0,1.0,0.760061919505,0.0479876160991,0.0371517027864,0.0497191887676,706.781512605,5.89622641509,15.125,6.0564516129,0.0
Nigeria,21.0,12.0,0.0,0.0,0.09,3618.0,100.0,6.0,44.0,0.0,1.0,0.571428571429,0.0,0.0,0.005625,190.421052632,4.7619047619,6.0,4.0,0.0
"Other North & Central Amer., Caribbean",42.0,30.0,2.0,2.0,1.42,22175.0,242.0,13.0,139.0,0.0,1.0,0.714285714286,0.047619047619,0.047619047619,0.0383783783784,583.552631579,5.7619047619,6.5,4.63333333333,0.0
Australia,38.0,29.0,1.0,1.0,1.06,22706.0,222.0,90.0,146.0,0.0,1.0,0.763157894737,0.0263157894737,0.0263157894737,0.033125,688.060606061,6.0,30.0,4.86666666667,0.0
Germany,80.0,68.0,3.0,3.0,2.7,32908.0,350.0,25.0,315.0,0.0,1.0,0.85,0.0375,0.0375,0.0409090909091,438.773333333,4.43037974684,6.25,4.5652173913,0.0
Russian Federation,78.0,57.0,3.0,3.0,2.52,39279.0,474.0,265.0,268.0,0.0,1.0,0.730769230769,0.0384615384615,0.0384615384615,0.0547826086957,538.068493151,6.07692307692,66.25,4.62068965517,0.0
China,118.0,84.0,0.0,0.0,0.73,9302.0,227.0,1.0,244.0,0.0,1.0,0.71186440678,0.0,0.0,0.00973333333333,86.1296296296,2.00884955752,1.0,2.93975903614,0.0
Philippines,54.0,39.0,1.0,0.0,0.64,9726.0,129.0,2.0,153.0,0.0,1.0,0.722222222222,0.0185185185185,0.0,0.0177777777778,190.705882353,2.38888888889,2.0,3.825,0.0
Spain,95.0,74.0,7.0,7.0,7.54,86006.0,693.0,379.0,598.0,0.0,1.0,0.778947368421,0.0736842105263,0.0736842105263,0.0837777777778,977.340909091,7.45161290323,42.1111111111,7.86842105263,0.0
Ukraine,14.0,7.0,0.0,0.0,0.01,733.0,67.0,0,20.0,0.0,1.0,0.5,0.0,0.0,0.000714285714286,73.3,4.78571428571,0,2.22222222222,0.0
Poland,74.0,47.0,2.0,1.0,1.62,25961.0,366.0,50.0,256.0,0.0,1.0,0.635135135135,0.027027027027,0.0135135135135,0.0289285714286,399.4,5.08333333333,16.6666666667,5.22448979592,0.0
Indonesia,44.0,35.0,4.0,3.0,4.08,41816.0,289.0,133.0,278.0,0.0,1.0,0.795454545455,0.0909090909091,0.0681818181818,0.1275,1045.4,6.72093023256,26.6,8.17647058824,0.0
United States,2992.0,2113.0,126.0,102.0,116.15,1551489.0,15775.0,2907.0,10862.0,42.0,1.0,0.70621657754,0.0421122994652,0.0340909090909,0.0390814266487,587.907919667,5.55262231609,16.4237288136,5.10672308416,0.0140374331551
Morocco,30.0,18.0,0.0,0.0,0.08,4464.0,93.0,6.0,67.0,0.0,1.0,0.6,0.0,0.0,0.00470588235294,153.931034483,3.20689655172,6.0,3.94117647059,0.0
Unknown/Other,250.0,36.0,0.0,0.0,0.4,6571.0,83.0,0,110.0,0.0,1.0,0.144,0.0,0.0,0.00526315789474,156.452380952,1.93023255814,0,2.97297297297,0.0
Other Africa,179.0,113.0,5.0,3.0,3.91,73661.0,689.0,187.0,570.0,0.0,1.0,0.631284916201,0.0279329608939,0.0167597765363,0.0271527777778,460.38125,4.00581395349,17.0,5.08928571429,0.0
Brazil,299.0,217.0,7.0,5.0,7.21,119848.0,1395.0,321.0,988.0,0.0,1.0,0.725752508361,0.0234113712375,0.0167224080268,0.0270037453184,435.810909091,4.72881355932,22.9285714286,4.53211009174,0.0
Pakistan,148.0,84.0,1.0,1.0,1.08,17363.0,494.0,0,253.0,0.0,1.0,0.567567567568,0.00675675675676,0.00675675675676,0.0100934579439,142.319672131,3.43055555556,0,3.20253164557,0.0
Portugal,17.0,14.0,1.0,0.0,0.64,5915.0,77.0,1.0,80.0,0.0,1.0,0.823529411765,0.0588235294118,0.0,0.0376470588235,369.6875,4.52941176471,1.0,5.71428571429,0.0
Mexico,92.0,69.0,3.0,2.0,2.61,39360.0,514.0,66.0,294.0,0.0,1.0,0.75,0.0326086956522,0.0217391304348,0.0283695652174,480.0,5.77528089888,16.5,4.2,0.0
Egypt,107.0,74.0,1.0,1.0,1.4,20444.0,362.0,2.0,262.0,0.0,1.0,0.691588785047,0.00934579439252,0.00934579439252,0.0162790697674,215.2,3.44761904762,1.0,3.4025974026,0.0
India,2579.0,1900.0,116.0,81.0,103.71,1226565.0,11838.0,1210.0,10508.0,99.0,1.0,0.736719658782,0.0449786739046,0.0314075222955,0.0408307086614,514.067476949,4.72763578275,9.60317460317,5.5247108307,0.0383869716945
Other Middle East/Central Asia,317.0,229.0,8.0,5.0,5.8,92786.0,1090.0,50.0,894.0,0.0,1.0,0.722397476341,0.0252365930599,0.0157728706625,0.0246808510638,318.852233677,3.55048859935,5.0,3.88695652174,0.0
United Kingdom,293.0,210.0,7.0,4.0,8.27,113056.0,1419.0,88.0,941.0,0.0,1.0,0.716723549488,0.0238907849829,0.0136518771331,0.0295357142857,436.50965251,5.10431654676,7.33333333333,4.45971563981,0.0
Colombia,51.0,40.0,2.0,1.0,1.58,24198.0,322.0,51.0,194.0,0.0,1.0,0.78431372549,0.0392156862745,0.0196078431373,0.034347826087,514.85106383,6.57142857143,8.5,5.10526315789,0.0
Greece,41.0,33.0,2.0,2.0,2.56,30676.0,246.0,4.0,246.0,0.0,1.0,0.80487804878,0.0487804878049,0.0487804878049,0.0624390243902,829.081081081,6.15,2.0,7.45454545455,0.0
Japan,24.0,18.0,1.0,1.0,0.81,9458.0,91.0,63.0,83.0,0.0,1.0,0.75,0.0416666666667,0.0416666666667,0.135,450.380952381,3.79166666667,63.0,4.36842105263,0.0
