Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.69,0.09,0.01,0.01,44.22,4.47,0.0,2.78,0.0
Other South Asia,0.68,0.1,0.01,0.01,35.62,3.89,0.0,2.93,0.0
Bangladesh,0.62,0.1,0.01,0.01,31.72,3.18,0.0,3.11,0.0
Other South America,0.67,0.09,0.01,0.01,35.43,3.96,0.0,2.84,0.0
France,0.69,0.12,0.03,0.03,54.67,5.76,0.0,3.26,0.0
Other East Asia,0.71,0.11,0.01,0.01,43.08,4.09,0.0,3.14,0.0
Other Oceania,0.75,0.11,0.01,0.01,26.26,3.03,0.0,2.85,0.0
Other Europe,0.75,0.14,0.02,0.02,51.46,5.36,0.0,3.48,0.0
Nigeria,0.63,0.08,0.0,0.0,24.73,3.93,0.0,2.73,0.0
"Other North & Central Amer., Caribbean",0.69,0.07,0.01,0.01,35.02,4.15,0.0,2.68,0.0
Australia,0.62,0.09,0.01,0.01,41.16,4.31,0.0,2.98,0.0
China,0.62,0.08,0.0,0.0,25.24,3.14,0.0,2.79,0.0
Russian Federation,0.62,0.11,0.02,0.02,46.44,5.38,0.0,3.25,0.0
Germany,0.74,0.15,0.03,0.03,57.58,5.72,0.0,3.63,0.0
Philippines,0.65,0.05,0.01,0.01,31.29,3.58,0.0,2.36,0.0
Spain,0.75,0.14,0.03,0.03,51.58,5.93,0.0,3.39,0.0
Ukraine,0.71,0.14,0.03,0.03,60.77,6.63,0.0,3.66,0.0
Poland,0.76,0.17,0.02,0.02,52.47,4.97,0.0,3.74,0.0
Indonesia,0.63,0.08,0.01,0.01,22.74,3.36,0.0,2.72,0.0
United States,0.66,0.06,0.01,0.01,39.59,4.16,0.0,2.41,0.0
Morocco,0.71,0.1,0.01,0.01,23.29,2.74,0.0,3.02,0.0
Unknown/Other,0.52,0.02,0.0,0.0,25.93,3.69,0.0,1.77,0.0
Other Africa,0.64,0.08,0.01,0.01,26.14,3.69,0.0,2.9,0.0
Brazil,0.67,0.08,0.01,0.01,33.4,3.71,0.0,2.71,0.0
Pakistan,0.59,0.07,0.0,0.0,26.23,3.12,0.0,2.76,0.0
Portugal,0.71,0.14,0.03,0.03,60.1,5.98,0.0,3.53,0.0
Mexico,0.71,0.1,0.01,0.01,36.57,4.42,0.0,2.94,0.0
Egypt,0.62,0.1,0.01,0.01,45.07,4.89,0.0,3.24,0.0
India,0.7,0.12,0.01,0.01,34.98,3.96,0.0,3.32,0.0
Other Middle East/Central Asia,0.64,0.1,0.01,0.01,31.63,3.62,0.0,3.12,0.0
United Kingdom,0.72,0.12,0.02,0.02,47.22,5.02,0.0,3.17,0.0
Colombia,0.7,0.09,0.01,0.01,41.44,4.92,0.0,3.0,0.0
Greece,0.78,0.14,0.03,0.03,67.94,7.61,0.0,3.46,0.0
Japan,0.73,0.11,0.02,0.02,37.32,3.94,0.0,2.8,0.0
Overall average,0.68,0.1,0.01,0.01,39.66,4.42,0.0,3.01,0.0
