Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.63,0.11,0.03,0.07,703.98,6.74,192.59,4.5,0.0
Other South Asia,0.61,0.1,0.04,0.06,574.44,5.86,200.65,4.16,0.0
Bangladesh,0.53,0.05,0.01,0.03,220.51,3.82,38.04,3.36,0.0
Other South America,0.65,0.1,0.05,0.07,604.9,5.97,180.86,3.98,0.0
France,0.73,0.16,0.09,0.13,1212.12,9.94,340.77,5.17,0.0
Nigeria,0.66,0.11,0.04,0.07,480.67,6.52,190.31,4.2,0.0
Other Oceania,0.6,0.0,0.0,0.0,78.0,1.6,21.33,1.67,0.0
Other Europe,0.66,0.13,0.06,0.09,872.0,7.6,266.03,4.65,0.0
Other East Asia,0.55,0.05,0.01,0.03,382.12,4.93,158.57,4.11,0.0
"Other North & Central Amer., Caribbean",0.62,0.11,0.02,0.05,608.23,6.24,208.61,4.1,0.0
Australia,0.57,0.11,0.05,0.08,671.09,6.46,210.35,4.72,0.0
China,0.56,0.13,0.06,0.1,514.86,5.76,22.53,4.95,0.0
Russian Federation,0.45,0.04,0.01,0.03,370.2,4.86,191.75,3.35,0.0
Germany,0.68,0.17,0.1,0.15,1195.81,9.21,314.34,5.32,0.0
Philippines,0.53,0.07,0.03,0.05,417.13,4.62,96.88,3.57,0.0
Spain,0.71,0.23,0.14,0.19,1567.91,11.38,373.56,6.29,0.01
Ukraine,0.54,0.09,0.0,0.05,655.28,6.63,177.52,4.35,0.0
Poland,0.73,0.18,0.12,0.17,1752.59,12.77,481.57,5.88,0.0
Indonesia,0.58,0.09,0.03,0.05,459.76,5.1,154.44,4.33,0.0
United States,0.57,0.07,0.03,0.05,545.24,5.69,171.01,3.82,0.02
Morocco,0.44,0.06,0.0,0.05,214.0,2.79,38.5,3.43,0.0
Unknown/Other,0.08,0.02,0.0,0.01,529.5,6.56,189.23,4.8,0.0
Other Africa,0.68,0.15,0.06,0.09,789.3,7.77,304.41,4.96,0.05
Brazil,0.57,0.05,0.02,0.03,413.05,4.52,135.65,3.18,0.0
Pakistan,0.53,0.07,0.02,0.04,278.41,4.13,108.6,3.63,0.0
Portugal,0.61,0.13,0.11,0.14,1125.75,8.81,429.46,5.1,0.0
Mexico,0.7,0.07,0.02,0.06,477.31,5.46,108.43,3.48,0.0
Egypt,0.57,0.07,0.03,0.05,529.37,5.5,232.88,3.94,0.0
India,0.62,0.15,0.07,0.1,690.05,6.95,191.03,5.0,0.05
Other Middle East/Central Asia,0.56,0.07,0.03,0.05,422.3,4.67,176.97,3.78,0.0
United Kingdom,0.63,0.11,0.05,0.08,676.13,6.34,201.23,4.28,0.0
Colombia,0.67,0.12,0.06,0.1,739.6,6.25,208.07,4.36,0.0
Greece,0.66,0.11,0.06,0.1,977.45,7.37,280.99,4.45,0.0
Japan,0.74,0.13,0.05,0.09,806.82,8.4,219.8,4.39,0.0
