Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.62,0.11,0.08,0.08,669.3,6.1,98.66,3.34,0.0
Other South Asia,0.6,0.1,0.07,0.07,518.17,5.52,108.3,3.13,0.0
Bangladesh,0.44,0.06,0.02,0.04,241.4,3.44,48.48,2.76,0.0
Other South America,0.68,0.12,0.08,0.09,714.54,6.7,147.06,3.22,0.0
France,0.68,0.16,0.1,0.11,748.28,6.69,137.92,3.62,0.0
Nigeria,0.56,0.09,0.06,0.06,532.46,5.62,115.17,3.19,0.0
Other Oceania,0.64,0.09,0.0,0.08,628.75,4.78,62.83,2.43,0.0
Other Europe,0.66,0.15,0.11,0.11,885.89,7.47,129.26,3.86,0.0
Other East Asia,0.68,0.06,0.04,0.04,320.25,3.82,56.42,2.43,0.0
"Other North & Central Amer., Caribbean",0.68,0.1,0.06,0.08,611.43,6.51,106.34,2.95,0.0
Australia,0.65,0.12,0.08,0.09,587.89,6.21,99.68,3.22,0.0
China,0.65,0.08,0.03,0.05,196.34,2.95,27.2,2.32,0.0
Russian Federation,0.49,0.1,0.08,0.08,631.51,6.86,227.44,3.74,0.0
Germany,0.73,0.17,0.14,0.14,905.1,7.53,118.39,3.78,0.0
Philippines,0.61,0.04,0.01,0.02,226.74,4.0,52.95,2.1,0.0
Spain,0.71,0.18,0.15,0.14,1106.76,9.22,145.67,4.0,0.0
Ukraine,0.6,0.2,0.2,0.12,1302.7,11.2,158.83,5.0,0.0
Poland,0.69,0.14,0.08,0.09,614.03,5.78,62.43,3.24,0.0
Indonesia,0.52,0.09,0.05,0.05,405.3,4.42,79.05,3.08,0.0
United States,0.59,0.11,0.08,0.09,672.35,6.27,103.89,3.32,0.03
Morocco,0.51,0.04,0.0,0.04,229.57,4.1,57.71,2.3,0.0
Unknown/Other,0.2,0.01,0.01,0.01,467.95,5.21,77.29,1.87,0.0
Other Africa,0.58,0.11,0.07,0.07,594.2,5.52,143.99,3.35,0.01
Brazil,0.58,0.07,0.05,0.05,449.99,5.2,88.48,2.67,0.0
Pakistan,0.57,0.04,0.03,0.03,255.05,3.37,16.67,2.31,0.0
Portugal,0.57,0.14,0.14,0.12,709.93,8.5,147.25,4.0,0.0
Mexico,0.68,0.14,0.11,0.1,822.29,7.55,144.27,3.49,0.0
Egypt,0.47,0.06,0.02,0.03,229.7,3.3,108.43,2.91,0.0
India,0.6,0.09,0.06,0.06,419.12,4.64,80.4,2.94,0.01
Other Middle East/Central Asia,0.59,0.1,0.06,0.07,476.67,5.18,85.75,3.19,0.0
United Kingdom,0.62,0.13,0.1,0.1,703.14,6.34,114.18,3.55,0.0
Colombia,0.69,0.16,0.12,0.13,964.21,8.2,175.85,3.97,0.0
Greece,0.59,0.11,0.07,0.08,683.83,6.01,88.38,3.65,0.0
Japan,0.72,0.07,0.02,0.03,335.82,3.99,61.77,2.5,0.0
