Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.45,0.04,0.03,0.04,344.68,4.29,81.83,3.07,0.0
Other South Asia,0.5,0.07,0.04,0.06,526.71,5.63,150.61,3.63,0.0
Bangladesh,0.48,0.0,0.0,0.01,104.57,2.88,38.25,2.17,0.0
Other South America,0.61,0.06,0.05,0.05,556.0,5.82,119.48,3.35,0.0
France,0.61,0.05,0.01,0.03,398.68,5.15,93.53,3.35,0.0
Nigeria,0.48,0.07,0.04,0.05,427.81,5.35,141.48,3.5,0.0
Other Europe,0.61,0.1,0.07,0.08,924.74,8.05,206.1,4.17,0.01
Other East Asia,0.5,0.04,0.01,0.03,341.23,3.17,54.58,2.72,0.0
"Other North & Central Amer., Caribbean",0.77,0.24,0.2,0.22,845.3,8.85,100.38,5.61,0.0
Australia,0.42,0.03,0.02,0.04,407.75,4.44,141.59,3.52,0.0
Germany,0.62,0.08,0.07,0.07,646.3,6.34,105.78,3.47,0.0
Russian Federation,0.49,0.13,0.11,0.11,1159.48,9.59,264.5,5.56,0.0
China,0.55,0.07,0.0,0.02,156.19,3.79,52.0,2.47,0.0
Philippines,0.57,0.07,0.03,0.05,416.18,4.98,76.32,3.24,0.0
Spain,0.69,0.2,0.18,0.17,1730.46,11.75,330.94,5.76,0.01
Ukraine,0.62,0.11,0.09,0.1,1186.0,9.28,284.61,4.36,0.0
Poland,0.75,0.24,0.21,0.21,2043.41,13.69,277.53,6.98,0.0
Indonesia,0.39,0.0,0.0,0.02,57.05,1.66,26.63,1.96,0.0
United States,0.47,0.04,0.02,0.03,441.12,4.8,115.43,3.0,0.02
Morocco,0.33,0.0,0.0,0.0,26.82,1.5,8.38,2.17,0.0
Unknown/Other,0.07,0.01,0.0,0.01,103.94,2.72,55.75,2.68,0.0
Other Africa,0.46,0.05,0.02,0.03,325.96,4.23,84.16,3.28,0.0
Brazil,0.52,0.06,0.04,0.05,510.11,5.48,143.32,3.31,0.0
Pakistan,0.51,0.02,0.01,0.02,143.48,2.69,17.58,2.37,0.0
Portugal,0.54,0.04,0.04,0.04,356.67,6.88,72.69,3.38,0.0
Mexico,0.61,0.1,0.08,0.09,1041.9,8.99,314.09,4.28,0.0
Egypt,0.37,0.04,0.02,0.03,302.32,3.79,134.11,3.17,0.0
India,0.47,0.07,0.05,0.05,328.51,4.21,61.6,3.76,0.01
Other Middle East/Central Asia,0.46,0.02,0.02,0.02,231.7,3.64,65.65,2.71,0.0
United Kingdom,0.58,0.1,0.08,0.08,988.31,8.52,200.2,4.37,0.02
Colombia,0.61,0.11,0.09,0.09,1163.44,10.37,218.98,4.89,0.0
Greece,0.68,0.17,0.09,0.12,1183.33,10.26,156.27,4.66,0.0
Japan,0.29,0.14,0.0,0.0,514.43,7.86,158.0,6.5,0.0
