Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.66,0.06,0.03,0.04,547.35,6.01,127.33,3.8,0.01
Other South Asia,0.62,0.05,0.03,0.04,287.68,4.71,65.44,3.55,0.0
Bangladesh,0.63,0.03,0.0,0.01,165.35,3.36,49.87,2.75,0.0
Other South America,0.69,0.07,0.03,0.06,527.39,6.75,131.59,4.13,0.02
France,0.69,0.09,0.05,0.07,643.24,6.82,151.06,4.58,0.0
Other East Asia,0.69,0.05,0.02,0.04,397.59,5.31,131.65,3.35,0.0
Other Oceania,0.67,0.08,0.08,0.07,839.25,8.83,596.83,4.67,0.0
Other Europe,0.72,0.11,0.06,0.09,834.59,8.71,191.88,4.61,0.01
Nigeria,0.6,0.02,0.01,0.02,184.57,3.96,56.44,2.97,0.0
"Other North & Central Amer., Caribbean",0.75,0.13,0.1,0.13,822.82,8.92,139.81,4.86,0.0
Australia,0.56,0.03,0.01,0.03,237.91,3.82,62.58,3.24,0.0
Germany,0.73,0.09,0.04,0.06,703.16,7.09,176.62,4.52,0.0
Russian Federation,0.68,0.15,0.1,0.13,1334.13,13.06,354.23,5.91,0.0
China,0.68,0.03,0.0,0.01,115.69,3.16,56.58,2.48,0.0
Philippines,0.65,0.06,0.03,0.05,392.72,5.28,77.82,3.8,0.0
Spain,0.77,0.14,0.1,0.12,1145.02,10.55,251.98,5.33,0.02
Ukraine,0.78,0.11,0.08,0.1,988.98,10.56,186.58,4.64,0.0
Poland,0.85,0.14,0.09,0.11,1233.18,10.99,272.45,4.77,0.0
Indonesia,0.59,0.01,0.01,0.01,135.48,3.37,36.72,2.73,0.0
United States,0.61,0.05,0.03,0.04,458.82,5.77,112.9,3.66,0.03
Morocco,0.59,0.03,0.01,0.02,174.05,2.97,61.7,2.94,0.0
Unknown/Other,0.36,0.01,0.0,0.0,138.88,3.34,32.81,2.07,0.0
Other Africa,0.58,0.04,0.01,0.02,306.65,4.17,144.09,3.18,0.01
Brazil,0.66,0.07,0.03,0.05,524.01,6.51,125.9,3.96,0.02
Pakistan,0.63,0.05,0.03,0.04,252.65,4.5,43.34,3.53,0.02
Portugal,0.76,0.13,0.08,0.11,807.25,8.88,203.73,4.78,0.0
Mexico,0.71,0.06,0.04,0.05,515.02,6.46,120.11,3.78,0.01
Egypt,0.55,0.02,0.01,0.01,205.1,3.62,90.99,2.94,0.0
India,0.66,0.1,0.06,0.09,493.88,6.31,113.67,4.54,0.04
Other Middle East/Central Asia,0.6,0.04,0.03,0.04,252.1,4.16,76.9,3.47,0.0
United Kingdom,0.68,0.06,0.03,0.04,481.34,5.82,105.61,3.77,0.01
Colombia,0.74,0.13,0.05,0.08,756.37,8.64,134.08,5.01,0.02
Greece,0.78,0.08,0.06,0.08,887.25,9.63,188.77,4.08,0.0
Japan,0.63,0.09,0.04,0.15,528.16,5.46,135.29,4.24,0.0
Overall average,0.66,0.07,0.04,0.06,538.75,6.4,141.39,3.9,0.01
