Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.69,0.07,0.03,0.03,711.41,7.39,117.11,4.19,0.01
Other South Asia,0.67,0.05,0.02,0.03,570.19,6.22,118.75,3.8,0.0
Bangladesh,0.61,0.05,0.02,0.02,369.19,4.73,58.58,3.51,0.0
Other South America,0.68,0.04,0.02,0.03,622.13,6.35,102.48,3.77,0.0
France,0.69,0.05,0.03,0.03,542.97,6.6,87.57,4.03,0.0
Other East Asia,0.67,0.03,0.01,0.01,303.14,4.3,67.85,3.25,0.0
Other Oceania,0.54,0.0,0.0,0.0,147.38,3.62,25.17,2.88,0.0
Other Europe,0.73,0.08,0.04,0.05,970.13,8.83,156.53,4.49,0.04
Nigeria,0.58,0.0,0.0,0.0,121.42,3.27,57.46,2.79,0.0
"Other North & Central Amer., Caribbean",0.72,0.06,0.03,0.03,691.4,6.67,111.49,3.94,0.0
Australia,0.65,0.05,0.02,0.03,486.96,5.93,76.96,3.73,0.0
Germany,0.74,0.06,0.03,0.04,728.32,6.91,130.01,3.99,0.0
Russian Federation,0.72,0.11,0.07,0.07,1237.66,11.59,216.17,5.25,0.02
China,0.59,0.03,0.0,0.01,143.98,3.38,31.81,2.96,0.0
Philippines,0.59,0.04,0.01,0.02,341.43,4.3,68.99,2.96,0.0
Spain,0.8,0.17,0.08,0.1,1627.38,13.31,197.75,5.93,0.01
Ukraine,0.72,0.09,0.05,0.06,1129.44,9.82,216.87,4.77,0.0
Poland,0.8,0.09,0.06,0.07,1233.73,10.38,213.33,4.94,0.0
Indonesia,0.71,0.03,0.01,0.02,408.33,4.89,59.2,3.47,0.0
United States,0.65,0.05,0.02,0.03,648.08,6.66,112.77,3.83,0.05
Morocco,0.53,0.02,0.01,0.01,260.57,3.83,66.79,3.31,0.0
Unknown/Other,0.28,0.0,0.0,0.0,331.09,4.56,94.14,2.3,0.0
Other Africa,0.58,0.04,0.02,0.02,383.33,5.27,81.88,3.35,0.0
Brazil,0.67,0.04,0.02,0.02,592.19,6.24,129.75,3.74,0.02
Pakistan,0.62,0.02,0.01,0.01,265.26,3.94,53.19,3.08,0.04
Portugal,0.73,0.08,0.03,0.03,880.59,6.63,168.36,4.48,0.0
Mexico,0.71,0.05,0.02,0.03,703.71,7.19,137.02,3.71,0.08
Egypt,0.6,0.02,0.01,0.01,231.52,3.79,56.09,2.79,0.0
India,0.7,0.06,0.02,0.03,560.16,5.93,88.7,3.99,0.03
Other Middle East/Central Asia,0.65,0.02,0.0,0.01,323.43,4.55,76.9,3.25,0.01
United Kingdom,0.65,0.05,0.03,0.04,754.92,7.09,114.42,4.06,0.05
Colombia,0.74,0.09,0.04,0.05,1135.18,9.56,208.86,4.81,0.04
Greece,0.77,0.13,0.07,0.08,1412.15,11.73,245.25,5.17,0.03
Japan,0.73,0.07,0.03,0.04,656.69,6.8,85.19,3.69,0.0
Overall average,0.66,0.05,0.03,0.03,633.1,6.54,112.75,3.83,0.01
