Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.7,0.06,0.05,0.05,790.41,6.51,9.62,6.52,0.0
Other South Asia,0.77,0.06,0.11,0.11,1095.24,7.91,15.25,8.76,0.0
Bangladesh,0.74,0.05,0.02,0.03,484.92,4.95,3.5,4.7,0.0
Other South America,0.78,0.06,0.04,0.05,702.71,5.9,16.92,6.09,0.0
France,0.87,0.0,0.0,0.02,290.27,4.0,0.0,4.6,0.0
Other East Asia,0.75,0.05,0.0,0.04,568.01,5.0,11.6,6.45,0.0
Other Europe,0.76,0.05,0.04,0.05,706.78,5.9,15.13,6.06,0.0
Nigeria,0.57,0.0,0.0,0.01,190.42,4.76,6.0,4.0,0.0
"Other North & Central Amer., Caribbean",0.71,0.05,0.05,0.04,583.55,5.76,6.5,4.63,0.0
Australia,0.76,0.03,0.03,0.03,688.06,6.0,30.0,4.87,0.0
Germany,0.85,0.04,0.04,0.04,438.77,4.43,6.25,4.57,0.0
Russian Federation,0.73,0.04,0.04,0.05,538.07,6.08,66.25,4.62,0.0
China,0.71,0.0,0.0,0.01,86.13,2.01,1.0,2.94,0.0
Philippines,0.72,0.02,0.0,0.02,190.71,2.39,2.0,3.83,0.0
Spain,0.78,0.07,0.07,0.08,977.34,7.45,42.11,7.87,0.0
Ukraine,0.5,0.0,0.0,0.0,73.3,4.79,0.0,2.22,0.0
Poland,0.64,0.03,0.01,0.03,399.4,5.08,16.67,5.22,0.0
Indonesia,0.8,0.09,0.07,0.13,1045.4,6.72,26.6,8.18,0.0
United States,0.71,0.04,0.03,0.04,587.91,5.55,16.42,5.11,0.01
Morocco,0.6,0.0,0.0,0.0,153.93,3.21,6.0,3.94,0.0
Unknown/Other,0.14,0.0,0.0,0.01,156.45,1.93,0.0,2.97,0.0
Other Africa,0.63,0.03,0.02,0.03,460.38,4.01,17.0,5.09,0.0
Brazil,0.73,0.02,0.02,0.03,435.81,4.73,22.93,4.53,0.0
Pakistan,0.57,0.01,0.01,0.01,142.32,3.43,0.0,3.2,0.0
Portugal,0.82,0.06,0.0,0.04,369.69,4.53,1.0,5.71,0.0
Mexico,0.75,0.03,0.02,0.03,480.0,5.78,16.5,4.2,0.0
Egypt,0.69,0.01,0.01,0.02,215.2,3.45,1.0,3.4,0.0
India,0.74,0.04,0.03,0.04,514.07,4.73,9.6,5.52,0.04
Other Middle East/Central Asia,0.72,0.03,0.02,0.02,318.85,3.55,5.0,3.89,0.0
United Kingdom,0.72,0.02,0.01,0.03,436.51,5.1,7.33,4.46,0.0
Colombia,0.78,0.04,0.02,0.03,514.85,6.57,8.5,5.11,0.0
Greece,0.8,0.05,0.05,0.06,829.08,6.15,2.0,7.45,0.0
Japan,0.75,0.04,0.04,0.14,450.38,3.79,63.0,4.37,0.0
