Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.48,0.0,0.0,0.01,104.57,2.88,38.25,2.17,0.0
HarvardX/ER22x/2013_Spring,0.49,0.06,0.02,0.03,129.58,4.31,0.0,6.88,0.0
MITx/8.MReV/2013_Summer,0.74,0.05,0.02,0.03,484.92,4.95,3.5,4.7,0.0
MITx/6.002x/2012_Fall,0.63,0.03,0.0,0.01,165.35,3.36,49.87,2.75,0.0
MITx/14.73x/2013_Spring,0.44,0.06,0.02,0.04,241.4,3.44,48.48,2.76,0.0
MITx/6.00x/2013_Spring,0.95,0.03,0.01,0.01,219.7,3.72,29.02,2.71,0.0
MITx/7.00x/2013_Spring,0.47,0.0,0.0,0.05,70.15,2.58,18.9,2.3,0.0
MITx/3.091x/2013_Spring,0.95,0.05,0.0,0.01,184.8,2.75,25.25,3.56,0.0
HarvardX/PH278x/2013_Spring,0.32,0.01,0.01,0.01,92.17,2.86,27.0,2.09,0.0
MITx/6.002x/2013_Spring,0.39,0.01,0.01,0.01,198.7,3.58,87.85,3.11,0.0
HarvardX/CS50x/2012,0.62,0.1,0.01,0.01,31.72,3.18,0.0,3.11,0.0
HarvardX/CB22x/2013_Spring,0.51,0.08,0.03,0.05,162.75,3.22,0.0,4.89,0.0
MITx/6.00x/2012_Fall,0.61,0.04,0.01,0.01,252.11,4.47,76.78,2.98,0.02
HarvardX/PH207x/2012_Fall,0.53,0.05,0.01,0.03,220.51,3.82,38.04,3.36,0.0
MITx/8.02x/2013_Spring,0.61,0.05,0.02,0.02,369.19,4.73,58.58,3.51,0.0
Overall average,0.58,0.04,0.01,0.02,195.17,3.59,33.43,3.39,0.0
