Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.52,0.06,0.04,0.05,510.11,5.48,143.32,3.31,0.0
MITx/6.002x/2013_Spring,0.52,0.03,0.01,0.02,326.75,5.02,79.99,3.59,0.0
MITx/8.MReV/2013_Summer,0.73,0.02,0.02,0.03,435.81,4.73,22.93,4.53,0.0
MITx/6.00x/2012_Fall,0.61,0.04,0.02,0.02,434.64,5.64,89.69,3.15,0.01
MITx/6.002x/2012_Fall,0.66,0.07,0.03,0.05,524.01,6.51,125.9,3.96,0.02
MITx/14.73x/2013_Spring,0.58,0.07,0.05,0.05,449.99,5.2,88.48,2.67,0.0
MITx/6.00x/2013_Spring,0.96,0.03,0.02,0.02,411.72,5.14,62.69,3.09,0.0
MITx/7.00x/2013_Spring,0.61,0.06,0.03,0.04,459.57,5.82,141.9,3.55,0.0
MITx/3.091x/2013_Spring,0.99,0.03,0.03,0.03,550.9,6.04,143.22,3.26,0.0
MITx/2.01x/2013_Spring,0.7,0.12,0.06,0.07,753.69,8.3,115.86,3.47,0.02
HarvardX/PH278x/2013_Spring,0.42,0.03,0.01,0.02,146.9,3.71,31.03,2.4,0.0
HarvardX/CB22x/2013_Spring,0.61,0.03,0.02,0.03,149.27,4.21,0.0,3.5,0.0
HarvardX/CS50x/2012,0.67,0.08,0.01,0.01,33.4,3.71,0.0,2.71,0.0
HarvardX/ER22x/2013_Spring,0.66,0.07,0.06,0.06,178.64,4.68,0.0,6.15,0.02
HarvardX/PH207x/2012_Fall,0.57,0.05,0.02,0.03,413.05,4.52,135.65,3.18,0.0
MITx/8.02x/2013_Spring,0.67,0.04,0.02,0.02,592.19,6.24,129.75,3.74,0.02
Overall average,0.66,0.05,0.03,0.03,398.17,5.31,81.9,3.52,0.01
