Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.45,0.04,0.03,0.04,344.68,4.29,81.83,3.07,0.0
MITx/6.002x/2013_Spring,0.5,0.01,0.01,0.01,236.13,3.66,56.17,3.15,0.0
MITx/8.MReV/2013_Summer,0.7,0.06,0.05,0.05,790.41,6.51,9.62,6.52,0.0
MITx/6.002x/2012_Fall,0.66,0.06,0.03,0.04,547.35,6.01,127.33,3.8,0.01
MITx/6.00x/2012_Fall,0.63,0.07,0.04,0.05,769.19,7.6,109.15,4.15,0.0
MITx/14.73x/2013_Spring,0.62,0.11,0.08,0.08,669.3,6.1,98.66,3.34,0.0
MITx/6.00x/2013_Spring,0.95,0.05,0.02,0.03,581.32,6.09,68.5,3.39,0.01
MITx/7.00x/2013_Spring,0.63,0.1,0.04,0.05,663.26,7.97,138.29,4.28,0.05
MITx/3.091x/2013_Spring,0.95,0.01,0.01,0.02,461.22,4.69,101.5,3.27,0.0
MITx/2.01x/2013_Spring,0.63,0.12,0.04,0.07,497.6,6.72,99.14,3.67,0.0
HarvardX/PH278x/2013_Spring,0.41,0.02,0.02,0.03,166.26,4.0,35.12,2.36,0.0
HarvardX/CS50x/2012,0.69,0.09,0.01,0.01,44.22,4.47,0.0,2.78,0.0
HarvardX/CB22x/2013_Spring,0.58,0.01,0.0,0.01,84.81,4.19,0.0,2.57,0.0
HarvardX/ER22x/2013_Spring,0.64,0.06,0.05,0.06,168.6,4.46,0.0,6.31,0.02
HarvardX/PH207x/2012_Fall,0.63,0.11,0.03,0.07,703.98,6.74,192.59,4.5,0.0
MITx/8.02x/2013_Spring,0.69,0.07,0.03,0.03,711.41,7.39,117.11,4.19,0.01
