Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.55,0.07,0.0,0.02,156.19,3.79,52.0,2.47,0.0
HarvardX/ER22x/2013_Spring,0.63,0.02,0.02,0.02,59.47,2.74,0.0,3.42,0.0
MITx/8.MReV/2013_Summer,0.71,0.0,0.0,0.01,86.13,2.01,1.0,2.94,0.0
MITx/6.002x/2012_Fall,0.68,0.03,0.0,0.01,115.69,3.16,56.58,2.48,0.0
MITx/14.73x/2013_Spring,0.65,0.08,0.03,0.05,196.34,2.95,27.2,2.32,0.0
MITx/6.00x/2013_Spring,0.96,0.02,0.01,0.01,197.87,3.51,35.36,2.6,0.0
MITx/7.00x/2013_Spring,0.66,0.03,0.01,0.02,229.51,4.2,162.84,2.97,0.0
MITx/3.091x/2013_Spring,0.98,0.02,0.02,0.02,169.43,2.78,47.33,2.89,0.0
MITx/2.01x/2013_Spring,0.58,0.0,0.0,0.0,49.73,2.27,10.0,1.94,0.0
HarvardX/PH278x/2013_Spring,0.39,0.0,0.0,0.01,47.69,2.87,23.5,2.01,0.0
MITx/6.002x/2013_Spring,0.51,0.04,0.03,0.03,302.4,3.83,104.37,3.37,0.0
HarvardX/CB22x/2013_Spring,0.67,0.01,0.01,0.01,54.41,2.61,0.0,2.37,0.0
HarvardX/CS50x/2012,0.62,0.08,0.0,0.0,25.24,3.14,0.0,2.79,0.0
MITx/6.00x/2012_Fall,0.62,0.03,0.01,0.02,310.51,4.97,135.21,3.02,0.0
HarvardX/PH207x/2012_Fall,0.56,0.13,0.06,0.1,514.86,5.76,22.53,4.95,0.0
MITx/8.02x/2013_Spring,0.59,0.03,0.0,0.01,143.98,3.38,31.81,2.96,0.0
