Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.37,0.04,0.02,0.03,302.32,3.79,134.11,3.17,0.0
MITx/6.002x/2013_Spring,0.39,0.02,0.01,0.01,147.73,3.16,66.72,3.03,0.0
MITx/8.MReV/2013_Summer,0.69,0.01,0.01,0.02,215.2,3.45,1.0,3.4,0.0
MITx/6.00x/2012_Fall,0.47,0.02,0.01,0.01,239.08,3.55,108.62,2.74,0.0
MITx/6.002x/2012_Fall,0.55,0.02,0.01,0.01,205.1,3.62,90.99,2.94,0.0
MITx/14.73x/2013_Spring,0.47,0.06,0.02,0.03,229.7,3.3,108.43,2.91,0.0
MITx/6.00x/2013_Spring,0.96,0.02,0.01,0.01,233.22,3.85,55.58,2.64,0.0
MITx/7.00x/2013_Spring,0.6,0.04,0.02,0.03,371.86,4.69,114.41,3.05,0.0
MITx/3.091x/2013_Spring,0.94,0.0,0.0,0.01,150.77,3.67,39.08,2.53,0.0
MITx/2.01x/2013_Spring,0.71,0.03,0.0,0.0,125.66,3.15,50.35,1.74,0.0
HarvardX/PH278x/2013_Spring,0.35,0.02,0.02,0.03,156.58,6.85,65.65,2.25,0.0
HarvardX/CB22x/2013_Spring,0.51,0.02,0.02,0.01,50.32,2.57,0.0,2.57,0.0
HarvardX/CS50x/2012,0.62,0.1,0.01,0.01,45.07,4.89,0.0,3.24,0.0
HarvardX/ER22x/2013_Spring,0.6,0.07,0.05,0.06,151.41,5.96,0.0,6.48,0.0
HarvardX/PH207x/2012_Fall,0.57,0.07,0.03,0.05,529.37,5.5,232.88,3.94,0.0
MITx/8.02x/2013_Spring,0.6,0.02,0.01,0.01,231.52,3.79,56.09,2.79,0.0
Overall average,0.59,0.04,0.02,0.02,211.56,4.11,70.24,3.09,0.0
