Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.61,0.05,0.01,0.03,398.68,5.15,93.53,3.35,0.0
MITx/6.002x/2013_Spring,0.5,0.09,0.05,0.06,561.77,7.12,133.61,5.72,0.0
MITx/8.MReV/2013_Summer,0.87,0.0,0.0,0.02,290.27,4.0,0.0,4.6,0.0
MITx/6.00x/2012_Fall,0.7,0.07,0.03,0.04,594.84,6.53,110.67,3.55,0.0
MITx/6.002x/2012_Fall,0.69,0.09,0.05,0.07,643.24,6.82,151.06,4.58,0.0
MITx/14.73x/2013_Spring,0.68,0.16,0.1,0.11,748.28,6.69,137.92,3.62,0.0
MITx/6.00x/2013_Spring,0.95,0.06,0.02,0.03,525.1,5.78,83.96,3.75,0.0
MITx/7.00x/2013_Spring,0.74,0.16,0.12,0.13,877.83,9.97,133.47,5.69,0.0
MITx/3.091x/2013_Spring,1.0,0.03,0.03,0.03,244.19,3.73,29.92,3.33,0.0
MITx/2.01x/2013_Spring,0.68,0.08,0.02,0.02,272.58,4.88,64.11,3.17,0.0
HarvardX/PH278x/2013_Spring,0.42,0.05,0.02,0.03,173.52,3.84,45.32,2.73,0.0
HarvardX/CS50x/2012,0.69,0.12,0.03,0.03,54.67,5.76,0.0,3.26,0.0
HarvardX/CB22x/2013_Spring,0.65,0.01,0.01,0.01,101.4,3.37,0.0,2.97,0.0
HarvardX/ER22x/2013_Spring,0.71,0.1,0.06,0.06,188.31,4.59,0.0,7.38,0.0
HarvardX/PH207x/2012_Fall,0.73,0.16,0.09,0.13,1212.12,9.94,340.77,5.17,0.0
MITx/8.02x/2013_Spring,0.69,0.05,0.03,0.03,542.97,6.6,87.57,4.03,0.0
Overall average,0.71,0.08,0.04,0.05,464.36,5.92,88.24,4.18,0.0
