Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.68,0.17,0.09,0.12,1183.33,10.26,156.27,4.66,0.0
MITx/6.00x/2012_Fall,0.74,0.16,0.12,0.12,1544.52,14.11,193.89,5.57,0.02
MITx/6.002x/2012_Fall,0.78,0.08,0.06,0.08,887.25,9.63,188.77,4.08,0.0
MITx/14.73x/2013_Spring,0.59,0.11,0.07,0.08,683.83,6.01,88.38,3.65,0.0
MITx/6.00x/2013_Spring,0.95,0.06,0.02,0.04,788.09,7.14,104.58,3.75,0.0
MITx/8.MReV/2013_Summer,0.8,0.05,0.05,0.06,829.08,6.15,2.0,7.45,0.0
MITx/3.091x/2013_Spring,1.0,0.11,0.11,0.13,1833.75,11.74,222.07,6.33,0.0
MITx/2.01x/2013_Spring,0.83,0.17,0.07,0.1,1152.45,11.72,158.0,4.38,0.0
HarvardX/PH278x/2013_Spring,0.45,0.08,0.04,0.06,299.89,5.87,72.48,3.33,0.0
MITx/6.002x/2013_Spring,0.53,0.05,0.02,0.03,656.5,6.34,199.63,4.13,0.0
HarvardX/CS50x/2012,0.78,0.14,0.03,0.03,67.94,7.61,0.0,3.46,0.0
HarvardX/CB22x/2013_Spring,0.67,0.06,0.06,0.06,281.58,6.16,0.0,4.65,0.02
HarvardX/ER22x/2013_Spring,0.69,0.14,0.11,0.12,330.26,7.14,0.0,9.64,0.0
MITx/7.00x/2013_Spring,0.71,0.11,0.05,0.09,1001.56,8.99,204.28,4.98,0.0
HarvardX/PH207x/2012_Fall,0.66,0.11,0.06,0.1,977.45,7.37,280.99,4.45,0.0
MITx/8.02x/2013_Spring,0.77,0.13,0.07,0.08,1412.15,11.73,245.25,5.17,0.03
