Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.47,0.07,0.05,0.05,328.51,4.21,61.6,3.76,0.01
MITx/6.00x/2012_Fall,0.66,0.06,0.03,0.04,424.92,5.69,79.06,3.58,0.05
MITx/6.002x/2012_Fall,0.66,0.1,0.06,0.09,493.88,6.31,113.67,4.54,0.04
MITx/14.73x/2013_Spring,0.6,0.09,0.06,0.06,419.12,4.64,80.4,2.94,0.01
MITx/6.00x/2013_Spring,0.94,0.05,0.02,0.03,394.43,5.02,62.54,3.43,0.06
MITx/8.MReV/2013_Summer,0.74,0.04,0.03,0.04,514.07,4.73,9.6,5.52,0.04
MITx/3.091x/2013_Spring,0.96,0.02,0.03,0.04,271.48,4.34,38.75,3.25,0.0
MITx/2.01x/2013_Spring,0.7,0.11,0.04,0.05,455.02,6.42,91.78,3.6,0.03
HarvardX/PH278x/2013_Spring,0.43,0.05,0.03,0.04,156.37,5.0,30.62,2.65,0.0
MITx/6.002x/2013_Spring,0.51,0.05,0.04,0.05,343.24,5.02,83.38,4.25,0.02
HarvardX/CB22x/2013_Spring,0.56,0.02,0.02,0.02,86.57,3.49,0.0,3.02,0.01
HarvardX/CS50x/2012,0.7,0.12,0.01,0.01,34.98,3.96,0.0,3.32,0.0
HarvardX/ER22x/2013_Spring,0.64,0.07,0.05,0.07,171.52,4.67,0.0,6.61,0.12
MITx/7.00x/2013_Spring,0.68,0.07,0.04,0.04,455.92,5.65,97.17,3.77,0.08
HarvardX/PH207x/2012_Fall,0.62,0.15,0.07,0.1,690.05,6.95,191.03,5.0,0.05
MITx/8.02x/2013_Spring,0.7,0.06,0.02,0.03,560.16,5.93,88.7,3.99,0.03
Overall average,0.66,0.07,0.04,0.05,362.51,5.13,64.27,3.95,0.03
