Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.39,0.0,0.0,0.02,57.05,1.66,26.63,1.96,0.0
MITx/6.002x/2013_Spring,0.49,0.04,0.03,0.03,394.51,5.18,78.81,3.76,0.0
MITx/6.00x/2012_Fall,0.62,0.1,0.08,0.06,469.86,5.7,49.68,4.49,0.0
MITx/6.002x/2012_Fall,0.59,0.01,0.01,0.01,135.48,3.37,36.72,2.73,0.0
MITx/14.73x/2013_Spring,0.52,0.09,0.05,0.05,405.3,4.42,79.05,3.08,0.0
MITx/6.00x/2013_Spring,0.96,0.03,0.0,0.01,205.32,3.66,28.71,2.91,0.0
MITx/8.MReV/2013_Summer,0.8,0.09,0.07,0.13,1045.4,6.72,26.6,8.18,0.0
MITx/3.091x/2013_Spring,0.93,0.07,0.0,0.06,860.36,7.21,144.2,5.83,0.0
MITx/2.01x/2013_Spring,0.29,0.0,0.0,0.0,15.86,2.71,6.0,1.0,0.0
HarvardX/PH278x/2013_Spring,0.38,0.03,0.02,0.03,150.29,4.73,33.53,2.64,0.0
HarvardX/CB22x/2013_Spring,0.5,0.01,0.01,0.02,83.5,3.02,0.0,2.9,0.0
HarvardX/CS50x/2012,0.63,0.08,0.01,0.01,22.74,3.36,0.0,2.72,0.0
HarvardX/ER22x/2013_Spring,0.53,0.07,0.02,0.03,151.87,3.57,0.0,7.16,0.0
MITx/7.00x/2013_Spring,0.69,0.08,0.03,0.03,522.95,6.92,106.33,4.12,0.0
HarvardX/PH207x/2012_Fall,0.58,0.09,0.03,0.05,459.76,5.1,154.44,4.33,0.0
MITx/8.02x/2013_Spring,0.71,0.03,0.01,0.02,408.33,4.89,59.2,3.47,0.0
