Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.61,0.1,0.08,0.09,1041.9,8.99,314.09,4.28,0.0
HarvardX/ER22x/2013_Spring,0.62,0.06,0.04,0.05,160.71,4.09,0.0,5.97,0.0
MITx/6.002x/2012_Fall,0.71,0.06,0.04,0.05,515.02,6.46,120.11,3.78,0.01
MITx/14.73x/2013_Spring,0.68,0.14,0.11,0.1,822.29,7.55,144.27,3.49,0.0
MITx/6.00x/2013_Spring,0.95,0.05,0.02,0.03,572.15,6.65,74.73,3.49,0.01
MITx/8.MReV/2013_Summer,0.75,0.03,0.02,0.03,480.0,5.78,16.5,4.2,0.0
MITx/3.091x/2013_Spring,0.96,0.04,0.04,0.06,1112.37,7.26,404.6,4.03,0.0
MITx/2.01x/2013_Spring,0.7,0.09,0.05,0.07,382.47,5.65,53.2,3.13,0.0
HarvardX/PH278x/2013_Spring,0.48,0.04,0.03,0.04,258.14,5.32,80.07,2.61,0.0
MITx/6.002x/2013_Spring,0.53,0.02,0.01,0.02,258.95,4.32,58.82,3.31,0.0
HarvardX/CB22x/2013_Spring,0.59,0.02,0.01,0.02,154.35,4.49,0.0,2.79,0.0
HarvardX/CS50x/2012,0.71,0.1,0.01,0.01,36.57,4.42,0.0,2.94,0.0
MITx/6.00x/2012_Fall,0.74,0.07,0.03,0.04,671.88,7.76,111.33,3.63,0.03
MITx/7.00x/2013_Spring,0.63,0.07,0.03,0.04,497.23,5.17,104.66,3.55,0.0
HarvardX/PH207x/2012_Fall,0.7,0.07,0.02,0.06,477.31,5.46,108.43,3.48,0.0
MITx/8.02x/2013_Spring,0.71,0.05,0.02,0.03,703.71,7.19,137.02,3.71,0.08
Overall average,0.69,0.06,0.04,0.05,509.07,6.04,107.99,3.65,0.01
