Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.48,0.07,0.04,0.05,427.81,5.35,141.48,3.5,0.0
HarvardX/ER22x/2013_Spring,0.49,0.06,0.03,0.04,125.91,3.94,0.0,6.3,0.02
MITx/8.MReV/2013_Summer,0.57,0.0,0.0,0.01,190.42,4.76,6.0,4.0,0.0
MITx/6.002x/2012_Fall,0.6,0.02,0.01,0.02,184.57,3.96,56.44,2.97,0.0
MITx/14.73x/2013_Spring,0.56,0.09,0.06,0.06,532.46,5.62,115.17,3.19,0.0
MITx/6.00x/2013_Spring,0.96,0.01,0.0,0.0,151.62,3.27,44.1,2.57,0.0
MITx/7.00x/2013_Spring,0.52,0.01,0.0,0.02,202.64,4.35,31.12,3.09,0.0
MITx/3.091x/2013_Spring,1.0,0.03,0.03,0.08,323.58,5.0,99.91,3.94,0.0
MITx/2.01x/2013_Spring,0.66,0.06,0.0,0.04,373.36,7.27,143.94,3.0,0.0
HarvardX/PH278x/2013_Spring,0.48,0.05,0.03,0.04,211.8,5.59,43.96,2.62,0.0
MITx/6.002x/2013_Spring,0.45,0.01,0.0,0.0,217.09,4.21,93.13,3.6,0.0
HarvardX/CB22x/2013_Spring,0.5,0.0,0.0,0.01,35.65,2.63,0.0,2.07,0.0
HarvardX/CS50x/2012,0.63,0.08,0.0,0.0,24.73,3.93,0.0,2.73,0.0
MITx/6.00x/2012_Fall,0.64,0.02,0.0,0.01,237.52,4.53,95.84,2.89,0.0
HarvardX/PH207x/2012_Fall,0.66,0.11,0.04,0.07,480.67,6.52,190.31,4.2,0.0
MITx/8.02x/2013_Spring,0.58,0.0,0.0,0.0,121.42,3.27,57.46,2.79,0.0
Overall average,0.61,0.04,0.02,0.03,240.08,4.64,69.93,3.34,0.0
