Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.46,0.05,0.02,0.03,325.96,4.23,84.16,3.28,0.0
MITx/6.002x/2013_Spring,0.45,0.04,0.02,0.02,301.66,4.71,102.19,3.92,0.0
MITx/8.MReV/2013_Summer,0.63,0.03,0.02,0.03,460.38,4.01,17.0,5.09,0.0
MITx/6.00x/2012_Fall,0.62,0.03,0.01,0.01,256.11,4.43,75.38,2.97,0.01
MITx/6.002x/2012_Fall,0.58,0.04,0.01,0.02,306.65,4.17,144.09,3.18,0.01
MITx/14.73x/2013_Spring,0.58,0.11,0.07,0.07,594.2,5.52,143.99,3.35,0.01
MITx/6.00x/2013_Spring,0.96,0.02,0.01,0.01,206.55,3.71,44.51,2.87,0.01
MITx/7.00x/2013_Spring,0.56,0.04,0.02,0.02,336.78,4.89,101.21,3.2,0.0
MITx/3.091x/2013_Spring,0.99,0.01,0.01,0.01,188.7,3.5,60.4,2.77,0.0
MITx/2.01x/2013_Spring,0.61,0.05,0.01,0.01,228.6,4.2,81.32,3.02,0.0
HarvardX/PH278x/2013_Spring,0.43,0.03,0.02,0.02,172.32,5.63,66.91,2.44,0.0
HarvardX/CS50x/2012,0.64,0.08,0.01,0.01,26.14,3.69,0.0,2.9,0.0
HarvardX/CB22x/2013_Spring,0.57,0.02,0.01,0.01,81.28,3.4,0.0,2.69,0.0
HarvardX/ER22x/2013_Spring,0.54,0.05,0.05,0.06,140.4,4.35,0.0,5.98,0.0
HarvardX/PH207x/2012_Fall,0.68,0.15,0.06,0.09,789.3,7.77,304.41,4.96,0.05
MITx/8.02x/2013_Spring,0.58,0.04,0.02,0.02,383.33,5.27,81.88,3.35,0.0
