Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.61,0.1,0.07,0.08,924.74,8.05,206.1,4.17,0.01
MITx/6.002x/2013_Spring,0.55,0.04,0.03,0.04,452.25,5.51,111.11,4.03,0.0
MITx/8.MReV/2013_Summer,0.76,0.05,0.04,0.05,706.78,5.9,15.13,6.06,0.0
MITx/6.00x/2012_Fall,0.72,0.11,0.07,0.08,1065.21,10.73,159.06,4.74,0.04
MITx/6.002x/2012_Fall,0.72,0.11,0.06,0.09,834.59,8.71,191.88,4.61,0.01
MITx/14.73x/2013_Spring,0.66,0.15,0.11,0.11,885.89,7.47,129.26,3.86,0.0
MITx/6.00x/2013_Spring,0.95,0.07,0.03,0.05,726.66,7.32,80.46,3.97,0.0
MITx/7.00x/2013_Spring,0.7,0.1,0.07,0.07,817.87,8.6,181.57,4.59,0.06
MITx/3.091x/2013_Spring,0.96,0.02,0.02,0.03,432.74,5.61,88.97,3.56,0.0
MITx/2.01x/2013_Spring,0.74,0.1,0.06,0.06,650.39,7.39,98.03,3.43,0.01
HarvardX/PH278x/2013_Spring,0.45,0.03,0.02,0.03,186.49,4.31,42.87,2.62,0.0
HarvardX/CB22x/2013_Spring,0.64,0.02,0.02,0.02,128.62,4.19,0.0,3.18,0.0
HarvardX/CS50x/2012,0.75,0.14,0.02,0.02,51.46,5.36,0.0,3.48,0.0
HarvardX/ER22x/2013_Spring,0.7,0.11,0.08,0.09,246.48,5.92,0.0,8.09,0.03
HarvardX/PH207x/2012_Fall,0.66,0.13,0.06,0.09,872.0,7.6,266.03,4.65,0.0
MITx/8.02x/2013_Spring,0.73,0.08,0.04,0.05,970.13,8.83,156.53,4.49,0.04
Overall average,0.71,0.09,0.05,0.06,622.02,6.97,107.94,4.35,0.01
