Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.46,0.02,0.02,0.02,231.7,3.64,65.65,2.71,0.0
MITx/6.002x/2013_Spring,0.46,0.03,0.01,0.01,168.23,3.54,58.36,3.51,0.0
MITx/8.MReV/2013_Summer,0.72,0.03,0.02,0.02,318.85,3.55,5.0,3.89,0.0
MITx/6.00x/2012_Fall,0.56,0.03,0.01,0.01,265.08,4.34,73.65,3.05,0.0
MITx/6.002x/2012_Fall,0.6,0.04,0.03,0.04,252.1,4.16,76.9,3.47,0.0
MITx/14.73x/2013_Spring,0.59,0.1,0.06,0.07,476.67,5.18,85.75,3.19,0.0
MITx/6.00x/2013_Spring,0.94,0.03,0.01,0.02,312.32,4.44,54.63,3.05,0.0
MITx/7.00x/2013_Spring,0.61,0.05,0.02,0.03,393.79,5.46,99.67,3.49,0.01
MITx/3.091x/2013_Spring,0.96,0.04,0.05,0.05,568.15,6.33,130.47,3.49,0.0
MITx/2.01x/2013_Spring,0.63,0.02,0.01,0.01,247.5,4.25,68.01,2.38,0.0
HarvardX/PH278x/2013_Spring,0.43,0.04,0.02,0.03,143.11,4.02,36.67,2.47,0.0
HarvardX/CS50x/2012,0.64,0.1,0.01,0.01,31.63,3.62,0.0,3.12,0.0
HarvardX/CB22x/2013_Spring,0.56,0.01,0.01,0.01,156.78,3.67,0.0,3.03,0.0
HarvardX/ER22x/2013_Spring,0.61,0.06,0.05,0.06,150.02,4.36,0.0,6.28,0.0
HarvardX/PH207x/2012_Fall,0.56,0.07,0.03,0.05,422.3,4.67,176.97,3.78,0.0
MITx/8.02x/2013_Spring,0.65,0.02,0.0,0.01,323.43,4.55,76.9,3.25,0.01
Overall average,0.62,0.04,0.02,0.03,278.85,4.36,63.04,3.39,0.0
