Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.77,0.24,0.2,0.22,845.3,8.85,100.38,5.61,0.0
MITx/6.00x/2012_Fall,0.7,0.05,0.02,0.03,540.8,6.26,101.31,3.29,0.01
MITx/8.MReV/2013_Summer,0.71,0.05,0.05,0.04,583.55,5.76,6.5,4.63,0.0
MITx/6.002x/2012_Fall,0.75,0.13,0.1,0.13,822.82,8.92,139.81,4.86,0.0
MITx/14.73x/2013_Spring,0.68,0.1,0.06,0.08,611.43,6.51,106.34,2.95,0.0
MITx/6.00x/2013_Spring,0.94,0.03,0.01,0.02,358.2,5.06,62.86,2.91,0.0
MITx/7.00x/2013_Spring,0.57,0.07,0.04,0.05,443.51,5.86,67.2,3.77,0.0
MITx/3.091x/2013_Spring,1.0,0.09,0.09,0.09,1149.29,11.26,141.19,5.55,0.0
MITx/2.01x/2013_Spring,0.6,0.03,0.03,0.04,414.83,5.93,77.67,2.79,0.0
HarvardX/PH278x/2013_Spring,0.51,0.03,0.03,0.05,165.95,4.33,26.09,2.4,0.0
MITx/6.002x/2013_Spring,0.44,0.05,0.05,0.06,339.08,5.55,83.08,4.38,0.0
HarvardX/CS50x/2012,0.69,0.07,0.01,0.01,35.02,4.15,0.0,2.68,0.0
HarvardX/CB22x/2013_Spring,0.56,0.02,0.01,0.02,102.62,4.61,0.0,3.09,0.0
HarvardX/ER22x/2013_Spring,0.57,0.05,0.06,0.07,134.3,4.13,0.0,5.61,0.0
HarvardX/PH207x/2012_Fall,0.62,0.11,0.02,0.05,608.23,6.24,208.61,4.1,0.0
MITx/8.02x/2013_Spring,0.72,0.06,0.03,0.03,691.4,6.67,111.49,3.94,0.0
