Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.5,0.07,0.04,0.06,526.71,5.63,150.61,3.63,0.0
MITx/6.00x/2012_Fall,0.63,0.04,0.02,0.02,393.64,5.51,103.0,3.29,0.0
MITx/6.002x/2012_Fall,0.62,0.05,0.03,0.04,287.68,4.71,65.44,3.55,0.0
MITx/14.73x/2013_Spring,0.6,0.1,0.07,0.07,518.17,5.52,108.3,3.13,0.0
MITx/6.00x/2013_Spring,0.95,0.04,0.02,0.02,363.46,4.95,55.91,3.22,0.0
MITx/8.MReV/2013_Summer,0.77,0.06,0.11,0.11,1095.24,7.91,15.25,8.76,0.0
MITx/3.091x/2013_Spring,0.93,0.01,0.01,0.01,286.12,4.26,41.78,2.59,0.0
MITx/2.01x/2013_Spring,0.67,0.08,0.04,0.05,388.04,6.59,71.5,3.31,0.0
HarvardX/PH278x/2013_Spring,0.46,0.04,0.02,0.04,165.25,4.38,37.4,2.59,0.0
MITx/6.002x/2013_Spring,0.5,0.05,0.04,0.04,348.12,5.28,107.97,4.28,0.0
HarvardX/CB22x/2013_Spring,0.56,0.02,0.02,0.02,140.23,3.62,0.0,3.06,0.0
HarvardX/CS50x/2012,0.68,0.1,0.01,0.01,35.62,3.89,0.0,2.93,0.0
HarvardX/ER22x/2013_Spring,0.67,0.08,0.06,0.07,186.58,4.84,0.0,6.91,0.01
MITx/7.00x/2013_Spring,0.62,0.06,0.03,0.03,382.33,5.38,92.75,3.23,0.0
HarvardX/PH207x/2012_Fall,0.61,0.1,0.04,0.06,574.44,5.86,200.65,4.16,0.0
MITx/8.02x/2013_Spring,0.67,0.05,0.02,0.03,570.19,6.22,118.75,3.8,0.0
