Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.49,0.06,0.04,0.05,548.47,5.55,138.73,3.6,0.01
MITx/6.002x/2013_Spring,0.48,0.04,0.03,0.03,357.76,5.01,99.03,4.02,0.01
MITx/8.MReV/2013_Summer,0.71,0.04,0.03,0.04,550.89,5.16,14.7,5.32,0.01
MITx/6.00x/2012_Fall,0.62,0.06,0.04,0.04,651.85,7.22,117.31,3.84,0.04
MITx/6.002x/2012_Fall,0.64,0.07,0.04,0.06,507.13,6.23,130.87,4.07,0.02
MITx/14.73x/2013_Spring,0.59,0.11,0.07,0.08,627.23,5.97,108.23,3.26,0.01
MITx/6.00x/2013_Spring,0.94,0.05,0.02,0.03,519.26,5.89,71.34,3.42,0.02
MITx/7.00x/2013_Spring,0.62,0.07,0.04,0.05,591.44,6.97,131.88,3.96,0.08
MITx/3.091x/2013_Spring,0.96,0.02,0.02,0.03,380.17,4.81,78.3,3.2,0.0
MITx/2.01x/2013_Spring,0.68,0.1,0.04,0.06,527.26,6.72,95.03,3.4,0.02
HarvardX/PH278x/2013_Spring,0.38,0.03,0.02,0.03,168.76,4.5,40.3,2.51,0.0
HarvardX/CS50x/2012,0.63,0.06,0.01,0.01,39.55,4.32,0.0,2.57,0.0
HarvardX/CB22x/2013_Spring,0.54,0.02,0.01,0.02,136.4,4.29,0.0,3.18,0.0
HarvardX/ER22x/2013_Spring,0.56,0.06,0.04,0.05,171.89,4.79,0.0,6.48,0.05
HarvardX/PH207x/2012_Fall,0.58,0.1,0.04,0.07,653.23,6.45,211.5,4.39,0.02
MITx/8.02x/2013_Spring,0.67,0.06,0.03,0.03,676.03,6.79,119.64,3.99,0.03
