Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.54,0.04,0.04,0.04,356.67,6.88,72.69,3.38,0.0
MITx/6.002x/2013_Spring,0.51,0.03,0.03,0.04,382.18,5.95,98.49,4.13,0.0
MITx/8.MReV/2013_Summer,0.82,0.06,0.0,0.04,369.69,4.53,1.0,5.71,0.0
MITx/6.00x/2012_Fall,0.68,0.06,0.03,0.04,608.01,6.8,87.53,3.74,0.0
MITx/6.002x/2012_Fall,0.76,0.13,0.08,0.11,807.25,8.88,203.73,4.78,0.0
MITx/14.73x/2013_Spring,0.57,0.14,0.14,0.12,709.93,8.5,147.25,4.0,0.0
MITx/6.00x/2013_Spring,0.97,0.1,0.06,0.07,1140.86,9.3,112.36,4.33,0.0
MITx/7.00x/2013_Spring,0.67,0.18,0.1,0.1,1200.27,10.14,177.47,5.93,0.0
MITx/3.091x/2013_Spring,1.0,0.4,0.4,0.46,2298.25,17.4,132.5,9.5,0.0
MITx/2.01x/2013_Spring,0.88,0.06,0.06,0.11,342.88,5.0,39.42,3.0,0.0
HarvardX/PH278x/2013_Spring,0.45,0.07,0.04,0.06,249.25,5.46,50.45,2.9,0.0
HarvardX/CB22x/2013_Spring,0.54,0.07,0.05,0.06,293.67,7.13,0.0,5.32,0.0
HarvardX/CS50x/2012,0.71,0.14,0.03,0.03,60.1,5.98,0.0,3.53,0.0
HarvardX/ER22x/2013_Spring,0.65,0.08,0.06,0.07,259.83,6.5,0.0,7.68,0.0
HarvardX/PH207x/2012_Fall,0.61,0.13,0.11,0.14,1125.75,8.81,429.46,5.1,0.0
MITx/8.02x/2013_Spring,0.73,0.08,0.03,0.03,880.59,6.63,168.36,4.48,0.0
Overall average,0.69,0.11,0.08,0.1,692.82,7.74,107.54,4.84,0.0
