Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.69,0.2,0.18,0.17,1730.46,11.75,330.94,5.76,0.01
MITx/6.002x/2013_Spring,0.54,0.07,0.05,0.07,812.28,7.54,260.27,4.94,0.0
MITx/8.MReV/2013_Summer,0.78,0.07,0.07,0.08,977.34,7.45,42.11,7.87,0.0
MITx/6.00x/2012_Fall,0.74,0.17,0.11,0.11,1526.5,14.02,195.99,5.66,0.03
MITx/6.002x/2012_Fall,0.77,0.14,0.1,0.12,1145.02,10.55,251.98,5.33,0.02
MITx/14.73x/2013_Spring,0.71,0.18,0.15,0.14,1106.76,9.22,145.67,4.0,0.0
MITx/6.00x/2013_Spring,0.95,0.1,0.07,0.08,1014.68,9.56,98.18,4.51,0.01
MITx/7.00x/2013_Spring,0.76,0.16,0.12,0.12,1093.95,11.04,159.31,5.27,0.02
MITx/3.091x/2013_Spring,1.0,0.05,0.07,0.08,683.56,7.15,117.03,4.41,0.0
MITx/2.01x/2013_Spring,0.79,0.21,0.13,0.14,1174.49,11.32,151.1,4.83,0.02
HarvardX/PH278x/2013_Spring,0.54,0.08,0.04,0.07,280.91,6.21,49.51,2.99,0.0
HarvardX/CB22x/2013_Spring,0.66,0.02,0.02,0.03,176.12,5.17,0.0,3.46,0.0
HarvardX/CS50x/2012,0.75,0.14,0.03,0.03,51.58,5.93,0.0,3.39,0.0
HarvardX/ER22x/2013_Spring,0.69,0.09,0.06,0.07,217.77,5.83,0.0,6.86,0.01
HarvardX/PH207x/2012_Fall,0.71,0.23,0.14,0.19,1567.91,11.38,373.56,6.29,0.01
MITx/8.02x/2013_Spring,0.8,0.17,0.08,0.1,1627.38,13.31,197.75,5.93,0.01
Overall average,0.74,0.13,0.09,0.1,949.17,9.21,148.34,5.09,0.01
