Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.62,0.11,0.09,0.1,1186.0,9.28,284.61,4.36,0.0
MITx/6.002x/2013_Spring,0.56,0.11,0.07,0.09,1095.4,10.23,288.97,6.09,0.0
MITx/6.00x/2012_Fall,0.69,0.12,0.07,0.08,1058.53,11.25,180.78,4.77,0.0
MITx/6.002x/2012_Fall,0.78,0.11,0.08,0.1,988.98,10.56,186.58,4.64,0.0
MITx/14.73x/2013_Spring,0.6,0.2,0.2,0.12,1302.7,11.2,158.83,5.0,0.0
MITx/6.00x/2013_Spring,0.97,0.13,0.06,0.08,1181.64,12.22,147.95,4.83,0.0
MITx/8.MReV/2013_Summer,0.5,0.0,0.0,0.0,73.3,4.79,0.0,2.22,0.0
MITx/3.091x/2013_Spring,1.0,0.0,0.0,0.01,154.46,4.64,38.83,2.82,0.0
MITx/2.01x/2013_Spring,0.71,0.0,0.0,0.0,64.0,3.14,8.75,2.6,0.0
HarvardX/PH278x/2013_Spring,0.4,0.06,0.02,0.04,260.67,6.05,54.33,2.95,0.0
HarvardX/CB22x/2013_Spring,0.6,0.02,0.02,0.03,141.92,4.69,0.0,3.6,0.0
HarvardX/CS50x/2012,0.71,0.14,0.03,0.03,60.77,6.63,0.0,3.66,0.0
HarvardX/ER22x/2013_Spring,0.66,0.06,0.05,0.06,216.87,6.82,0.0,6.7,0.0
MITx/7.00x/2013_Spring,0.59,0.13,0.06,0.08,1107.62,10.08,323.27,5.76,0.0
HarvardX/PH207x/2012_Fall,0.54,0.09,0.0,0.05,655.28,6.63,177.52,4.35,0.0
MITx/8.02x/2013_Spring,0.72,0.09,0.05,0.06,1129.44,9.82,216.87,4.77,0.0
Overall average,0.67,0.09,0.05,0.06,667.35,8.0,129.21,4.32,0.0
