course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130417650,1,1,0,0,Australia,NA,NA,NA,0,2012-10-29,2013-03-04,1,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130328890,1,1,0,0,Australia,NA,NA,NA,0,2012-12-10,2013-02-27,2,1,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130178840,1,1,0,0,Australia,NA,NA,NA,0,2012-10-19,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130453653,1,0,0,0,Australia,NA,NA,NA,0,2012-10-02,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130453653,1,0,0,0,Australia,NA,NA,NA,0,2013-01-23,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130198070,1,1,0,0,Australia,NA,NA,NA,0.03,2013-01-14,2013-05-07,759,32,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130049774,1,0,0,0,Australia,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130175379,1,0,0,0,Australia,NA,NA,NA,0,2012-08-16,2013-05-23,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130456688,1,0,0,0,Australia,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130158744,1,0,0,0,Australia,NA,NA,NA,0,2012-08-21,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130382464,1,0,0,0,Australia,NA,NA,NA,0,2012-08-16,2012-10-08,4,4,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130451599,1,1,1,1,Australia,NA,NA,NA,0.85,2013-01-22,2013-08-25,2157,12,279,9.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130154677,1,0,0,0,Australia,NA,NA,NA,0,2013-06-23,2013-09-07,9,2,,,0,,
HarvardX/CS50x/2012,MHxPC130316967,1,1,0,0,Australia,NA,NA,NA,0,2012-08-16,2013-07-12,61,13,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130480271,1,1,1,0,Australia,NA,NA,NA,0,2012-10-14,,,,,7.0,0,,1
HarvardX/CS50x/2012,MHxPC130573892,1,0,0,0,Australia,NA,NA,NA,0.0,2012-09-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130401896,1,0,0,0,Australia,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130295410,1,1,0,0,Australia,NA,NA,NA,0.09,2012-08-17,2012-11-19,1003,15,181,4.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130123174,1,1,0,0,Australia,NA,NA,NA,0,2013-04-02,2013-04-24,22,6,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130123174,1,1,0,0,Australia,NA,NA,NA,0,2013-04-02,2013-04-24,15,7,,1.0,0,,
