course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130350267,1,0,0,0,Bangladesh,NA,NA,NA,,2012-12-25,2013-11-17,,6,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130350267,1,0,0,0,Bangladesh,NA,NA,NA,,2012-12-28,,,6,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130350267,1,1,0,0,Bangladesh,NA,NA,NA,,2012-12-25,2013-06-01,42,6,3,2.0,0,,
HarvardX/CS50x/2012,MHxPC130302861,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-10-26,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130490437,1,1,0,0,Bangladesh,NA,NA,NA,0,2013-07-25,2013-08-03,200,6,,11.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130145608,1,1,0,0,Bangladesh,NA,NA,NA,0,2013-02-14,2013-06-01,65,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130311537,1,1,1,0,Bangladesh,NA,NA,NA,0,2012-07-24,2013-05-18,7,2,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130372271,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130420782,1,0,0,0,Bangladesh,NA,NA,NA,0,2013-02-12,2013-02-13,2,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130420782,1,1,0,0,Bangladesh,NA,NA,NA,0,2013-02-12,2013-05-18,6,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130079264,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-08-06,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130538627,1,1,1,0,Bangladesh,NA,NA,NA,0,2012-08-17,2013-05-08,1,1,,6.0,0,,
HarvardX/CS50x/2012,MHxPC130269751,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-07-24,,,,,5.0,0,,1
HarvardX/CS50x/2012,MHxPC130583499,1,0,0,0,Bangladesh,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130496704,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-07-24,,,,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130580310,1,0,0,0,Bangladesh,NA,NA,NA,0,2013-03-28,2013-03-28,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130140034,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130167529,1,0,0,0,Bangladesh,NA,NA,NA,,2013-01-02,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130000161,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-07-24,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130091489,1,1,1,1,Bangladesh,NA,NA,NA,1,2013-01-23,2013-07-06,180,57,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130039325,1,1,0,0,Bangladesh,NA,NA,NA,,2013-03-17,2013-03-30,17,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130039325,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-10-07,,,3,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130071367,1,1,1,0,Bangladesh,NA,NA,NA,0,2012-10-21,2013-03-29,65,8,,7.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130071367,1,1,0,0,Bangladesh,NA,NA,NA,0,2013-01-02,2013-04-30,325,21,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130124285,1,0,0,0,Bangladesh,NA,NA,NA,0,2013-02-23,2013-02-25,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130223380,1,1,0,0,Bangladesh,NA,NA,NA,0,2012-08-18,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130387349,1,0,0,0,Bangladesh,NA,NA,NA,0.0,2012-08-11,,,,,,0,,
