course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130056762,1,0,0,0,Brazil,NA,NA,NA,0,2012-10-15,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130408745,1,0,0,0,Brazil,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130157439,1,0,0,0,Brazil,NA,NA,NA,0.0,2012-12-26,,,8,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130157439,1,0,0,0,Brazil,NA,NA,NA,0,2012-12-26,,,8,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130083033,1,0,0,0,Brazil,NA,NA,NA,0,2013-01-23,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130510081,1,0,0,0,Brazil,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130018982,1,0,0,0,Brazil,NA,NA,NA,0,2013-02-28,2013-02-28,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130018982,1,1,0,0,Brazil,NA,NA,NA,0,2012-09-12,,,1,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130332603,1,0,0,0,Brazil,NA,NA,NA,0,2012-09-12,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130535283,1,1,0,0,Brazil,NA,NA,NA,0.01,2013-01-23,2013-03-27,239,11,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130535283,1,1,0,0,Brazil,NA,NA,NA,0,2012-08-17,2013-03-19,121,21,,4.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130173110,1,1,0,0,Brazil,NA,NA,NA,0,2012-12-20,2013-03-29,50,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130515326,1,0,0,0,Brazil,NA,NA,NA,0,2012-12-20,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130516199,1,1,0,0,Brazil,NA,NA,NA,0,2013-05-02,2013-05-13,47,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130516199,1,1,0,0,Brazil,NA,NA,NA,0,2012-11-21,2013-02-20,1,1,,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130516199,1,1,0,0,Brazil,NA,NA,NA,0,2013-05-18,2013-09-04,209,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130482758,1,0,0,0,Brazil,NA,NA,NA,0.0,2012-12-03,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130288791,1,1,0,0,Brazil,NA,NA,NA,0,2013-04-04,2013-07-24,103,7,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130076039,1,1,0,0,Brazil,NA,NA,NA,0,2012-08-30,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130386883,1,1,1,0,Brazil,NA,NA,NA,0,2012-08-08,2013-03-20,4,1,,10.0,0,,
HarvardX/CS50x/2012,MHxPC130583157,1,0,0,0,Brazil,NA,NA,NA,0,2012-08-19,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130472607,1,0,0,0,Brazil,NA,NA,NA,0,2012-12-21,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130018416,1,0,0,0,Brazil,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130130098,1,0,0,0,Brazil,NA,NA,NA,0,2012-07-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130432875,1,1,0,0,Brazil,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130156145,1,1,0,0,Brazil,NA,NA,NA,0,2013-05-21,2013-05-09,1,1,,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130156145,1,1,1,0,Brazil,NA,NA,NA,,2013-05-09,2013-08-14,885,31,94,9.0,0,,
HarvardX/CS50x/2012,MHxPC130242158,1,1,0,0,Brazil,NA,NA,NA,0,2012-10-15,,,,,4.0,0,,1
HarvardX/CS50x/2012,MHxPC130210040,1,0,0,0,Brazil,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130540427,1,1,0,0,Brazil,NA,NA,NA,0,2013-01-13,2013-02-24,35,7,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130101865,1,0,0,0,Brazil,NA,NA,NA,0,2012-12-19,2013-04-18,11,5,,,0,,
HarvardX/CS50x/2012,MHxPC130101865,1,1,0,0,Brazil,NA,NA,NA,0,2012-07-25,2013-04-16,10,5,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130101865,1,0,0,0,Brazil,NA,NA,NA,0,2012-12-19,2013-04-18,9,5,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130101865,1,1,0,0,Brazil,NA,NA,NA,0,2012-07-25,2013-04-16,48,13,7,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130101865,1,1,0,0,Brazil,NA,NA,NA,0,2012-12-19,2013-05-17,67,7,1,2.0,0,,
HarvardX/CS50x/2012,MHxPC130512066,1,1,0,0,Brazil,NA,NA,NA,0,2012-08-08,2013-02-12,6,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130239909,1,1,0,0,Brazil,NA,NA,NA,0,2012-09-04,2013-03-21,8,1,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130026703,1,0,0,0,Brazil,NA,NA,NA,,2012-12-20,2013-02-19,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130413678,1,1,0,0,Brazil,NA,NA,NA,0,2012-10-02,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130132239,1,1,0,0,Brazil,NA,NA,NA,0,2012-10-23,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130541809,1,0,0,0,Brazil,NA,NA,NA,0,2013-06-12,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130180947,1,1,1,0,Brazil,NA,NA,NA,0,2012-08-25,2013-03-29,1,1,,7.0,0,,
