course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130435030,1,1,0,0,Canada,NA,NA,NA,0,2013-02-20,2013-06-29,80,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130435030,1,1,0,0,Canada,NA,NA,NA,0,2012-10-13,,,1,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130435030,1,0,0,0,Canada,NA,NA,NA,0,2013-02-20,2013-03-18,4,3,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130435030,1,0,0,0,Canada,NA,NA,NA,0,2013-02-20,2013-05-20,2,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130262720,1,0,0,0,Canada,NA,NA,NA,0,2013-01-28,2013-11-17,,3,,,0,,1
HarvardX/CS50x/2012,MHxPC130262720,1,1,0,0,Canada,NA,NA,NA,0,2012-09-08,2013-02-19,8,1,,3.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130262720,1,1,0,0,Canada,NA,NA,NA,0,2013-01-03,2013-03-13,117,1,,3.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130262720,1,0,0,0,Canada,NA,NA,NA,0,2013-01-03,,,3,,,0,,1
HarvardX/CS50x/2012,MHxPC130241631,1,0,0,0,Canada,NA,NA,NA,0,2012-07-24,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130241631,1,0,0,0,Canada,NA,NA,NA,0,2013-02-12,2013-02-12,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130241631,1,0,0,0,Canada,NA,NA,NA,0,2013-02-12,2013-02-12,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130156180,1,0,0,0,Canada,NA,NA,NA,0.0,2013-06-20,2013-06-20,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130216109,1,1,0,0,Canada,NA,NA,NA,0.0,2013-08-17,2013-03-15,1,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130479242,1,1,0,0,Canada,NA,NA,NA,0,2013-01-07,,,,,4.0,0,,1
HarvardX/CS50x/2012,MHxPC130022618,1,1,0,0,Canada,NA,NA,NA,0.0,2013-06-14,2013-08-07,48,6,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130316672,1,1,0,0,Canada,NA,NA,NA,0,2012-08-20,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130511263,1,0,0,0,Canada,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130520428,1,0,0,0,Canada,NA,NA,NA,0.0,2013-09-04,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130566353,1,0,0,0,Canada,NA,NA,NA,0,2012-12-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130569044,1,0,0,0,Canada,NA,NA,NA,0,2012-09-05,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130252766,1,1,1,0,Canada,NA,NA,NA,,2013-03-12,2013-07-11,1064,30,,34.0,0,,
HarvardX/CS50x/2012,MHxPC130468311,1,1,0,0,Canada,NA,NA,NA,0,2012-08-23,,,2,,1.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130468311,1,0,0,0,Canada,NA,NA,NA,0,2012-08-23,2012-10-26,1196,2,,,0,,
