course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130117924,1,0,0,0,China,NA,NA,NA,0,2012-07-24,2013-06-23,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130544567,1,1,0,0,China,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130544567,1,0,0,0,China,NA,NA,NA,0,2012-12-20,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130525549,1,0,0,0,China,NA,NA,NA,0,2013-02-14,2013-02-14,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130593890,1,1,0,0,China,NA,NA,NA,0,2013-01-23,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130278620,1,1,0,0,China,NA,NA,NA,0,2012-08-19,2013-05-17,25,1,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130278620,1,1,0,0,China,NA,NA,NA,0,2013-02-24,2013-05-17,7,2,,1.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130573221,1,0,0,0,China,NA,NA,NA,0,2012-08-16,2012-08-16,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130136599,1,0,0,0,China,NA,NA,NA,0.0,2012-07-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130385194,1,0,0,0,China,NA,NA,NA,0,2012-08-16,,,1,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130385194,1,0,0,0,China,NA,NA,NA,0,2012-08-16,2012-08-17,2,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130060961,1,0,0,0,China,NA,NA,NA,0,2012-12-20,2013-04-06,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130060961,1,1,0,0,China,NA,NA,NA,0,2012-08-04,2013-04-06,1,1,,2.0,0,,
