course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/PH278x/2013_Spring,MHxPC130060272,1,1,0,0,Colombia,NA,NA,NA,,2013-04-30,2013-05-28,210,5,30,3.0,0,,
HarvardX/CS50x/2012,MHxPC130477102,1,1,0,0,Colombia,NA,NA,NA,0,2012-12-08,2013-02-28,7,2,,2.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130402018,1,1,0,0,Colombia,NA,NA,NA,0,2012-07-30,2013-08-03,130,19,6,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130402018,1,1,0,0,Colombia,NA,NA,NA,0,2012-12-20,2013-07-25,372,9,35,2.0,0,,
HarvardX/CS50x/2012,MHxPC130519025,1,1,0,0,Colombia,NA,NA,NA,0,2012-09-29,2013-02-21,9,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130042838,1,1,0,0,Colombia,NA,NA,NA,0,2013-07-24,2013-08-09,43,2,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130042838,1,0,0,0,Colombia,NA,NA,NA,0,2013-07-24,,,2,,,0,,1
HarvardX/CS50x/2012,MHxPC130205921,1,1,0,0,Colombia,NA,NA,NA,0,2012-08-05,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130050585,1,0,0,0,Colombia,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130433638,1,0,0,0,Colombia,NA,NA,NA,0.0,2012-07-30,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130378509,1,1,0,0,Colombia,NA,NA,NA,0,2012-12-14,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130224478,1,0,0,0,Colombia,NA,NA,NA,0.0,2012-08-10,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130066331,1,0,0,0,Colombia,NA,NA,NA,0,2012-08-11,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130380445,1,0,0,0,Colombia,NA,NA,NA,0,2013-01-23,2013-03-13,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130428749,1,1,0,0,Colombia,NA,NA,NA,0.0,2013-06-18,2013-06-18,7,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130105421,1,0,0,0,Colombia,NA,NA,NA,0,2013-05-05,2013-05-06,1,1,,,0,,
