course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130398182,1,1,0,0,Egypt,NA,NA,NA,0,2013-05-31,2013-06-09,116,17,,5.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130398182,1,1,0,0,Egypt,NA,NA,NA,0,2013-08-02,2013-08-02,39,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130561230,1,1,1,0,Egypt,NA,NA,NA,0,2012-12-28,2013-06-03,260,46,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130194460,1,0,0,0,Egypt,NA,NA,NA,,2012-12-21,2013-11-17,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130194460,1,1,1,0,Egypt,NA,NA,NA,0,2012-07-24,2013-06-12,88,1,,12.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130194460,1,0,0,0,Egypt,NA,NA,NA,0,2013-02-08,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130065488,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-17,2013-02-13,11,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130065488,1,0,0,0,Egypt,NA,NA,NA,0,2013-02-13,2013-02-13,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130405002,1,1,0,0,Egypt,NA,NA,NA,0,2012-09-04,,,,,2.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130556691,1,0,0,0,Egypt,NA,NA,NA,0,2012-12-22,2013-02-22,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130556691,1,0,0,0,Egypt,NA,NA,NA,0,2012-12-22,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130556691,1,0,0,0,Egypt,NA,NA,NA,0,2012-12-22,,,1,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130556691,1,0,0,0,Egypt,NA,NA,NA,0,2012-12-22,2013-09-02,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130317025,1,1,0,0,Egypt,NA,NA,NA,0,2012-09-06,2013-07-16,30,2,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130504608,1,1,1,0,Egypt,NA,NA,NA,0,2012-07-29,2013-07-01,64,4,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130275081,1,1,0,0,Egypt,NA,NA,NA,,2012-12-21,2013-03-13,33,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130275081,1,1,1,0,Egypt,NA,NA,NA,0,2012-08-01,2013-03-12,37,4,,12.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130275081,1,1,0,0,Egypt,NA,NA,NA,0,2012-12-21,2013-04-09,8,3,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130165982,1,0,0,0,Egypt,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130234864,1,0,0,0,Egypt,NA,NA,NA,0,2012-09-30,2012-10-01,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130382869,1,1,1,0,Egypt,NA,NA,NA,0,2012-07-25,2013-05-29,41,12,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130508293,1,1,0,0,Egypt,NA,NA,NA,0,2013-02-01,2013-03-23,31,3,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130508293,1,1,0,0,Egypt,NA,NA,NA,0.06,2013-01-17,2013-06-07,742,18,,16.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130508293,1,1,1,0,Egypt,NA,NA,NA,0.55,2012-08-05,2013-01-18,8976,73,1297,16.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130508293,1,1,0,0,Egypt,NA,NA,NA,0,2013-01-17,2013-06-07,31,2,1,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130210743,1,0,0,0,Egypt,NA,NA,NA,0,2013-01-11,2013-11-17,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130210743,1,0,0,0,Egypt,NA,NA,NA,0,2013-01-11,2013-05-19,2,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130210743,1,0,0,0,Egypt,NA,NA,NA,0,2013-01-11,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130423464,1,1,1,0,Egypt,NA,NA,NA,0,2012-08-17,2013-06-27,6,3,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130152919,1,1,0,0,Egypt,NA,NA,NA,0.0,2012-08-30,,,2,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130152919,1,0,0,0,Egypt,NA,NA,NA,,2013-03-08,2013-03-12,3,2,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130405296,1,0,0,0,Egypt,NA,NA,NA,0,2013-01-07,2013-11-17,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130402552,1,0,0,0,Egypt,NA,NA,NA,0,2013-02-17,2013-02-17,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130490278,1,0,0,0,Egypt,NA,NA,NA,0,2012-09-05,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130139677,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-17,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130249047,1,0,0,0,Egypt,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130356971,1,0,0,0,Egypt,NA,NA,NA,0,2012-07-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130571039,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130516903,1,1,0,0,Egypt,NA,NA,NA,,2012-12-20,2013-03-29,33,4,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130438428,1,1,0,0,Egypt,NA,NA,NA,0,2012-07-24,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130420679,1,1,0,0,Egypt,NA,NA,NA,0,2012-09-22,2013-04-05,12,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130259716,1,0,0,0,Egypt,NA,NA,NA,0.0,2012-07-25,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130240061,1,0,0,0,Egypt,NA,NA,NA,0,2012-10-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130140040,1,1,0,0,Egypt,NA,NA,NA,0,2012-07-24,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130277950,1,0,0,0,Egypt,NA,NA,NA,0,2012-09-04,2013-03-21,2,2,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130013281,1,1,0,0,Egypt,NA,NA,NA,0.03,2013-05-14,2013-05-18,365,2,53,2.0,0,,
HarvardX/CS50x/2012,MHxPC130155828,1,0,0,0,Egypt,NA,NA,NA,0,2012-09-10,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130338556,1,0,0,0,Egypt,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130157567,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-21,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130164811,1,1,0,0,Egypt,NA,NA,NA,0,2012-09-07,2013-04-17,5,1,,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130237788,1,1,0,0,Egypt,NA,NA,NA,0,2013-02-19,2013-06-05,7,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130461149,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-17,2013-06-05,4,3,,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130455299,1,0,0,0,Egypt,NA,NA,NA,0,2013-02-08,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130206963,1,1,0,0,Egypt,NA,NA,NA,0,2012-08-11,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130111837,1,0,0,0,Egypt,NA,NA,NA,0,2012-08-17,,,,,,0,,
