course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130539455,1,1,0,0,France,NA,NA,NA,0,2013-01-01,2013-05-14,42,6,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130595891,1,1,0,0,France,NA,NA,NA,0,2012-11-03,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130247412,1,0,0,0,France,NA,NA,NA,0,2012-08-03,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130170185,1,1,0,0,France,NA,NA,NA,0.06,2013-01-23,2013-08-11,231,8,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130254688,1,1,0,0,France,NA,NA,NA,0,2012-08-11,,,,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130156847,1,1,0,0,France,NA,NA,NA,0,2013-01-14,2013-06-25,41,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130058577,1,1,0,0,France,NA,NA,NA,0,2013-01-07,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130323627,1,0,0,0,France,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130323627,1,0,0,0,France,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130270571,1,1,0,0,France,NA,NA,NA,0,2012-08-17,2013-06-07,10,2,,4.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130078849,1,0,0,0,France,NA,NA,NA,0,2013-02-15,2013-02-15,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130078849,1,0,0,0,France,NA,NA,NA,0,2013-02-15,2013-02-15,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130078849,1,0,0,0,France,NA,NA,NA,0,2013-02-15,2013-02-15,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130078849,1,0,0,0,France,NA,NA,NA,0,2013-02-15,2013-02-15,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130217709,1,1,1,0,France,NA,NA,NA,0,2013-01-21,2013-05-27,455,48,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130075520,1,1,0,0,France,NA,NA,NA,0,2012-09-12,,,1,,3.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130075520,1,0,0,0,France,NA,NA,NA,0,2013-03-03,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130221204,1,0,0,0,France,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130191457,1,0,0,0,France,NA,NA,NA,0,2013-01-14,,,2,,,0,,1
HarvardX/CS50x/2012,MHxPC130438857,1,1,0,0,France,NA,NA,NA,0,2012-10-08,,,,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130020425,1,1,0,0,France,NA,NA,NA,0,2012-12-21,2013-03-13,17,1,,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130020425,1,0,0,0,France,NA,NA,NA,0,2012-12-21,,,1,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130365176,1,0,0,0,France,NA,NA,NA,0,2012-12-21,2013-11-17,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130365176,1,1,0,0,France,NA,NA,NA,0,2012-12-21,2013-05-17,6,2,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130365176,1,0,0,0,France,NA,NA,NA,0,2012-12-21,,,1,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130365176,1,0,0,0,France,NA,NA,NA,0,2012-12-21,2013-03-06,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130304462,1,1,0,0,France,NA,NA,NA,0,2012-11-10,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130509069,1,1,1,0,France,NA,NA,NA,0,2012-08-19,2013-03-24,32,2,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130475365,1,0,0,0,France,NA,NA,NA,0.0,2012-09-05,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130597633,1,1,0,0,France,NA,NA,NA,0.11,2012-10-17,2012-11-05,1465,7,202,4.0,0,,
HarvardX/CS50x/2012,MHxPC130451270,1,0,0,0,France,NA,NA,NA,0,2012-09-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130420993,1,0,0,0,France,NA,NA,NA,0,2012-10-20,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130133433,1,0,0,0,France,NA,NA,NA,0,2012-07-27,,,,,,0,,
