course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/ER22x/2013_Spring,MHxPC130440641,1,1,0,0,Germany,NA,NA,NA,0,2013-05-01,2013-05-24,162,8,,5.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130074234,1,1,0,0,Germany,NA,NA,NA,,2012-12-21,2013-04-01,177,7,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130074234,1,1,1,0,Germany,NA,NA,NA,0,2012-10-13,2013-04-02,9,1,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130375656,1,1,1,0,Germany,NA,NA,NA,0,2013-01-18,,,1,,7.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130375656,1,1,0,0,Germany,NA,NA,NA,0,2013-04-01,2013-04-01,71,1,,4.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130010806,1,0,0,0,Germany,NA,NA,NA,0,2013-01-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130407597,1,0,0,0,Germany,NA,NA,NA,0.0,2012-12-21,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130407597,1,0,0,0,Germany,NA,NA,NA,,2013-03-05,2013-03-05,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130051714,1,0,0,0,Germany,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130472126,1,1,0,0,Germany,NA,NA,NA,0.0,2013-08-16,,,,,7.0,0,,1
HarvardX/CS50x/2012,MHxPC130060496,1,1,0,0,Germany,NA,NA,NA,0,2013-01-07,,,,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130478899,1,0,0,0,Germany,NA,NA,NA,0,2013-02-14,2013-03-14,2,2,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130478899,1,0,0,0,Germany,NA,NA,NA,0,2013-01-23,2013-03-14,2,2,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130478899,1,0,0,0,Germany,NA,NA,NA,0,2013-01-23,2013-02-15,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130060409,1,0,0,0,Germany,NA,NA,NA,0.0,2012-07-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130508393,1,0,0,0,Germany,NA,NA,NA,0,2013-03-20,2013-03-20,1,1,,,0,,
