course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130095853,1,0,0,0,Greece,NA,NA,NA,0,2012-12-21,2013-11-17,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130204683,1,0,0,0,Greece,NA,NA,NA,0,2012-12-20,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130204683,1,1,0,0,Greece,NA,NA,NA,0,2012-08-14,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130262737,1,1,0,0,Greece,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130505424,1,1,0,0,Greece,NA,NA,NA,0,2012-07-24,2013-02-23,16,2,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130199738,1,1,0,0,Greece,NA,NA,NA,0,2012-10-20,2013-03-06,2,1,,4.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130199738,1,1,0,0,Greece,NA,NA,NA,0,2012-08-16,2012-10-20,99,2,20,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130222226,1,1,0,0,Greece,NA,NA,NA,0,2013-07-14,2013-07-14,28,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130528348,1,1,1,0,Greece,NA,NA,NA,0,2012-08-17,2013-05-28,174,22,,7.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130570389,1,0,0,0,Greece,NA,NA,NA,0,2012-12-20,2013-02-15,10,1,,,0,,
HarvardX/CS50x/2012,MHxPC130164221,1,1,0,0,Greece,NA,NA,NA,0,2013-03-12,2013-03-13,16,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130254075,1,1,0,0,Greece,NA,NA,NA,0,2012-08-15,,,,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130594562,1,0,0,0,Greece,NA,NA,NA,0,2013-01-23,2013-11-17,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130594562,1,0,0,0,Greece,NA,NA,NA,0,2012-08-01,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130594562,1,0,0,0,Greece,NA,NA,NA,0,2013-01-23,,,1,,,0,,1
