course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130535002,1,0,0,0,Indonesia,NA,NA,NA,0.0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130314695,1,1,0,0,Indonesia,NA,NA,NA,0,2013-09-06,2013-02-23,7,3,,3.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130314695,1,1,0,0,Indonesia,NA,NA,NA,,2013-05-14,2013-06-06,189,9,5,3.0,0,,
HarvardX/CS50x/2012,MHxPC130120016,1,0,0,0,Indonesia,NA,NA,NA,0,2012-08-06,2013-03-09,2,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130120016,1,0,0,0,Indonesia,NA,NA,NA, ,2012-08-21,2013-03-09,2,2,,,0,,
HarvardX/CS50x/2012,MHxPC130595753,1,1,1,0,Indonesia,NA,NA,NA,0,2013-02-02,,,,,8.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130497069,1,1,0,0,Indonesia,NA,NA,NA,0,2013-07-15,2013-07-20,208,6,,11.0,0,,
HarvardX/CS50x/2012,MHxPC130094633,1,0,0,0,Indonesia,NA,NA,NA,0.0,2012-07-24,2013-03-13,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130094633,1,0,0,0,Indonesia,NA,NA,NA,,2013-03-13,2013-03-14,4,1,,,0,,
HarvardX/CS50x/2012,MHxPC130214045,1,1,0,0,Indonesia,NA,NA,NA,0,2012-12-21,2013-03-13,2,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130578747,1,0,0,0,Indonesia,NA,NA,NA,0,2012-09-20,2013-03-31,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130332112,1,0,0,0,Indonesia,NA,NA,NA,0.0,2012-08-29,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130572754,1,0,0,0,Indonesia,NA,NA,NA,0,2012-09-10,,,2,,,0,,1
