course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130498347,1,1,0,0,Japan,NA,NA,NA,0,2013-05-26,2013-05-26,29,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130498347,1,1,0,0,Japan,NA,NA,NA,0,2012-07-24,2013-02-12,1,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130498347,1,1,0,0,Japan,NA,NA,NA,0,2012-12-29,2013-04-30,22,3,,4.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130192742,1,0,0,0,Japan,NA,NA,NA,0,2012-07-25,2012-07-25,2,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130452666,1,1,0,0,Japan,NA,NA,NA,,2013-03-10,2013-03-28,60,2,,4.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130452666,1,0,0,0,Japan,NA,NA,NA,0,2013-03-10,2013-03-11,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130165278,1,1,0,0,Japan,NA,NA,NA,0,2012-12-26,2013-03-13,5,2,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130216302,1,1,0,0,Japan,NA,NA,NA,0,2012-12-22,2013-04-07,191,11,,5.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130405349,1,1,0,0,Japan,NA,NA,NA,,2012-12-20,2013-03-08,42,2,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130530943,1,1,0,0,Japan,NA,NA,NA,0,2013-04-02,2013-04-08,30,2,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130450942,1,1,0,0,Japan,NA,NA,NA,0,2012-12-20,2013-05-14,72,8,,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130060531,1,0,0,0,Japan,NA,NA,NA,,2012-12-25,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130409601,1,0,0,0,Japan,NA,NA,NA,0,2012-09-01,2012-09-01,2,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130078034,1,0,0,0,Japan,NA,NA,NA,0,2012-12-20,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130379179,1,1,0,0,Japan,NA,NA,NA,0,2012-12-20,2013-03-08,3,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130234650,1,1,0,0,Japan,NA,NA,NA,0,2013-05-04,2013-05-04,11,1,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130177346,1,1,0,0,Japan,NA,NA,NA,0,2013-07-18,2013-07-20,79,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130418459,1,0,0,0,Japan,NA,NA,NA,0,2012-09-01,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130122016,1,1,1,0,Japan,NA,NA,NA,0,2012-12-01,,,,,7.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130162131,1,0,0,0,Japan,NA,NA,NA,0,2012-12-20,2013-11-17,,,,2.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130344987,1,0,0,0,Japan,NA,NA,NA,0,2013-01-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130128664,1,1,0,0,Japan,NA,NA,NA,0,2012-08-08,2013-08-11,13,3,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130463039,1,1,0,0,Japan,NA,NA,NA,0,2012-07-26,,,1,,5.0,0,,1
