course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130229084,1,1,0,0,Mexico,NA,NA,NA,0,2012-10-15,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130420009,1,0,0,0,Mexico,NA,NA,NA,0.0,2012-07-30,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130295613,1,0,0,0,Mexico,NA,NA,NA,0,2013-01-07,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130039382,1,1,1,0,Mexico,NA,NA,NA,0,2012-08-17,2013-05-27,31,9,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130171578,1,0,0,0,Mexico,NA,NA,NA,0,2012-08-17,2013-07-30,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130131030,1,0,0,0,Mexico,NA,NA,NA,0,2012-08-19,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130281936,1,0,0,0,Mexico,NA,NA,NA,0.0,2012-07-25,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130281936,1,0,0,0,Mexico,NA,NA,NA,0,2013-02-21,2013-02-21,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130425147,1,1,1,0,Mexico,NA,NA,NA,0,2012-07-24,2013-05-01,1,1,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130577105,1,1,0,0,Mexico,NA,NA,NA,0,2013-04-25,2013-05-10,3,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130177107,1,1,0,0,Mexico,NA,NA,NA,0,2013-02-27,2013-03-05,7,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130374304,1,1,0,0,Mexico,NA,NA,NA,0,2012-09-23,2013-02-13,8,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130332594,1,1,0,0,Mexico,NA,NA,NA,0,2012-09-24,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130258433,1,1,0,0,Mexico,NA,NA,NA,0,2012-10-19,2013-04-12,23,3,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130377936,1,1,0,0,Mexico,NA,NA,NA,0,2013-01-07,,,1,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130377936,1,1,0,0,Mexico,NA,NA,NA,0,2012-12-20,2013-03-18,19,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130491938,1,1,0,0,Mexico,NA,NA,NA,0,2012-08-16,2013-08-11,44,9,,3.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130491938,1,1,0,0,Mexico,NA,NA,NA,0,2013-01-19,2013-05-07,11,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130228630,1,1,0,0,Mexico,NA,NA,NA,0,2012-08-09,,,5,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130571358,1,1,0,0,Mexico,NA,NA,NA,,2012-12-19,2013-03-30,103,9,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130001626,1,1,0,0,Mexico,NA,NA,NA,0,2012-10-01,2013-05-03,20,3,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130412299,1,0,0,0,Mexico,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130054490,1,1,0,0,Mexico,NA,NA,NA,0,2012-08-20,2013-03-31,62,7,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130549542,1,1,0,0,Mexico,NA,NA,NA,0,2012-07-27,2013-04-15,77,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130045882,1,1,0,0,Mexico,NA,NA,NA,0,2012-12-22,,,,,1.0,0,,1
