course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130010057,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-04,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130260701,1,1,0,0,Morocco,NA,NA,NA,,2013-01-23,2013-03-20,65,2,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130260701,1,1,0,0,Morocco,NA,NA,NA,0,2012-08-17,,,2,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130260701,1,1,0,0,Morocco,NA,NA,NA,0.03,2013-01-23,2013-05-13,546,15,,14.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130157261,1,0,0,0,Morocco,NA,NA,NA,0,2013-01-16,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130279021,1,1,0,0,Morocco,NA,NA,NA,0,2012-09-18,2013-03-11,10,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130486999,1,1,0,0,Morocco,NA,NA,NA,0,2012-10-22,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130025237,1,1,0,0,Morocco,NA,NA,NA,0,2012-08-16,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130183729,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130025844,1,0,0,0,Morocco,NA,NA,NA,0,2012-12-21,2013-02-22,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130544721,1,0,0,0,Morocco,NA,NA,NA,0.0,2012-08-16,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130527612,1,1,0,0,Morocco,NA,NA,NA,0,2012-09-06,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130140297,1,1,0,0,Morocco,NA,NA,NA,0,2012-10-09,,,4,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130140297,1,1,0,0,Morocco,NA,NA,NA,,2013-04-21,2013-04-30,14,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130053640,1,0,0,0,Morocco,NA,NA,NA,0.0,2012-08-16,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130418234,1,0,0,0,Morocco,NA,NA,NA,0,2013-01-07,2013-02-14,4,1,,,0,,
HarvardX/CS50x/2012,MHxPC130288775,1,1,0,0,Morocco,NA,NA,NA,0,2012-10-14,,,,,4.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130208450,1,0,0,0,Morocco,NA,NA,NA,,2013-02-12,2013-11-17,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130208450,1,0,0,0,Morocco,NA,NA,NA,,2013-02-12,2013-02-13,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130477402,1,1,0,0,Morocco,NA,NA,NA,0,2012-07-30,,,1,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130477402,1,0,0,0,Morocco,NA,NA,NA,0,2013-03-22,2013-03-22,3,1,,,0,,
HarvardX/CS50x/2012,MHxPC130591787,1,1,0,0,Morocco,NA,NA,NA,0,2012-12-21,2013-03-06,1,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130518318,1,1,1,0,Morocco,NA,NA,NA,0,2012-08-07,2013-03-30,28,3,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130335500,1,0,0,0,Morocco,NA,NA,NA,0.0,2013-06-22,2013-06-22,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130062419,1,0,0,0,Morocco,NA,NA,NA,0,2012-12-26,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130063619,1,0,0,0,Morocco,NA,NA,NA,0,2012-09-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130330097,1,1,0,0,Morocco,NA,NA,NA,0,2012-08-20,2013-06-13,7,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130065183,1,1,0,0,Morocco,NA,NA,NA,0,2012-09-02,,,2,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130065183,1,1,0,0,Morocco,NA,NA,NA,0,2013-01-13,2013-03-14,19,2,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130050018,1,1,0,0,Morocco,NA,NA,NA,0,2013-01-08,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130050018,1,0,0,0,Morocco,NA,NA,NA,0,2013-01-08,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130170094,1,1,0,0,Morocco,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130057822,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130007624,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-11,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130385330,1,0,0,0,Morocco,NA,NA,NA,0,2012-09-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130483410,1,1,0,0,Morocco,NA,NA,NA,0.0,2013-06-21,2013-07-05,50,10,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130468973,1,1,0,0,Morocco,NA,NA,NA,0,2012-12-16,,,,,5.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130468973,1,0,0,0,Morocco,NA,NA,NA,0,2012-12-31,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130589696,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-18,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130163546,1,0,0,0,Morocco,NA,NA,NA,0,2012-08-18,,,,,,0,,
