course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130016435,1,0,0,0,Nigeria,NA,NA,NA,0,2012-07-28,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130151196,1,1,0,0,Nigeria,NA,NA,NA,0,2012-07-24,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130274503,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-02,,,,,3.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130274503,1,0,0,0,Nigeria,NA,NA,NA, ,2013-01-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130291436,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-20,2013-02-28,9,2,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130079762,1,1,0,0,Nigeria,NA,NA,NA,0,2012-11-05,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130410242,1,1,0,0,Nigeria,NA,NA,NA,0,2012-09-04,2013-03-21,3,1,,4.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130410242,1,0,0,0,Nigeria,NA,NA,NA, ,2013-01-23,,,6,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130208736,1,1,0,0,Nigeria,NA,NA,NA,0.11,2013-04-18,2013-07-11,535,8,64,3.0,0,,
HarvardX/CS50x/2012,MHxPC130059486,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130151880,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-09,2013-02-22,7,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130455595,1,1,1,0,Nigeria,NA,NA,NA,0,2012-07-28,2013-05-06,239,20,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130418686,1,0,0,0,Nigeria,NA,NA,NA,0,2012-07-30,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130540676,1,0,0,0,Nigeria,NA,NA,NA,0.0,2012-12-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130017956,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130310723,1,1,0,0,Nigeria,NA,NA,NA,0,2012-12-20,2013-07-24,9,2,1,1.0,0,,
HarvardX/CS50x/2012,MHxPC130456369,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130532278,1,1,0,0,Nigeria,NA,NA,NA,0,2012-07-25,2013-05-13,2,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130542327,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130009667,1,0,0,0,Nigeria,NA,NA,NA,0,2012-09-09,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130579329,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,5,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130579329,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-17,2012-10-27,50,5,24,2.0,0,,
HarvardX/CS50x/2012,MHxPC130508897,1,1,1,0,Nigeria,NA,NA,NA,0,2012-12-28,2013-05-01,9,1,,9.0,0,,
HarvardX/CS50x/2012,MHxPC130173389,1,1,0,0,Nigeria,NA,NA,NA,0,2012-10-10,2013-03-19,1,1,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130268292,1,0,0,0,Nigeria,NA,NA,NA,0,2012-09-19,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130355555,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,2,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130355555,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-17,2012-10-15,170,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130367377,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-28,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130085212,1,1,1,0,Nigeria,NA,NA,NA,0,2012-08-24,2013-05-21,478,41,,12.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130085212,1,0,0,0,Nigeria,NA,NA,NA, ,2013-01-01,,,41,,,0,,1
HarvardX/CS50x/2012,MHxPC130347731,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-25,2013-04-09,4,1,,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130347731,1,0,0,0,Nigeria,NA,NA,NA,0,2013-04-09,,,1,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130164655,1,0,0,0,Nigeria,NA,NA,NA,0,2013-01-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130465715,1,1,0,0,Nigeria,NA,NA,NA,0,2012-10-15,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130502038,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-19,2013-06-27,7,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130305783,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-28,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130365921,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130565940,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-21,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130090104,1,1,1,0,Nigeria,NA,NA,NA,0,2012-10-19,2013-05-31,47,8,,7.0,0,,
HarvardX/CS50x/2012,MHxPC130447754,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-23,,,2,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130447754,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-23,2012-10-16,64,2,14,1.0,0,,
HarvardX/CS50x/2012,MHxPC130276033,1,0,0,0,Nigeria,NA,NA,NA,0,2012-09-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130436610,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130101342,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-13,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130453077,1,1,0,0,Nigeria,NA,NA,NA,0,2012-09-03,2013-03-23,6,1,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130453077,1,1,0,0,Nigeria,NA,NA,NA, ,2013-01-02,2013-03-31,18,3,,2.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130453077,1,1,0,0,Nigeria,NA,NA,NA,0,2012-09-03,2012-10-25,103,3,14,2.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130384565,1,1,1,0,Nigeria,NA,NA,NA,0.01,2012-08-31,2013-05-22,3118,55,515,8.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130112699,1,1,0,0,Nigeria,NA,NA,NA,,2013-01-27,2013-05-19,56,2,37,2.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130284593,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-16,2012-10-22,154,4,16,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130410964,1,1,0,0,Nigeria,NA,NA,NA, ,2013-01-24,2013-03-20,48,1,,3.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130410964,1,0,0,0,Nigeria,NA,NA,NA,0,2013-01-24,,,3,,,0,,1
HarvardX/CS50x/2012,MHxPC130398647,1,1,0,0,Nigeria,NA,NA,NA,0,2012-12-28,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130199953,1,0,0,0,Nigeria,NA,NA,NA,0,2012-12-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130203085,1,0,0,0,Nigeria,NA,NA,NA,0,2012-08-17,,,2,,,0,,1
HarvardX/CS50x/2012,MHxPC130225115,1,0,0,0,Nigeria,NA,NA,NA,0.0,2013-08-30,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130242451,1,0,0,0,Nigeria,NA,NA,NA,0.0,2012-09-19,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130458420,1,0,0,0,Nigeria,NA,NA,NA,0,2012-09-25,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130155650,1,1,0,0,Nigeria,NA,NA,NA,0,2012-08-20,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130154198,1,0,0,0,Nigeria,NA,NA,NA,0.0,2012-08-17,,,,,,0,,
