course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130238350,1,1,0,0,Other Africa,NA,NA,NA,0,2013-03-21,2013-03-23,25,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130238350,1,1,0,0,Other Africa,NA,NA,NA,0,2012-10-29,2013-03-17,5,1,,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130238350,1,0,0,0,Other Africa,NA,NA,NA,0,2013-06-04,2013-07-02,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130073042,1,1,0,0,Other Africa,NA,NA,NA,0,2012-08-17,,,2,,1.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130073042,1,1,0,0,Other Africa,NA,NA,NA,0,2012-08-17,2012-11-07,6,2,2,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130435033,1,1,0,0,Other Africa,NA,NA,NA,,2013-03-13,2013-03-13,21,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130485109,1,1,0,0,Other Africa,NA,NA,NA,0,2012-10-22,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130481547,1,1,0,0,Other Africa,NA,NA,NA,0,2012-07-24,,,1,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130183602,1,1,0,0,Other Africa,NA,NA,NA,0,2013-01-31,2013-06-25,56,7,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130183602,1,1,0,0,Other Africa,NA,NA,NA,0,2012-09-14,2013-03-24,12,3,,4.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130183602,1,1,0,0,Other Africa,NA,NA,NA,0,2013-01-31,2013-05-09,58,7,,3.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130183602,1,1,0,0,Other Africa,NA,NA,NA,0,2012-09-14,2012-11-14,248,6,32,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130183602,1,0,0,0,Other Africa,NA,NA,NA,0,2013-01-31,2013-03-24,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130552622,1,0,0,0,Other Africa,NA,NA,NA,0,2012-09-04,2013-02-19,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130395566,1,1,0,0,Other Africa,NA,NA,NA,,2013-01-23,2013-03-14,92,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130395566,1,1,1,0,Other Africa,NA,NA,NA,0,2012-09-17,2013-03-23,1,1,,6.0,0,,
HarvardX/CS50x/2012,MHxPC130297445,1,0,0,0,Other Africa,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130017972,1,1,0,0,Other Africa,NA,NA,NA,0,2012-08-19,,,14,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130017972,1,1,0,0,Other Africa,NA,NA,NA,0.19,2013-03-30,2013-06-22,558,14,42,3.0,0,,
HarvardX/CS50x/2012,MHxPC130457043,1,1,0,0,Other Africa,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130092361,1,1,0,0,Other Africa,NA,NA,NA,0,2012-08-17,2013-03-13,3,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130574280,1,1,0,0,Other Africa,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130539573,1,1,0,0,Other Africa,NA,NA,NA,0,2013-03-18,2013-06-21,44,3,,2.0,0,,
