course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130478716,1,1,1,0,Other East Asia,NA,NA,NA,0,2012-07-31,2013-02-12,1,1,,11.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130131510,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-12-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130316475,1,1,0,0,Other East Asia,NA,NA,NA,0,2013-02-27,2013-02-27,17,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130115207,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-12-20,2013-11-17,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130115207,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-12-20,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130199577,1,1,0,0,Other East Asia,NA,NA,NA,0,2012-10-16,,,,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130103469,1,1,0,0,Other East Asia,NA,NA,NA,0,2013-01-01,2013-04-09,43,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130538842,1,1,1,0,Other East Asia,NA,NA,NA,0,2012-08-19,2013-04-16,61,14,,12.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130071196,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-12-20,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130567014,1,0,0,0,Other East Asia,NA,NA,NA,,2013-04-22,2013-04-22,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130567014,1,1,0,0,Other East Asia,NA,NA,NA,,2012-12-21,2013-04-12,42,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130137023,1,1,0,0,Other East Asia,NA,NA,NA,0,2012-08-16,,,,,4.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130137023,1,0,0,0,Other East Asia,NA,NA,NA,0,2013-01-22,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130149276,1,1,0,0,Other East Asia,NA,NA,NA,0,2012-12-20,2013-03-14,19,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130149276,1,1,0,0,Other East Asia,NA,NA,NA,0,2012-08-16,2013-02-23,5,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130444999,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130099177,1,1,0,0,Other East Asia,NA,NA,NA,0,2013-01-13,2013-05-12,387,12,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130025290,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-08-20,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130074083,1,1,0,0,Other East Asia,NA,NA,NA,0,2013-03-04,2013-03-04,15,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130074083,1,1,0,0,Other East Asia,NA,NA,NA,0,2013-03-04,2013-04-19,56,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130255997,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130298692,1,1,0,0,Other East Asia,NA,NA,NA,0,2012-10-04,2013-04-13,2,2,,4.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130298692,1,0,0,0,Other East Asia,NA,NA,NA,0,2012-12-21,,,2,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130517064,1,1,1,0,Other East Asia,NA,NA,NA,0.05,2012-12-20,2013-07-02,564,26,,29.0,0,,
